Item1,Item2,Item3,Item4,Item5
61024.319104,False,,,False
61024.8151808,False,,,False
61024.8151808,False,,,False
61024.8151808,False,,,False
61024.8151808,False,,,False
61025.3112832,False,,,False
61025.3112832,False,,,False
61025.3112832,False,,,False
61025.3112832,False,,,False
61025.8234752,False,,,False
61025.8234752,False,,,False
61025.8234752,False,,,False
61025.8234752,False,,,False
61026.319104,False,,,False
61026.319104,False,,,False
61026.319104,False,,,False
61026.319104,False,,,False
61026.81632,False,,,False
61026.81632,False,,,False
61026.81632,False,,,False
61026.81632,False,,,False
61027.3111552,False,,,False
61027.3111552,False,,,False
61027.3111552,False,,,False
61027.3111552,False,,,False
61027.8234112,False,,,False
61027.8234112,False,,,False
61027.8234112,False,,,False
61027.8234112,False,,,False
61028.31872,False,,,False
61028.31872,False,,,False
61028.31872,False,,,False
61028.31872,False,,,False
61028.8151808,False,,,False
61028.8151808,False,,,False
61028.8151808,False,,,False
61028.8151808,False,,,False
61029.3122176,False,,,False
61029.3122176,False,,,False
61029.3122176,False,,,False
61029.3122176,False,,,False
61029.824256,False,,,False
61029.824256,False,,,False
61029.824256,False,,,False
61029.824256,False,,,False
61030.3192064,False,,,False
61030.3192064,False,,,False
61030.3192064,False,,,False
61030.3192064,False,,,False
61030.8160896,False,,,False
61030.8160896,False,,,False
61030.8160896,False,,,False
61030.8160896,False,,,False
61031.3115392,False,,,False
61031.3115392,False,,,False
61031.3115392,False,,,False
61031.3115392,False,,,False
61031.8251008,False,,,False
61031.8251008,False,,,False
61031.8251008,False,,,False
61031.8251008,False,,,False
61032.3197952,False,,,False
61032.3197952,False,,,False
61032.3197952,False,,,False
61032.3197952,False,,,False
61032.8157568,False,,,False
61032.8157568,False,,,False
61032.8157568,False,,,False
61032.8157568,False,,,False
61033.3115136,False,,,False
61033.3115136,False,,,False
61033.3115136,False,,,False
61033.3115136,False,,,False
61033.8239104,False,,,False
61033.8239104,False,,,False
61033.8239104,False,,,False
61033.8239104,False,,,False
61034.3205376,False,,,False
61034.3205376,False,,,False
61034.3205376,False,,,False
61034.3205376,False,,,False
61034.8156416,False,,,False
61034.8156416,False,,,False
61034.8156416,False,,,False
61034.8156416,False,,,False
61035.327296,False,,,False
61035.327296,False,,,False
61035.327296,False,,,False
61035.327296,False,,,False
61035.825152,False,,,False
61035.825152,False,,,False
61035.825152,False,,,False
61035.825152,False,,,False
61036.3202944,False,,,False
61036.3202944,False,,,False
61036.3202944,False,,,False
61036.3202944,False,,,False
61036.816896,False,,,False
61036.816896,False,,,False
61036.816896,False,,,False
61036.816896,False,,,False
61037.3288704,False,,,False
61037.3288704,False,,,False
61037.3288704,False,,,False
61037.3288704,False,,,False
61037.8253696,False,,,False
61037.8253696,False,,,False
61037.8253696,False,,,False
61037.8253696,False,,,False
61038.3210112,False,,,False
61038.3210112,False,,,False
61038.3210112,False,,,False
61038.3210112,False,,,False
61038.8178304,False,,,False
61038.8178304,False,,,False
61038.8178304,False,,,False
61038.8178304,False,,,False
61039.329792,False,,,False
61039.329792,False,,,False
61039.329792,False,,,False
61039.329792,False,,,False
61039.8248832,False,,,False
61039.8248832,False,,,False
61039.8248832,False,,,False
61039.8248832,False,,,False
61040.3212928,False,,,False
61040.3212928,False,,,False
61040.3212928,False,,,False
61040.3212928,False,,,False
61040.8166656,False,,,False
61040.8166656,False,,,False
61040.8166656,False,,,False
61040.8166656,False,,,False
61041.3300736,False,,,False
61041.3300736,False,,,False
61041.3300736,False,,,False
61041.3300736,False,,,False
61041.8267392,False,,,False
61041.8267392,False,,,False
61041.8267392,False,,,False
61041.8267392,False,,,False
61042.3233536,False,,,False
61042.3233536,False,,,False
61042.3233536,False,,,False
61042.3233536,False,,,False
61042.818368,False,,,False
61042.818368,False,,,False
61042.818368,False,,,False
61042.818368,False,,,False
61043.3312512,False,,,False
61043.3312512,False,,,False
61043.3312512,False,,,False
61043.3312512,False,,,False
61043.826496,False,,,False
61043.826496,False,,,False
61043.826496,False,,,False
61043.826496,False,,,False
61044.3216896,False,,,False
61044.3216896,False,,,False
61044.3216896,False,,,False
61044.3216896,False,,,False
61044.8177664,False,,,False
61044.8177664,False,,,False
61044.8177664,False,,,False
61044.8177664,False,,,False
61045.3308032,False,,,False
61045.3308032,False,,,False
61045.3308032,False,,,False
61045.3308032,False,,,False
61045.8265728,False,,,False
61045.8265728,False,,,False
61045.8265728,False,,,False
61045.8265728,False,,,False
61046.3224832,False,,,False
61046.3224832,False,,,False
61046.3224832,False,,,False
61046.3224832,False,,,False
61046.8189696,False,,,False
61046.8189696,False,,,False
61046.8189696,False,,,False
61046.8189696,False,,,False
61047.331456,False,,,False
61047.331456,False,,,False
61047.331456,False,,,False
61047.331456,False,,,False
61047.8269312,False,,,False
61047.8269312,False,,,False
61047.8269312,False,,,False
61047.8269312,False,,,False
61048.323392,False,,,False
61048.323392,False,,,False
61048.323392,False,,,False
61048.323392,False,,,False
61048.8199296,False,,,False
61048.8199296,False,,,False
61048.8199296,False,,,False
61048.8199296,False,,,False
61049.3309568,False,,,False
61049.3309568,False,,,False
61049.3309568,False,,,False
61049.3309568,False,,,False
61049.8281472,False,,,False
61049.8281472,False,,,False
61049.8281472,False,,,False
61049.8281472,False,,,False
61050.3235584,False,,,False
61050.3235584,False,,,False
61050.3235584,False,,,False
61050.3235584,False,,,False
61050.8205952,False,,,False
61050.8205952,False,,,False
61050.8205952,False,,,False
61050.8205952,False,,,False
61051.332928,False,,,False
61051.332928,False,,,False
61051.332928,False,,,False
61051.332928,False,,,False
61051.8277504,False,,,False
61051.8277504,False,,,False
61051.8277504,False,,,False
61051.8277504,False,,,False
61052.324032,False,,,False
61052.324032,False,,,False
61052.324032,False,,,False
61052.324032,False,,,False
61052.8210816,False,,,False
61052.8210816,False,,,False
61052.8210816,False,,,False
61052.8210816,False,,,False
61053.3326336,False,,,False
61053.3326336,False,,,False
61053.3326336,False,,,False
61053.3326336,False,,,False
61053.827904,False,,,False
61053.827904,False,,,False
61053.827904,False,,,False
61053.827904,False,,,False
61054.3236096,False,,,False
61054.3236096,False,,,False
61054.3236096,False,,,False
61054.3236096,False,,,False
61054.8357888,False,,,False
61054.8357888,False,,,False
61054.8357888,False,,,False
61054.8357888,False,,,False
61055.3311616,False,,,False
61055.3311616,False,,,False
61055.3311616,False,,,False
61055.3311616,False,,,False
61055.8281728,False,,,False
61055.8281728,False,,,False
61055.8281728,False,,,False
61055.8281728,False,,,False
61056.3231104,False,,,False
61056.3231104,False,,,False
61056.3231104,False,,,False
61056.3231104,False,,,False
61056.8350336,False,,,False
61056.8350336,False,,,False
61056.8350336,False,,,False
61056.8350336,False,,,False
61057.331264,False,,,False
61057.331264,False,,,False
61057.331264,False,,,False
61057.331264,False,,,False
61057.8283136,False,,,False
61057.8283136,False,,,False
61057.8283136,False,,,False
61057.8283136,False,,,False
61058.3232512,False,,,False
61058.3232512,False,,,False
61058.3232512,False,,,False
61058.3232512,False,,,False
61058.8357632,False,,,False
61058.8357632,False,,,False
61058.8357632,False,,,False
61058.8357632,False,,,False
61059.3318528,False,,,False
61059.3318528,False,,,False
61059.3318528,False,,,False
61059.3318528,False,,,False
61059.8279808,False,,,False
61059.8279808,False,,,False
61059.8279808,False,,,False
61059.8279808,False,,,False
61060.326208,False,,,False
61060.326208,False,,,False
61060.326208,False,,,False
61060.326208,False,,,False
61060.8361856,False,,,False
61060.8361856,False,,,False
61060.8361856,False,,,False
61060.8361856,False,,,False
61061.3317888,False,,,False
61061.3317888,False,,,False
61061.3317888,False,,,False
61061.3317888,False,,,False
61061.8281728,False,,,False
61061.8281728,False,,,False
61061.8281728,False,,,False
61061.8281728,False,,,False
61062.3263616,False,,,False
61062.3263616,False,,,False
61062.3263616,False,,,False
61062.3263616,False,,,False
61062.8379904,False,,,False
61062.8379904,False,,,False
61062.8379904,False,,,False
61062.8379904,False,,,False
61063.3334656,False,,,False
61063.3334656,False,,,False
61063.3334656,False,,,False
61063.3334656,False,,,False
61063.8309376,False,,,False
61063.8309376,False,,,False
61063.8309376,False,,,False
61063.8309376,False,,,False
61064.3249152,False,,,False
61064.3249152,False,,,False
61064.3249152,False,,,False
61064.3249152,False,,,False
61064.8364032,False,,,False
61064.8364032,False,,,False
61064.8364032,False,,,False
61064.8364032,False,,,False
61065.3341824,False,,,False
61065.3341824,False,,,False
61065.3341824,False,,,False
61065.3341824,False,,,False
61065.8283904,False,,,False
61065.8283904,False,,,False
61065.8283904,False,,,False
61065.8283904,False,,,False
61066.3254656,False,,,False
61066.3254656,False,,,False
61066.3254656,False,,,False
61066.3254656,False,,,False
61066.4546048,False,,,False
61066.4546048,False,,,False
61066.4546048,False,,,False
61066.4546048,False,,,False
61066.487296,False,,,False
61066.487296,False,,369.685699,False
61066.487296,False,162.019043,369.685699,False
61066.487296,False,162.019043,369.685699,False
61066.534912,False,162.019043,369.685699,False
61066.534912,False,162.019043,330.443573,False
61066.534912,False,155.633469,330.443573,False
61066.534912,False,155.633469,330.443573,False
61066.5671168,False,155.633469,330.443573,False
61066.5671168,False,155.633469,329.458313,False
61066.5671168,False,155.562485,329.458313,False
61066.5671168,False,155.562485,329.458313,False
61066.5998464,False,155.562485,329.458313,False
61066.5998464,False,155.562485,327.172852,False
61066.5998464,False,155.857437,327.172852,False
61066.5998464,False,155.857437,327.172852,False
61066.6315776,False,155.857437,327.172852,False
61066.6315776,False,155.857437,329.54834,False
61066.6315776,False,155.428238,329.54834,False
61066.6315776,False,155.428238,329.54834,False
61066.6636672,False,155.428238,329.54834,False
61066.6636672,False,155.428238,327.43573,False
61066.6636672,False,155.654602,327.43573,False
61066.6636672,False,155.654602,327.43573,False
61066.695616,False,155.654602,327.43573,False
61066.695616,False,155.654602,329.581696,False
61066.695616,False,154.775284,329.581696,False
61066.695616,False,154.775284,329.581696,False
61066.7281152,False,154.775284,329.581696,False
61066.7281152,False,154.775284,333.833496,False
61066.7281152,False,155.106277,333.833496,False
61066.7281152,False,155.106277,333.833496,False
61066.7598848,False,155.106277,333.833496,False
61066.7598848,False,155.106277,327.246979,False
61066.7598848,False,155.397003,327.246979,False
61066.7598848,False,155.397003,327.246979,False
61066.8061696,False,155.397003,327.246979,False
61066.8061696,False,155.397003,327.16275,False
61066.8061696,False,155.378052,327.16275,False
61066.8061696,False,155.378052,327.16275,False
61066.8390272,False,155.378052,327.16275,False
61066.8390272,False,155.378052,336.150085,False
61066.8390272,False,154.264908,336.150085,False
61066.8390272,False,154.264908,336.150085,False
61066.8719744,False,154.264908,336.150085,False
61066.8719744,False,154.264908,221.388641,False
61066.8719744,False,153.129547,221.388641,False
61066.8719744,False,153.129547,221.388641,False
61066.902912,False,153.129547,221.388641,False
61066.902912,False,153.129547,222.893082,False
61066.902912,False,152.852203,222.893082,False
61066.902912,False,152.852203,222.893082,False
61066.9354112,False,152.852203,222.893082,False
61066.9354112,False,152.852203,223.017822,False
61066.9354112,False,152.728653,223.017822,False
61066.9354112,False,152.728653,223.017822,False
61066.9684352,False,152.728653,223.017822,False
61066.9684352,False,152.728653,337.617676,False
61066.9684352,False,152.834396,337.617676,False
61066.9684352,False,152.834396,337.617676,False
61067.0000512,False,152.834396,337.617676,False
61067.0000512,False,152.834396,362.378601,False
61067.0000512,False,154.179962,362.378601,False
61067.0000512,False,154.179962,362.378601,False
61067.0317568,False,154.179962,362.378601,False
61067.0317568,False,154.179962,338.304565,False
61067.0317568,False,152.083389,338.304565,False
61067.0317568,False,152.083389,338.304565,False
61067.0789248,False,152.083389,338.304565,False
61067.0789248,False,152.083389,361.933014,False
61067.0789248,False,151.201065,361.933014,False
61067.0789248,False,151.201065,361.933014,False
61067.1110272,False,151.201065,361.933014,False
61067.1110272,False,151.201065,363.467743,False
61067.1110272,False,150.73584,363.467743,False
61067.1110272,False,150.73584,363.467743,False
61067.1426176,False,150.73584,363.467743,False
61067.1426176,False,150.73584,363.621399,False
61067.1426176,False,151.4505,363.621399,False
61067.1426176,False,151.4505,363.621399,False
61067.1768576,False,151.4505,363.621399,False
61067.1768576,False,151.4505,371.669342,False
61067.1768576,False,147.635574,371.669342,False
