TimeStamp,Events,CH1-410,CH1-470,z
0.0,,165.184,94.368,2.0245165477009763
99.997,,161.041,93.605,3.023994071123374
199.998,,161.136,92.773,2.593267823275094
300.002,,159.815,92.652,2.9699295394633847
400.002,,158.374,91.751,3.0125295305844304
500.0,,157.654,90.922,2.851923951235404
600.0,,155.212,89.874,3.1541130480458723
699.996,,153.07,89.583,3.720006074549019
800.0,,155.351,90.845,3.571649305446874
899.998,,155.725,92.695,4.333632432033863
999.999,,156.417,91.07,3.3262431018085703
1100.0,,154.314,90.098,3.5530781373027405
1200.001,,154.028,90.088,3.641699361288777
1299.999,,153.716,90.118,3.758052377854644
1400.002,,152.116,89.377,3.9297122639668274
1500.0,,149.947,89.167,4.543306853112943
1599.998,,150.207,89.885,4.800641860789902
1699.996,,154.13,90.201,3.657826781111821
1799.997,,153.904,90.685,3.963296165817061
1900.001,,153.937,88.564,2.935576702097993
2000.0,,151.656,89.999,4.374055860560273
2099.999,,153.115,91.119,4.428673430573977
2200.001,,154.398,92.953,4.883321900815042
2300.0,,153.59,91.469,4.4379828834052155
2399.996,,149.216,90.508,5.418775426232954
2500.002,,149.374,89.597,4.92944178860921
2600.001,,148.826,89.123,4.882181707014501
2700.002,,146.665,90.116,6.069381647570911
2799.998,,147.819,90.737,5.985527723628325
2899.998,,147.308,90.926,6.243649401824669
3000.001,,146.604,90.848,6.437504119244818
3100.001,,147.892,90.893,6.033568520219562
3200.001,,148.235,90.338,5.653771693028882
3300.002,,144.955,90.76,6.936365256642841
3400.0,,147.172,90.058,5.868348711443997
3500.001,,146.817,90.71,6.29682086155496
3600.002,,147.395,90.974,6.231855277869474
3699.996,,147.301,91.723,6.620746541314579
3800.001,,148.986,92.724,6.543859071788458
3899.998,,149.344,92.136,6.143311069484468
4000.002,,149.122,90.379,5.374018352686412
4099.996,,148.012,90.763,5.923021362659624
4200.002,,148.524,88.964,4.891631054875063
4299.998,,145.577,88.96,5.860389668616164
4400.002,,144.385,88.182,5.879824271905493
4499.997,,146.122,87.551,5.004061427593257
4599.997,,144.419,88.374,5.958843448367011
4700.002,,146.864,87.418,4.693996481090722
4799.999,,144.443,86.971,5.277149501727181
4899.997,,143.516,86.807,5.503329682795179
4999.998,,144.554,87.483,5.484066064760218
5099.999,,144.825,88.623,5.939919062752138
5199.999,,144.394,88.86,6.194662371343751
5300.0,,146.852,90.986,6.401818903038146
5399.997,,143.042,91.109,7.715919989630879
5500.0,,148.463,92.615,6.649274673532178
5599.997,,145.619,92.206,7.39008248721216
5700.001,,147.168,91.454,6.5183403228204835
5800.0,,147.9,91.422,6.260823309762624
5899.998,,141.894,89.884,7.503261635857067
5999.998,,145.897,91.341,6.880621695647602
6099.997,,146.33,90.993,6.5703121667752695
6200.001,,146.216,91.968,7.074055115333195
6299.997,,145.854,91.174,6.812200147062942
6400.001,,144.709,91.725,7.4527384470848785
6500.002,,147.971,91.468,6.253374876541505
6599.996,,147.273,89.834,5.699927536699901
6699.997,,145.676,89.695,6.158966003939666
6799.996,,149.767,90.187,5.04507777450617
6900.0,,149.923,89.782,4.798785468230308
6999.997,,147.207,87.589,4.6428551795196595
7099.998,,145.034,87.086,5.117428432192086
7200.001,,143.486,87.08,5.624021079149056
7300.002,,142.387,84.621,4.807595628981481
7399.998,,143.978,89.037,6.39749905947236
7499.999,,145.874,88.156,5.349571637726483
7599.997,,147.052,87.539,4.66480622611406
7699.996,,145.835,86.821,4.7212275808702335
7800.002,,144.615,87.418,5.408527452477666
7899.996,,143.358,88.223,6.207658156120604
7999.996,,145.212,87.494,5.246386213158625
8099.999,,147.321,88.017,4.8007600688625764
8199.997,,145.878,87.012,4.794214193048546
8300.0,,142.774,87.263,5.936882890083047
8400.0,,142.013,88.085,6.580639677617664
8500.0,,146.658,87.868,4.944501824722535
8599.998,,143.496,87.899,6.0009112636592885
8699.999,,143.909,87.043,5.45386515053086
8800.001,,144.006,86.162,4.999020640462554
8900.002,,144.557,86.163,4.816985865090977
