TimeStamp,Events,CH1-410,CH1-470,z
0.0,,198.527,184.299,-3.984271144717874
99.995,,196.563,184.955,-3.583437267915764
199.998,,195.719,186.404,-3.131503738803077
300.001,,190.611,183.058,-3.2922486993466578
399.999,,187.299,182.863,-2.9285848927564646
499.998,,190.032,184.424,-2.88335312325386
600.0,,187.254,186.243,-2.1101859758750225
699.997,,186.023,185.647,-2.0928851525438152
799.997,,183.169,185.326,-1.8143536619503546
900.0,,185.621,188.451,-1.3669038262337232
999.997,,185.719,188.526,-1.352539471406153
1099.999,,186.227,187.051,-1.7527381667279
1199.996,,184.142,185.981,-1.7436659289318563
1300.0,,182.795,186.066,-1.5520198580968412
1399.997,,183.894,183.479,-2.285585476412811
1499.996,,186.865,182.23,-2.930782989654623
1599.999,,185.258,178.047,-3.7125026731204995
1700.001,,180.658,177.349,-3.3113904331135195
1799.997,,182.474,175.706,-3.909531345891109
1900.001,,179.577,176.958,-3.255510483723827
2000.0,,181.711,179.385,-2.9339471991184105
2100.001,,180.174,181.138,-2.326634851364762
2199.995,,178.636,177.034,-3.0981385675702375
2299.996,,179.357,178.849,-2.749607441406723
2400.001,,180.288,181.638,-2.197192920909459
2500.001,,177.274,184.085,-1.2476938714440244
2600.002,,180.731,186.433,-1.1049296096961232
2699.999,,181.217,187.138,-0.9892981074388845
2800.0,,180.486,188.058,-0.6757148423407761
2899.997,,182.322,187.795,-0.9514321276171381
3000.001,,182.822,186.441,-1.3222661034308874
3100.002,,182.43,188.664,-0.7429694417492724
3199.999,,182.554,192.392,0.1281785483700781
3300.0,,183.59,190.742,-0.3772499395880672
3399.998,,181.21,192.016,0.2192865856713425
3499.997,,181.451,194.344,0.7466492702147676
3599.999,,183.175,192.273,0.05879536575876342
3699.996,,180.159,191.786,0.3177181716076317
3799.998,,181.148,193.544,0.6203120930836596
3899.995,,180.609,192.739,0.504475588661852
3999.995,,182.554,189.962,-0.3763690376739787
4099.998,,185.009,194.231,0.339899544346807
4199.998,,185.674,192.001,-0.25720738652621555
4300.002,,182.681,191.039,-0.11292779490577884
4399.996,,183.003,189.932,-0.40412748993761416
4499.998,,183.441,189.451,-0.561993860177289
4599.998,,181.842,189.481,-0.3529460851673927
4699.999,,182.849,187.936,-0.8302097671862066
4799.995,,183.105,188.214,-0.7873630023894884
4900.001,,180.503,186.904,-0.772379468536046
4999.997,,179.364,187.38,-0.5140384575644719
5100.0,,180.593,187.306,-0.6718755929621296
5199.995,,181.506,187.798,-0.6582059273882297
5299.997,,177.943,189.345,0.14573579220083613
5400.001,,178.382,189.559,0.15133194603982275
5500.0,,180.135,188.223,-0.36707991699043446
5599.996,,182.449,187.721,-0.7570639148201228
5699.996,,178.567,188.02,-0.20834149670653526
5799.998,,178.866,190.028,0.23655196014727817
5900.0,,182.205,189.98,-0.1706523381115394
5999.997,,181.86,190.722,0.05413988401753902
6099.999,,180.769,191.533,0.3854884147482109
6199.997,,180.501,186.714,-0.708294340123686
6300.0,,180.642,189.539,-0.05194693447020463
6399.996,,177.36,189.146,0.26118253842810213
6499.998,,179.453,189.543,0.10956680936087121
6599.999,,179.545,193.062,0.935222815934707
6699.995,,178.809,196.609,1.8677090219803727
6799.995,,177.524,196.448,1.9936704855167855
6900.001,,178.108,194.274,1.4194273718481647
7000.002,,177.353,196.858,2.127478128694826
7099.997,,177.241,196.585,2.0850454693948866
7199.999,,178.336,196.503,1.9414490111965017
7299.996,,179.726,196.063,1.677847757280634
7399.998,,179.524,196.162,1.7338787787663503
7499.995,,179.072,195.922,1.740359555742475
7599.996,,179.865,193.978,1.194930018819539
7700.001,,175.352,189.703,0.7430811390600991
7799.999,,179.546,192.488,0.8992575876268359
7900.0,,176.995,194.201,1.619639790589173
8000.001,,178.224,194.336,1.5108720104126432
8100.0,,180.812,196.321,1.6731211120352933
8200.0,,180.435,196.299,1.7218139703947184
8299.995,,181.823,194.084,1.040514350045629
8399.997,,178.538,189.934,0.46939198246050956
8500.001,,180.476,194.695,1.3638785488185727
8599.997,,177.393,193.504,1.464937525020845
8699.998,,181.012,191.123,0.4744382849208983
8799.996,,178.623,194.022,1.45438933604254
8899.997,,178.854,194.176,1.4708775310442328
8999.999,,177.361,189.444,0.5457538836496958
9100.002,,178.871,187.882,0.0033855475237307532
9199.997,,177.138,181.661,-1.2432518270287993
9299.999,,175.472,180.697,-1.260332850674022
9399.998,,179.69,181.455,-1.58435900302668
