TimeStamp,Events,CH1-410,CH1-470,z
0.0,,326.489,222.976,-7.029191805322539
99.999,,322.419,222.236,-4.6274226672387035
199.998,,323.311,220.794,-6.942998919417239
300.002,,318.683,217.797,-6.634540829340988
400.0,,317.28,217.101,-6.295086865092729
500.002,,316.903,218.565,-4.34187593898229
599.999,,315.343,216.425,-5.500065659730032
700.0,,316.659,217.846,-4.935675619920458
799.999,,315.646,219.33,-2.4564740806393197
899.996,,315.297,217.858,-3.8232551515846467
1000.001,,313.312,216.45,-3.8228068392546715
1100.002,,312.84,216.931,-2.8985922496837784
1199.997,,312.06,216.69,-2.5414854961429256
1299.997,,311.262,216.466,-2.1510473888936206
1400.002,,310.456,217.32,-0.5434652749632947
1500.0,,309.899,215.982,-1.5951399651701037
1600.002,,309.126,216.376,-0.5303974026850783
1699.999,,308.947,215.728,-1.1063803625040134
1799.996,,308.167,215.503,-0.7313972067359504
1900.002,,307.358,215.288,-0.3222350703359363
1999.996,,307.974,215.3,-0.786412632731193
2100.001,,307.415,214.653,-1.0604568202397064
2200.002,,306.605,214.065,-1.0695097088682177
2299.999,,306.067,213.813,-0.9165439820434756
2400.001,,306.217,213.347,-1.5487088312244446
2499.995,,306.415,214.228,-0.7059260289637038
2599.998,,304.997,213.111,-0.8278172619886416
2699.996,,304.677,213.215,-0.447658842013068
2800.002,,304.011,212.566,-0.6393384224030239
2899.997,,303.799,212.185,-0.8894832652959193
2999.996,,304.307,212.356,-1.0897135451847502
3100.0,,303.34,212.387,-0.2793273830035279
3200.0,,303.743,212.248,-0.744647889827128
3300.001,,303.856,212.704,-0.3120539076040576
3399.996,,303.979,211.479,-1.7755173196634442
3499.999,,302.411,210.664,-1.439570639088869
3600.001,,302.334,210.823,-1.1901788650876324
3699.999,,301.776,211.393,-0.09831370956454058
3799.996,,302.07,211.504,-0.19661961201106506
3899.996,,301.915,210.485,-1.2086618945535705
3999.995,,300.693,210.791,0.11237300367156328
4100.002,,301.193,210.741,-0.3299233234729582
4200.0,,300.652,210.706,0.06885953194294107
4300.002,,300.056,210.753,0.6032790827723108
4400.001,,300.784,210.129,-0.6643160716283543
4499.999,,299.872,208.026,-2.2946348414971807
4600.001,,298.784,207.889,-1.5773750585581983
4699.997,,299.128,207.588,-2.178173201619599
4799.996,,298.228,207.026,-2.0871658916995495
4899.997,,297.937,207.851,-0.9204718403126947
4999.996,,298.899,208.842,-0.5594451683773858
5099.997,,298.962,206.613,-3.103370021878919
5200.0,,298.553,205.859,-3.616846590616497
5299.998,,299.758,208.528,-1.5635155374494116
5399.997,,298.872,210.165,0.9862637167875481
5499.997,,300.629,210.862,0.3875209183188365
5599.999,,300.635,211.352,0.9426717305268826
5700.0,,299.587,210.757,1.1136601130027395
5799.995,,299.286,210.865,1.482789767680485
5900.001,,298.544,210.374,1.5282767021248769
5999.997,,298.382,210.547,1.860327149624048
6100.001,,298.114,209.497,0.9026011591352289
6199.996,,297.335,210.576,2.7407843779295455
6299.999,,298.442,210.476,1.7613786689032778
6400.001,,297.922,210.335,2.0241387789104692
6499.999,,297.524,210.157,2.1487268861027102
6599.998,,297.553,210.391,2.397972588388809
6699.996,,297.129,210.055,2.3656491936403126
6800.001,,297.675,209.565,1.3923058625002331
6899.996,,297.79,209.607,1.357755645807078
6999.997,,297.533,208.577,0.4136488925173651
7100.002,,296.434,208.35,1.0381509652729384
7200.001,,296.973,207.731,-0.07460486005528158
7300.002,,296.04,207.091,-0.04545668666704754
7400.0,,296.317,207.747,0.48130341090833506
7499.999,,295.867,206.717,-0.3100636942914476
7600.0,,294.74,207.02,0.9318371755990184
7700.001,,295.077,207.425,1.1291191372490774
7800.001,,295.106,206.748,0.3549377145174594
7899.996,,294.409,206.181,0.2791298823285611
7999.997,,293.117,205.375,0.40597112213922065
8100.0,,292.984,205.976,1.195482649565937
8199.999,,293.817,206.814,1.486317417508975
8299.999,,295.095,206.934,0.6183256705973923
8399.999,,294.467,206.776,0.9472061216063637
8499.999,,294.917,205.876,-0.4108964907829739
8600.0,,294.115,205.431,-0.26663743679990365
8700.001,,294.026,206.295,0.7833525232056034
8800.002,,293.178,205.946,1.071832902814433
8900.001,,292.617,205.963,1.5441528931039816
9000.002,,292.776,207.18,2.794231160562162
9099.998,,293.12,206.809,2.1141498426151792
9200.0,,293.518,206.467,1.4238713505532377
9300.002,,293.89,206.375,1.0349682714389072
9400.0,,293.709,206.992,1.8802659010873133
9499.998,,293.79,207.052,1.8924711310597961
9599.996,,292.879,205.888,1.3152972510618182
9699.996,,292.905,205.445,0.8060449089573993
9800.002,,292.252,205.353,1.228648275595163
9899.996,,291.945,205.132,1.2323841367470176
9999.997,,292.08,205.407,1.4432519239345871
10100.0,,291.749,204.703,0.9234499420095283
10200.002,,291.643,204.538,0.8308945784651824
10299.996,,292.01,205.35,1.4611906792663214
10399.999,,292.338,205.543,1.427083044485462
10499.999,,291.606,205.459,1.9211215359879648
10600.002,,291.347,205.449,2.1237499060571965
10700.002,,291.222,204.869,1.5800323839855495
10799.997,,291.293,205.115,1.8088855001060271
10899.998,,291.315,204.907,1.5665829087903436
10999.999,,291.779,204.449,0.6934938377900198
11100.0,,290.643,204.093,1.2018129325635332
11200.001,,291.004,204.878,1.806404570595573
11300.0,,290.973,205.128,2.120441449784635
11400.001,,290.753,204.855,1.9966703312500687
11499.996,,290.406,204.184,1.526401722787296
11600.001,,290.75,204.386,1.489563122926319
11699.996,,290.923,203.727,0.6210169539798304
11799.997,,290.567,204.776,2.089761121355736
11900.002,,291.085,204.84,1.760105973969437
12000.001,,290.388,204.578,2.026285971453652
12099.999,,290.668,204.36,1.5683001112241413
12199.998,,290.374,204.205,1.635546814711111
12300.0,,289.633,204.002,2.0027928870599805
12399.998,,289.733,203.967,1.8928341178454058
12499.998,,289.72,204.103,2.064402722918872
12599.997,,290.04,204.29,2.029577019426977
12699.997,,290.129,204.542,2.2506484348340896
12800.0,,289.761,204.363,2.349446020930984
12899.998,,290.527,203.99,1.3324424034241849
12999.997,,289.202,203.62,1.9744151105952046
13100.0,,288.618,203.558,2.3756121922235574
13199.999,,287.97,202.613,1.8356708496414602
13300.002,,289.456,203.128,1.245941630563943
13399.998,,289.284,203.772,2.113870618919217
13499.998,,288.957,203.346,1.9026731646210688
13600.001,,289.231,203.733,2.1287731242556758
13699.998,,289.796,203.322,1.2281244370311866
13799.996,,289.369,201.297,-0.6999562287061804
13900.0,,286.28,202.193,2.7605883347433027
13999.999,,288.488,202.208,1.037486313947813
14100.0,,288.307,202.752,1.8001233104907266
14199.999,,288.696,202.318,1.0129257134909646
14299.998,,288.215,202.501,1.6075897972847046
14399.999,,288.377,202.309,1.2719176925732842
14499.997,,288.427,202.177,1.092304272560327
14599.998,,288.952,202.277,0.7971656490828692
14700.001,,289.13,202.086,0.4499071642933146
14799.998,,288.701,202.174,0.8966242553805203
14900.001,,288.441,201.882,0.7826951591398568
14999.998,,288.358,202.304,1.3305811900769822
15100.0,,287.895,202.504,1.9299783350657622
15199.998,,287.7,202.249,1.8061008138452324
15299.996,,287.799,202.809,2.36484487013811
15399.998,,288.299,202.957,2.1433058739095423
15499.997,,288.165,202.574,1.8273173161562497
15599.998,,287.62,202.701,2.409577951202318
15699.998,,287.263,202.428,2.3936837626099163
15799.998,,287.042,202.579,2.7463362866722965
15900.0,,288.07,203.783,3.2927818385805123
15999.984,,287.949,203.382,2.9462132552391034
16099.966,,287.713,202.591,2.252632564543451
16199.958,,287.589,202.384,2.12631657509946
16299.94,,287.431,201.538,1.309172968974086
16399.92,,286.72,201.573,1.9194242473585623
16499.906,,286.294,201.317,1.977148698175409
16599.889,,286.44,200.576,1.0371999844420827
16699.879,,286.873,200.451,0.5618964433848791
16799.858,,285.868,199.964,0.818560574072937
16899.841,,284.001,198.831,1.032133042772494
16999.829,,285.613,199.417,0.4218811611354228
17099.81,,285.263,199.536,0.8405546801535013
17199.792,,284.776,198.813,0.4219428390924577
17299.778,,285.61,200.035,1.1420231847089
17399.762,,285.963,198.913,-0.3898763311287704
17499.74,,285.617,200.393,1.5542713563905304
17599.723,,286.049,200.397,1.224533662547073
17699.707,,286.108,200.534,1.3395057737726803
17799.687,,285.886,200.624,1.6241645845974015
17899.67,,285.542,200.651,1.9346455512936334
17999.651,,285.788,201.177,2.3384445036275237
18099.632,,285.984,200.716,1.6732068457489757
18199.612,,286.218,201.088,1.913505722270435
18299.598,,286.102,200.482,1.3324126457689904
18399.58,,286.272,200.5,1.2257416311001006
18499.559,,285.675,199.275,0.33020015763499777
18599.54,,285.465,199.971,1.2859201216219758
18699.518,,285.24,199.368,0.7944479974699653
18799.497,,285.696,200.591,1.8147473660311797
18899.479,,285.833,200.809,1.958782540259142
18999.456,,286.296,200.65,1.4212308136036815
19099.437,,285.504,200.513,1.9020661180266556
19199.42,,285.526,200.583,1.9708816472995614
19299.397,,285.896,200.888,2.0280982082413774
19399.372,,286.235,200.944,1.8301665303455845
19499.353,,285.207,201.11,2.838144780288526
19599.333,,285.637,200.834,2.1952279708841216
19699.31,,285.183,200.841,2.5701048015106984
19799.288,,285.378,200.734,2.303054425556075
19899.27,,285.013,200.729,2.5939583867928206
19999.249,,284.912,200.495,2.418602096912671
20099.222,,284.764,200.766,2.847669576372957
20199.203,,284.618,200.589,2.77194114339207
20299.179,,284.385,200.733,3.125636499515849
20399.154,,284.479,200.663,2.980037631802857
20499.13,,284.561,201.009,3.3111845908346353
20599.112,,284.128,200.305,2.870712860040282
20699.084,,283.931,200.64,3.4103862791950132
20799.064,,283.687,201.285,4.335457804477186
20899.043,,283.867,201.278,4.192464211728684
20999.013,,284.583,201.017,3.3397644366858272
21098.989,,284.222,200.613,3.1791841753597487
21198.965,,283.852,200.931,3.836678021971077
21298.942,,284.247,200.419,2.9561764105081996
21398.919,,283.35,200.264,3.4996346975273798
21498.894,,283.895,200.623,3.47865964489605
