TimeStamp,Events,CH1-410,CH1-470,z
0.0,,357.343,336.688,12.887066864053564
100.0,,354.319,334.179,10.792713419709882
199.998,,351.901,331.56,8.385820410344541
299.997,,351.192,332.734,9.999452523663436
399.995,,350.317,331.457,8.734599741548585
499.998,,354.92,331.682,7.626795801352655
600.002,,349.739,330.803,8.124441216516553
700.001,,350.54,331.098,8.23664743790742
799.995,,348.747,329.091,6.374079681456225
899.997,,350.14,332.184,9.651990157445542
999.999,,349.78,328.174,4.968217067746809
1100.002,,349.774,330.622,7.893723894919767
1199.997,,349.672,329.773,6.909144749054821
1299.997,,349.976,330.958,8.233146103453079
1399.996,,348.409,330.523,8.181030528945268
1499.997,,351.033,328.973,5.544222338461583
1600.001,,346.35,328.785,6.718531741786656
1699.996,,349.227,329.53,6.74784005762559
1800.001,,348.168,328.909,6.32168368838983
1899.999,,349.089,329.288,6.498379541274878
1999.999,,346.494,327.978,5.708202773736051
2099.995,,347.247,326.875,4.164633398612454
2200.001,,346.9,325.702,2.8662185174844694
2300.0,,351.559,327.349,3.440485375624781
2400.001,,346.701,326.26,3.5907195104673306
2500.0,,347.496,327.36,4.666425131791509
2600.001,,347.224,326.743,4.009823883063093
2700.0,,346.792,328.005,5.6458038139323925
2800.001,,347.532,325.54,2.479002016293529
2899.998,,346.663,323.967,0.8587491425238224
3000.0,,346.891,324.915,1.9223404872183345
3099.997,,345.604,323.101,0.13911289079768438
3200.001,,344.658,324.762,2.4053926293748575
3299.997,,347.117,324.864,1.7914809460913936
3399.997,,348.422,327.038,3.99781653914245
3499.996,,348.63,325.857,2.523965887911611
3599.996,,348.005,326.343,3.2905829676765426
3699.997,,346.887,325.069,2.1019595929925767
3799.998,,346.265,325.286,2.5463184981399705
3899.999,,346.775,326.601,3.964065340092778
4000.0,,347.318,326.313,3.4569160593439343
4100.002,,347.145,326.505,3.7372078902630856
4199.996,,345.723,328.382,6.403809953223855
4300.001,,348.525,327.672,4.717322656004247
4399.996,,346.71,328.77,6.57075291692026
4500.0,,346.622,326.635,4.045676868857592
4599.997,,345.945,326.53,4.121799265672258
4700.001,,346.666,327.56,5.136006818838779
4799.999,,347.645,328.19,5.59523870857844
4899.998,,347.484,329.129,6.764355329662241
4999.998,,347.314,328.709,6.312625242240835
5099.999,,347.516,328.464,5.958772928534951
5200.0,,347.468,329.315,6.9889865043486
5300.001,,347.606,329.725,7.436763630067842
5400.001,,347.981,328.83,6.254678304504161
5499.997,,348.407,329.893,7.39648598950649
5599.998,,348.126,330.534,8.245465244885057
5699.995,,347.395,329.539,7.274489086595858
5799.997,,346.659,328.839,6.657431241208951
5900.001,,346.373,329.21,7.1853492240589025
5999.995,,346.457,326.099,3.442886755103011
6100.0,,346.096,326.405,3.9155698253338485
6199.997,,347.074,328.297,5.882762478022138
6299.997,,349.457,327.868,4.657217794722861
6400.001,,347.038,333.198,11.746970263813246
6500.002,,347.917,328.873,6.316579612601417
6600.002,,347.953,328.238,5.546434204904992
6699.996,,348.253,329.733,7.241998843520005
6800.001,,350.527,329.157,5.873421082717657
6899.997,,349.399,330.011,7.230028513521704
7000.001,,348.449,330.048,7.5573999942932115
7100.001,,347.996,330.513,8.247535825275254
7200.002,,348.697,330.477,7.994229430889122
7300.002,,348.858,330.015,7.393401243824453
7399.997,,348.326,329.071,6.423880885064691
7499.996,,348.835,329.944,7.313904990351459
7600.001,,350.771,332.174,9.398559998250995
7699.997,,348.863,330.141,7.539334780027695
7800.0,,347.959,328.65,6.02752688043346
7899.997,,347.56,327.307,4.54158860700246
7999.999,,346.571,327.439,4.994113628740733
8100.002,,348.571,329.616,6.996325117218105
8199.998,,348.357,328.65,5.905478591783755
8299.998,,348.153,330.009,7.589218201828243
8399.995,,348.05,329.235,6.69456957508782
8499.998,,347.699,329.793,7.465327764493322
8599.997,,350.279,332.464,9.884344723894248
8699.998,,348.828,330.967,8.52886627169582
8799.998,,348.066,330.189,7.826409910488459
8899.998,,348.813,330.665,8.171025898150406
8999.998,,349.064,331.521,9.117861420544008
9099.998,,349.808,331.379,8.725077718562915
9200.002,,348.829,330.798,8.322829629196292
9299.996,,349.158,330.637,8.031388143100507
9399.996,,348.773,332.156,9.960376848355658
9500.002,,349.085,330.798,8.244014371304395
9599.996,,349.034,330.683,8.121106942314023
9699.996,,348.971,331.338,8.921671535305835
9800.002,,349.229,330.967,8.40057573625607
9899.996,,348.717,330.656,8.181305836363064
9999.996,,349.2,331.373,8.89274597610173
10099.997,,348.041,329.171,6.607765315264576
10200.002,,349.816,328.663,5.469585927822667
10299.997,,347.471,328.148,5.554475104236309
10399.996,,347.411,328.393,5.864337293238999
10499.998,,347.876,328.174,5.462961896554095
10600.001,,348.161,328.235,5.449890916118605
10699.997,,347.52,329.661,7.344298539722685
10799.998,,347.507,331.385,9.40701048093523
10900.0,,348.163,331.988,9.930555726982499
11000.0,,347.809,331.699,9.690348339985738
11100.0,,348.066,332.063,10.0476292468367
11200.0,,348.632,332.015,9.820355130295189
11299.998,,347.69,332.326,10.47269041190593
11400.0,,347.972,333.297,11.547656406849262
11500.002,,349.387,334.74,12.847856938239676
11599.998,,349.803,335.905,14.114535698956173
11699.998,,349.133,335.169,13.434769835343808
11799.996,,348.72,334.675,12.967296154380211
11900.002,,349.916,333.916,11.70232357554739
11999.996,,349.299,332.189,9.822814017728717
12100.002,,348.042,332.03,10.007815230830817
12200.0,,348.663,333.744,11.869090008470293
12299.999,,350.264,333.448,11.036194044998831
12400.001,,349.764,332.595,10.165845091756811
12499.995,,348.659,331.828,9.579066049761803
12599.998,,349.065,330.771,8.194213019219985
12700.0,,346.462,330.07,8.1340206967888
12799.998,,347.475,330.267,8.065840111196593
12899.997,,348.313,330.649,8.270977188410502
12999.997,,348.267,330.883,8.563525231741448
13099.999,,348.349,330.241,7.77129722333373
13200.0,,348.548,329.751,7.125687100983489
13299.997,,347.778,330.378,8.104133239861914
13399.997,,348.085,330.225,7.828842778883819
13499.998,,348.212,330.214,7.776994237403085
13600.0,,347.523,330.301,8.086117393748294
13700.0,,347.856,332.26,10.32617004826433
13799.997,,347.605,333.036,11.327497713550162
13900.002,,348.736,334.18,12.35539181319322
13999.997,,347.177,332.866,11.250839188169355
14100.001,,346.668,333.218,11.822747947472811
14200.0,,348.84,332.673,10.521724390687952
14299.997,,346.837,331.496,9.71354848739346
14399.997,,349.036,335.13,13.396922147475937
14499.996,,348.703,333.152,11.132680000011385
14599.998,,348.789,335.37,13.755978515876635
14699.999,,349.912,335.213,13.232020170064592
14800.001,,348.452,335.261,13.72500196026965
14900.002,,349.085,334.732,12.903089112103226
14999.997,,349.837,333.48,11.18187261859026
15099.998,,348.342,335.352,13.864369017232512
15199.997,,349.99,333.633,11.31744286523489
15300.002,,349.674,333.778,11.584377221957533
