MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/28/2024 14:33:30,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,1,0,0,0,nan,nan,3.14
6/28/2024 14:33:35,1.17.0,Bandit,2,3.76,3,20,80,20,Pellet,Left,1,0,1,0,0.06,nan,nan
6/28/2024 14:33:39,1.17.0,Bandit,2,3.76,nan,20,80,20,Right,Left,1,1,1,1,nan,nan,1.56
6/28/2024 14:33:54,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,2,1,1,1,nan,nan,2.83
6/28/2024 14:33:55,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,2,1,2,1,0.06,19,nan
6/28/2024 14:33:57,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,3,1,2,2,nan,nan,0.25
6/28/2024 14:33:57,1.17.0,Bandit,2,3.76,1,20,80,20,Pellet,Left,3,1,3,2,0.06,3,nan
6/28/2024 14:33:59,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,4,1,3,3,nan,nan,0.32
6/28/2024 14:34:00,1.17.0,Bandit,2,3.76,1,20,80,20,Pellet,Left,4,1,4,3,0.06,3,nan
6/28/2024 14:34:01,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,5,1,4,4,nan,nan,0.33
6/28/2024 14:34:02,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,5,1,5,4,0.06,2,nan
6/28/2024 14:34:03,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,6,1,5,5,nan,nan,0.30
6/28/2024 14:34:04,1.17.0,Bandit,2,3.75,2,20,80,20,Pellet,Left,6,1,6,5,0.06,2,nan
6/28/2024 14:34:05,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,7,1,6,6,nan,nan,0.34
6/28/2024 14:34:06,1.17.0,Bandit,2,3.76,1,20,80,20,Pellet,Left,7,1,7,6,0.06,2,nan
6/28/2024 14:34:07,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,8,1,7,7,nan,nan,0.24
6/28/2024 14:34:08,1.17.0,Bandit,2,3.76,1,20,80,20,Pellet,Left,8,1,8,7,0.06,2,nan
6/28/2024 14:34:09,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,9,1,8,8,nan,nan,0.27
6/28/2024 14:34:10,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,9,1,9,8,0.06,2,nan
6/28/2024 14:34:11,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,10,1,9,9,nan,nan,0.30
6/28/2024 14:34:12,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,10,1,10,9,0.06,2,nan
6/28/2024 14:34:13,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,11,1,10,10,nan,nan,0.40
6/28/2024 14:34:25,1.17.0,Bandit,2,3.76,nan,20,80,20,Right,Left,11,2,10,10,nan,nan,0.49
6/28/2024 14:34:37,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,12,2,10,10,nan,nan,0.39
6/28/2024 14:34:38,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,12,2,11,10,0.06,26,nan
6/28/2024 14:34:39,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,13,2,11,11,nan,nan,0.43
6/28/2024 14:34:51,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,14,2,11,11,nan,nan,0.40
6/28/2024 14:34:52,1.17.0,Bandit,2,3.76,1,20,80,20,Pellet,Left,14,2,12,11,0.06,14,nan
6/28/2024 14:34:53,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,15,2,12,12,nan,nan,0.42
6/28/2024 14:35:05,1.17.0,Bandit,2,3.76,nan,20,80,20,Right,Left,15,3,12,12,nan,nan,0.72
6/28/2024 14:35:18,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,16,3,12,12,nan,nan,0.45
6/28/2024 14:35:19,1.17.0,Bandit,2,3.75,2,20,80,20,Pellet,Left,16,3,13,12,0.06,26,nan
6/28/2024 14:35:20,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,17,3,13,13,nan,nan,0.35
6/28/2024 14:35:21,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,17,3,14,13,0.06,3,nan
6/28/2024 14:35:22,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,18,3,14,14,nan,nan,0.37
6/28/2024 14:35:23,1.17.0,Bandit,2,3.76,1,20,80,20,Pellet,Left,18,3,15,14,0.06,2,nan
6/28/2024 14:35:25,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,19,3,15,15,nan,nan,0.48
6/28/2024 14:35:26,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,19,3,16,15,0.06,3,nan
6/28/2024 14:35:28,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,20,3,16,16,nan,nan,1.21
6/28/2024 14:35:29,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,20,3,17,16,0.06,2,nan
6/28/2024 14:35:30,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,21,3,17,17,nan,nan,0.28
6/28/2024 14:35:31,1.17.0,Bandit,2,3.76,2,20,80,20,Pellet,Left,21,3,18,17,0.06,3,nan
6/28/2024 14:35:32,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,22,3,18,18,nan,nan,0.31
6/28/2024 14:35:44,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,23,3,18,18,nan,nan,0.34
6/28/2024 14:35:45,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,23,3,19,18,0.06,14,nan
6/28/2024 14:35:47,1.17.0,Bandit,2,3.76,nan,20,80,20,Left,Left,24,3,19,19,nan,nan,0.36
6/28/2024 14:35:58,1.17.0,Bandit,2,3.75,nan,20,80,20,Left,Left,25,3,19,19,nan,nan,0.35
6/28/2024 14:35:59,1.17.0,Bandit,2,3.75,1,20,80,20,Pellet,Left,25,3,20,19,0.06,14,nan
6/28/2024 14:36:01,1.17.0,Bandit,2,3.76,nan,20,20,80,Left,Right,26,3,20,0,nan,nan,0.31
6/28/2024 14:36:13,1.17.0,Bandit,2,3.75,nan,20,20,80,Left,Right,27,3,20,0,nan,nan,0.39
6/28/2024 14:36:13,1.17.0,Bandit,2,3.76,1,20,20,80,Pellet,Right,27,3,21,0,0.06,14,nan
6/28/2024 14:36:15,1.17.0,Bandit,2,3.76,nan,20,20,80,Left,Right,28,3,21,1,nan,nan,0.37
6/28/2024 14:36:27,1.17.0,Bandit,2,3.76,nan,20,20,80,Right,Right,28,4,21,1,nan,nan,0.47
6/28/2024 14:36:39,1.17.0,Bandit,2,3.76,nan,20,20,80,Left,Right,29,4,21,1,nan,nan,0.51
6/28/2024 14:36:51,1.17.0,Bandit,2,3.75,nan,20,20,80,Left,Right,30,4,21,1,nan,nan,0.32
