MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/4/2024 17:13:59,1.17.0,Bandit,2,4.08,nan,20,80,20,Right,Left,0,1,0,0,nan,nan,0.65
11/4/2024 17:14:12,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,1,1,0,0,nan,nan,0.47
11/4/2024 17:14:16,1.17.0,Bandit,2,4.09,3,20,80,20,Pellet,Left,1,1,1,0,0.06,nan,nan
11/4/2024 17:14:18,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,2,1,1,1,nan,nan,0.45
11/4/2024 17:14:19,1.17.0,Bandit,2,4.08,2,20,80,20,Pellet,Left,2,1,2,1,0.06,4,nan
11/4/2024 17:14:22,1.17.0,Bandit,2,4.07,nan,20,80,20,Left,Left,3,1,2,2,nan,nan,0.64
11/4/2024 17:14:23,1.17.0,Bandit,2,4.08,2,20,80,20,Pellet,Left,3,1,3,2,0.06,4,nan
11/4/2024 17:14:26,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,4,1,3,3,nan,nan,0.48
11/4/2024 17:14:27,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,4,1,4,3,0.06,4,nan
11/4/2024 17:14:30,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,5,1,4,4,nan,nan,0.45
11/4/2024 17:14:30,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,5,1,5,4,0.06,3,nan
11/4/2024 17:14:33,1.17.0,Bandit,2,4.07,nan,20,80,20,Left,Left,6,1,5,5,nan,nan,0.42
11/4/2024 17:14:34,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,6,1,6,5,0.06,4,nan
11/4/2024 17:14:36,1.17.0,Bandit,2,4.09,nan,20,80,20,Left,Left,7,1,6,6,nan,nan,0.62
11/4/2024 17:14:37,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,7,1,7,6,0.06,3,nan
11/4/2024 17:14:40,1.17.0,Bandit,2,4.09,nan,20,80,20,Left,Left,8,1,7,7,nan,nan,0.40
11/4/2024 17:14:41,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,8,1,8,7,0.06,4,nan
11/4/2024 17:14:43,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,9,1,8,8,nan,nan,0.41
11/4/2024 17:14:44,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,9,1,9,8,0.06,3,nan
11/4/2024 17:14:46,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,10,1,9,9,nan,nan,0.41
11/4/2024 17:14:47,1.17.0,Bandit,2,4.08,1,20,80,20,Pellet,Left,10,1,10,9,0.06,3,nan
11/4/2024 17:14:50,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,11,1,10,10,nan,nan,0.40
11/4/2024 17:15:02,1.17.0,Bandit,2,4.08,nan,20,80,20,Left,Left,12,1,10,10,nan,nan,0.41
