MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/15/2023 17:11:18,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,1,0,0,0,nan,nan,0.58
12/15/2023 17:11:23,1.17.0,Bandit,2,4.00,3,20,80,20,Pellet,Left,1,0,1,0,0.06,nan,nan
12/15/2023 17:11:26,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,2,0,1,1,nan,nan,1.03
12/15/2023 17:11:27,1.17.0,Bandit,2,4.00,1,20,80,20,Pellet,Left,2,0,2,1,0.06,4,nan
12/15/2023 17:11:29,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,3,0,2,2,nan,nan,0.42
12/15/2023 17:11:30,1.17.0,Bandit,2,3.99,1,20,80,20,Pellet,Left,3,0,3,2,0.06,3,nan
12/15/2023 17:11:32,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,4,0,3,3,nan,nan,0.66
12/15/2023 17:11:34,1.17.0,Bandit,2,3.99,2,20,80,20,Pellet,Left,4,0,4,3,0.06,4,nan
12/15/2023 17:11:37,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,5,0,4,4,nan,nan,0.40
12/15/2023 17:11:37,1.17.0,Bandit,2,4.00,nan,20,80,20,LeftDuringDispense,Left,5,0,4,4,nan,nan,0.29
12/15/2023 17:11:40,1.17.0,Bandit,2,3.99,2,20,80,20,Pellet,Left,5,0,5,4,0.06,6,nan
12/15/2023 17:11:44,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,6,0,5,5,nan,nan,0.57
12/15/2023 17:11:45,1.17.0,Bandit,2,4.00,1,20,80,20,Pellet,Left,6,0,6,5,0.06,4,nan
12/15/2023 17:11:46,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,7,0,6,6,nan,nan,0.50
12/15/2023 17:11:47,1.17.0,Bandit,2,3.99,1,20,80,20,Pellet,Left,7,0,7,6,0.06,3,nan
12/15/2023 17:11:49,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,8,0,7,7,nan,nan,0.62
12/15/2023 17:11:50,1.17.0,Bandit,2,4.00,1,20,80,20,Pellet,Left,8,0,8,7,0.06,3,nan
12/15/2023 17:11:51,1.17.0,Bandit,2,4.00,nan,20,80,20,Right,Left,8,1,8,8,nan,nan,0.47
12/15/2023 17:12:00,1.17.0,Bandit,2,4.00,nan,20,80,20,RightinTimeout,Left,8,1,8,8,nan,nan,0.00
12/15/2023 17:12:01,1.17.0,Bandit,2,3.99,nan,20,80,20,RightinTimeout,Left,8,1,8,8,nan,nan,0.00
12/15/2023 17:12:13,1.17.0,Bandit,2,4.00,nan,20,80,20,Left,Left,9,1,8,8,nan,nan,0.44
