MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/9/2024 17:00:56,1.17.0,Bandit,2,3.93,nan,20,80,20,Right,Left,0,1,0,0,nan,nan,2.54
2/9/2024 17:01:12,1.17.0,Bandit,2,3.93,nan,20,80,20,Left,Left,1,1,0,0,nan,nan,3.57
2/9/2024 17:01:13,1.17.0,Bandit,2,3.92,nan,20,80,20,LeftDuringDispense,Left,1,1,0,0,nan,nan,0.36
2/9/2024 17:01:20,1.17.0,Bandit,2,3.93,4,20,80,20,Pellet,Left,1,1,1,0,0.06,nan,nan
2/9/2024 17:01:29,1.17.0,Bandit,2,3.93,nan,20,80,20,Left,Left,2,1,1,1,nan,nan,5.44
2/9/2024 17:01:29,1.17.0,Bandit,2,3.93,nan,20,80,20,LeftDuringDispense,Left,2,1,1,1,nan,nan,0.33
2/9/2024 17:01:32,1.17.0,Bandit,2,3.93,2,20,80,20,Pellet,Left,2,1,2,1,0.06,12,nan
2/9/2024 17:01:36,1.17.0,Bandit,2,3.93,nan,20,80,20,Right,Left,2,2,2,2,nan,nan,0.56
2/9/2024 17:01:48,1.17.0,Bandit,2,3.93,nan,20,80,20,Left,Left,3,2,2,2,nan,nan,0.61
2/9/2024 17:01:49,1.17.0,Bandit,2,3.93,1,20,80,20,Pellet,Left,3,2,3,2,0.06,17,nan
2/9/2024 17:01:53,1.17.0,Bandit,2,3.93,nan,20,80,20,Right,Left,3,3,3,3,nan,nan,0.44
2/9/2024 17:02:05,1.17.0,Bandit,2,3.93,nan,20,80,20,Left,Left,4,3,3,3,nan,nan,0.39
2/9/2024 17:02:06,1.17.0,Bandit,2,3.93,1,20,80,20,Pellet,Left,4,3,4,3,0.06,17,nan
2/9/2024 17:02:08,1.17.0,Bandit,2,3.93,nan,20,80,20,Left,Left,5,3,4,4,nan,nan,0.40
2/9/2024 17:02:20,1.17.0,Bandit,2,3.93,nan,20,80,20,Right,Left,5,4,4,4,nan,nan,0.38
2/9/2024 17:02:32,1.17.0,Bandit,2,3.93,nan,20,80,20,Left,Left,6,4,4,4,nan,nan,0.41
