MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/8/2024 16:03:51,1.17.0,Bandit,2,3.85,nan,20,80,20,Right,Left,0,1,0,0,nan,nan,0.64
4/8/2024 16:04:03,1.17.0,Bandit,2,3.86,nan,20,80,20,Left,Left,1,1,0,0,nan,nan,0.44
4/8/2024 16:04:06,1.17.0,Bandit,2,3.86,3,20,80,20,Pellet,Left,1,1,1,0,0.06,nan,nan
4/8/2024 16:04:13,1.17.0,Bandit,2,3.86,nan,20,80,20,Left,Left,2,1,1,1,nan,nan,0.66
4/8/2024 16:04:13,1.17.0,Bandit,2,3.85,1,20,80,20,Pellet,Left,2,1,2,1,0.06,7,nan
4/8/2024 16:04:16,1.17.0,Bandit,2,3.85,nan,20,80,20,Right,Left,2,2,2,2,nan,nan,0.66
4/8/2024 16:04:28,1.17.0,Bandit,2,3.85,nan,20,80,20,Right,Left,2,3,2,2,nan,nan,0.43
4/8/2024 16:04:41,1.17.0,Bandit,2,3.85,nan,20,80,20,Right,Left,2,4,2,2,nan,nan,0.33
4/8/2024 16:04:53,1.17.0,Bandit,2,3.85,nan,20,80,20,Left,Left,3,4,2,2,nan,nan,0.41
4/8/2024 16:04:54,1.17.0,Bandit,2,3.85,1,20,80,20,Pellet,Left,3,4,3,2,0.06,41,nan
4/8/2024 16:04:56,1.17.0,Bandit,2,3.86,nan,20,80,20,Left,Left,4,4,3,3,nan,nan,0.40
4/8/2024 16:04:56,1.17.0,Bandit,2,3.85,1,20,80,20,Pellet,Left,4,4,4,3,0.06,2,nan
4/8/2024 16:04:58,1.17.0,Bandit,2,3.85,nan,20,80,20,Left,Left,5,4,4,4,nan,nan,0.57
4/8/2024 16:04:59,1.17.0,Bandit,2,3.86,1,20,80,20,Pellet,Left,5,4,5,4,0.06,3,nan
4/8/2024 16:05:01,1.17.0,Bandit,2,3.85,nan,20,80,20,Left,Left,6,4,5,5,nan,nan,0.49
4/8/2024 16:05:02,1.17.0,Bandit,2,3.85,1,20,80,20,Pellet,Left,6,4,6,5,0.06,3,nan
4/8/2024 16:05:04,1.17.0,Bandit,2,3.86,nan,20,80,20,Left,Left,7,4,6,6,nan,nan,0.45
4/8/2024 16:05:04,1.17.0,Bandit,2,3.85,1,20,80,20,Pellet,Left,7,4,7,6,0.06,2,nan
4/8/2024 16:05:06,1.17.0,Bandit,2,3.85,nan,20,80,20,Left,Left,8,4,7,7,nan,nan,0.49
4/8/2024 16:05:07,1.17.0,Bandit,2,3.85,1,20,80,20,Pellet,Left,8,4,8,7,0.06,3,nan
4/8/2024 16:05:09,1.17.0,Bandit,2,3.86,nan,20,80,20,Left,Left,9,4,8,8,nan,nan,0.64
4/8/2024 16:05:12,1.17.0,Bandit,2,3.85,nan,20,80,20,LeftDuringDispense,Left,9,4,8,8,nan,nan,0.62
4/8/2024 16:05:15,1.17.0,Bandit,2,3.85,nan,20,80,20,LeftDuringDispense,Left,9,4,8,8,nan,nan,0.46
4/8/2024 16:05:18,1.17.0,Bandit,2,3.85,nan,20,80,20,LeftDuringDispense,Left,9,4,8,8,nan,nan,0.24
4/8/2024 16:05:20,1.17.0,Bandit,2,3.85,nan,20,80,20,LeftDuringDispense,Left,9,4,8,8,nan,nan,0.26
