MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/12/2024 16:40:18,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,1,0,0,0,nan,nan,1.74
7/12/2024 16:40:21,1.17.0,Bandit,2,3.71,nan,20,80,20,LeftDuringDispense,Left,1,0,0,0,nan,nan,0.43
7/12/2024 16:40:24,1.17.0,Bandit,2,3.71,4,20,80,20,Pellet,Left,1,0,1,0,0.06,nan,nan
7/12/2024 16:40:29,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,2,0,1,1,nan,nan,0.94
7/12/2024 16:40:31,1.17.0,Bandit,2,3.72,2,20,80,20,Pellet,Left,2,0,2,1,0.06,7,nan
7/12/2024 16:40:34,1.17.0,Bandit,2,3.72,nan,20,80,20,Right,Left,2,1,2,2,nan,nan,0.62
7/12/2024 16:40:49,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,3,1,2,2,nan,nan,1.25
7/12/2024 16:40:50,1.17.0,Bandit,2,3.72,2,20,80,20,Pellet,Left,3,1,3,2,0.06,19,nan
7/12/2024 16:40:54,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,4,1,3,3,nan,nan,0.98
7/12/2024 16:40:55,1.17.0,Bandit,2,3.72,2,20,80,20,Pellet,Left,4,1,4,3,0.06,5,nan
7/12/2024 16:40:57,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,5,1,4,4,nan,nan,0.85
7/12/2024 16:40:58,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,5,1,5,4,0.06,3,nan
7/12/2024 16:41:01,1.17.0,Bandit,2,3.71,nan,20,80,20,Left,Left,6,1,5,5,nan,nan,0.90
7/12/2024 16:41:02,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,6,1,6,5,0.06,4,nan
7/12/2024 16:41:05,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,7,1,6,6,nan,nan,0.69
7/12/2024 16:41:06,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,7,1,7,6,0.06,4,nan
7/12/2024 16:41:07,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,8,1,7,7,nan,nan,0.53
7/12/2024 16:41:08,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,8,1,8,7,0.06,2,nan
7/12/2024 16:41:09,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,9,1,8,8,nan,nan,0.55
7/12/2024 16:41:10,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,9,1,9,8,0.06,2,nan
7/12/2024 16:41:11,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,10,1,9,9,nan,nan,0.41
7/12/2024 16:41:12,1.17.0,Bandit,2,3.73,1,20,80,20,Pellet,Left,10,1,10,9,0.06,2,nan
7/12/2024 16:41:14,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,11,1,10,10,nan,nan,0.47
7/12/2024 16:41:25,1.17.0,Bandit,2,3.72,nan,20,80,20,Right,Left,11,2,10,10,nan,nan,0.43
7/12/2024 16:41:37,1.17.0,Bandit,2,3.72,nan,20,80,20,Right,Left,11,3,10,10,nan,nan,0.36
7/12/2024 16:41:51,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,12,3,10,10,nan,nan,0.59
7/12/2024 16:41:52,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,12,3,11,10,0.06,40,nan
7/12/2024 16:41:56,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,13,3,11,11,nan,nan,0.42
7/12/2024 16:41:57,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,13,3,12,11,0.06,5,nan
7/12/2024 16:41:59,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,14,3,12,12,nan,nan,0.56
7/12/2024 16:42:12,1.17.0,Bandit,2,3.72,nan,20,80,20,Right,Left,14,4,12,12,nan,nan,0.79
7/12/2024 16:42:24,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,15,4,12,12,nan,nan,0.48
7/12/2024 16:42:24,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,15,4,13,12,0.06,27,nan
7/12/2024 16:42:26,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,16,4,13,13,nan,nan,0.43
7/12/2024 16:42:27,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,16,4,14,13,0.06,3,nan
7/12/2024 16:42:29,1.17.0,Bandit,2,3.71,nan,20,80,20,Left,Left,17,4,14,14,nan,nan,0.56
7/12/2024 16:42:30,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,17,4,15,14,0.06,3,nan
7/12/2024 16:42:32,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,18,4,15,15,nan,nan,0.54
7/12/2024 16:42:35,1.17.0,Bandit,2,3.72,2,20,80,20,Pellet,Left,18,4,16,15,0.06,5,nan
7/12/2024 16:42:37,1.17.0,Bandit,2,3.72,nan,20,80,20,Left,Left,19,4,16,16,nan,nan,0.56
7/12/2024 16:42:37,1.17.0,Bandit,2,3.72,1,20,80,20,Pellet,Left,19,4,17,16,0.06,2,nan
7/12/2024 16:42:40,1.17.0,Bandit,2,3.71,nan,20,80,20,Left,Left,20,4,17,17,nan,nan,0.46
7/12/2024 16:42:40,1.17.0,Bandit,2,3.71,1,20,80,20,Pellet,Left,20,4,18,17,0.06,3,nan
