MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/10/2025 17:34:56,1.17.0,Bandit,2,3.94,nan,20,80,20,Left,Left,1,0,0,0,nan,nan,3.01
2/10/2025 17:35:01,1.17.0,Bandit,2,3.94,3,20,80,20,Pellet,Left,1,0,1,0,0.06,nan,nan
2/10/2025 17:35:05,1.17.0,Bandit,2,3.94,nan,20,80,20,Right,Left,1,1,1,1,nan,nan,1.24
2/10/2025 17:35:19,1.17.0,Bandit,2,3.94,nan,20,80,20,Right,Left,1,2,1,1,nan,nan,1.22
2/10/2025 17:35:20,1.17.0,Bandit,2,3.94,1,20,80,20,Pellet,Left,1,2,2,1,0.06,19,nan
2/10/2025 17:35:24,1.17.0,Bandit,2,3.94,nan,20,80,20,Left,Left,2,2,2,2,nan,nan,0.76
2/10/2025 17:35:25,1.17.0,Bandit,2,3.94,1,20,80,20,Pellet,Left,2,2,3,2,0.06,5,nan
2/10/2025 17:35:28,1.17.0,Bandit,2,3.94,nan,20,80,20,Left,Left,3,2,3,3,nan,nan,0.92
2/10/2025 17:35:29,1.17.0,Bandit,2,3.94,1,20,80,20,Pellet,Left,3,2,4,3,0.06,4,nan
2/10/2025 17:35:31,1.17.0,Bandit,2,3.94,nan,20,80,20,Right,Left,3,3,4,4,nan,nan,0.83
2/10/2025 17:35:44,1.17.0,Bandit,2,3.94,nan,20,80,20,Right,Left,3,4,4,4,nan,nan,0.83
2/10/2025 17:35:51,1.17.0,Bandit,2,3.94,nan,20,80,20,LeftinTimeOut,Left,3,4,4,4,nan,nan,nan
2/10/2025 17:36:02,1.17.0,Bandit,2,3.94,nan,20,80,20,Right,Left,3,5,4,4,nan,nan,0.78
2/10/2025 17:36:13,1.17.0,Bandit,2,3.94,nan,20,80,20,Right,Left,3,6,4,4,nan,nan,0.72
2/10/2025 17:36:33,1.17.0,Bandit,2,3.94,nan,20,80,20,Left,Left,4,6,4,4,nan,nan,0.66
