MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/10/2025 16:10:41,1.17.0,Bandit,0,3.73,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.00
1/10/2025 16:18:38,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.12
1/10/2025 16:20:00,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.22
1/10/2025 16:24:54,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.07
1/10/2025 16:30:19,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.22
1/10/2025 16:32:11,1.17.0,Bandit,0,3.81,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.23
1/10/2025 16:32:14,1.17.0,Bandit,0,3.82,nan,30,100,0,RightWithPellet,Left,1,0,0,0,nan,nan,0.27
1/10/2025 16:32:27,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.20
1/10/2025 16:33:22,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.07
1/10/2025 16:33:29,1.17.0,Bandit,0,3.82,nan,30,100,0,RightWithPellet,Left,1,0,0,0,nan,nan,0.12
1/10/2025 16:37:12,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.20
1/10/2025 16:37:30,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.01
1/10/2025 16:37:35,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.01
1/10/2025 16:41:11,1.17.0,Bandit,0,3.82,2,30,100,0,Pellet,Left,1,0,1,0,Timed_out,nan,nan
1/10/2025 16:42:18,1.17.0,Bandit,0,3.82,nan,30,100,0,Left,Left,2,0,1,1,nan,nan,0.23
1/10/2025 16:42:47,1.17.0,Bandit,0,3.82,2,30,100,0,Pellet,Left,2,0,2,1,22.93,96,nan
1/10/2025 16:43:29,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,2,1,2,2,nan,nan,0.00
1/10/2025 16:43:42,1.17.0,Bandit,0,3.82,nan,30,100,0,Left,Left,3,1,2,2,nan,nan,0.00
1/10/2025 16:43:58,1.17.0,Bandit,0,3.81,1,30,100,0,Pellet,Left,3,1,3,2,12.50,71,nan
1/10/2025 16:44:31,1.17.0,Bandit,0,3.82,nan,30,100,0,Left,Left,4,1,3,3,nan,nan,0.00
1/10/2025 16:44:36,1.17.0,Bandit,0,3.82,1,30,100,0,Pellet,Left,4,1,4,3,1.32,38,nan
1/10/2025 16:45:06,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,4,2,4,4,nan,nan,0.27
1/10/2025 16:45:27,1.17.0,Bandit,0,3.81,nan,30,100,0,Right,Left,4,3,4,4,nan,nan,0.04
1/10/2025 16:46:02,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,4,4,4,4,nan,nan,0.00
1/10/2025 16:46:35,1.17.0,Bandit,0,3.81,nan,30,100,0,Left,Left,5,4,4,4,nan,nan,0.00
1/10/2025 16:46:51,1.17.0,Bandit,0,3.82,1,30,100,0,Pellet,Left,5,4,5,4,12.94,135,nan
1/10/2025 16:47:24,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,5,5,5,5,nan,nan,0.06
1/10/2025 16:47:30,1.17.0,Bandit,0,3.82,nan,30,100,0,LeftinTimeOut,Left,5,5,5,5,nan,nan,nan
1/10/2025 16:51:36,1.17.0,Bandit,0,3.82,nan,30,100,0,Left,Left,6,5,5,5,nan,nan,0.03
1/10/2025 16:51:57,1.17.0,Bandit,0,3.82,1,30,100,0,Pellet,Left,6,5,6,5,17.46,306,nan
1/10/2025 16:53:31,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,6,6,6,6,nan,nan,0.00
1/10/2025 16:54:08,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,6,7,6,6,nan,nan,0.00
1/10/2025 16:56:46,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,6,8,6,6,nan,nan,0.16
1/10/2025 16:56:59,1.17.0,Bandit,0,3.82,nan,30,100,0,Right,Left,6,9,6,6,nan,nan,0.00
