MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/29/2025 12:56:58,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,0,1,0,0,nan,nan,0.22
8/29/2025 13:00:12,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,0,2,0,0,nan,nan,0.19
8/29/2025 13:04:22,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,0,3,0,0,nan,nan,0.10
8/29/2025 13:05:15,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,1,3,0,0,nan,nan,0.28
8/29/2025 13:05:23,1.17.0,Bandit,2,4.00,3,30,100,0,Pellet,Left,1,3,1,0,0.69,nan,nan
8/29/2025 13:05:49,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,2,3,1,1,nan,nan,0.78
8/29/2025 13:05:55,1.17.0,Bandit,2,4.00,1,30,100,0,Pellet,Left,2,3,2,1,1.96,32,nan
8/29/2025 13:08:39,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,2,4,2,2,nan,nan,0.12
8/29/2025 13:09:03,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,2,5,2,2,nan,nan,0.40
8/29/2025 13:09:24,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,3,5,2,2,nan,nan,0.40
8/29/2025 13:09:29,1.17.0,Bandit,2,4.00,1,30,100,0,Pellet,Left,3,5,3,2,2.21,214,nan
8/29/2025 13:10:29,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,3,6,3,3,nan,nan,0.71
8/29/2025 13:14:44,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,4,6,3,3,nan,nan,0.18
8/29/2025 13:14:49,1.17.0,Bandit,2,4.00,1,30,100,0,Pellet,Left,4,6,4,3,1.39,320,nan
8/29/2025 13:15:14,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,4,7,4,4,nan,nan,0.00
8/29/2025 13:17:37,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,5,7,4,4,nan,nan,0.99
8/29/2025 13:17:52,1.17.0,Bandit,2,4.00,1,30,100,0,Pellet,Left,5,7,5,4,11.10,182,nan
8/29/2025 13:18:14,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,6,7,5,5,nan,nan,0.49
8/29/2025 13:18:18,1.17.0,Bandit,2,4.00,1,30,100,0,Pellet,Left,6,7,6,5,1.01,27,nan
8/29/2025 13:19:55,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,6,8,6,6,nan,nan,0.74
8/29/2025 13:22:32,1.17.0,Bandit,2,4.00,nan,30,100,0,Left,Left,7,8,6,6,nan,nan,0.18
8/29/2025 13:22:38,1.17.0,Bandit,2,4.00,1,30,100,0,Pellet,Left,7,8,7,6,2.21,260,nan
8/29/2025 13:26:55,1.17.0,Bandit,2,4.00,nan,30,100,0,Right,Left,7,9,7,7,nan,nan,0.17
