MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/31/2025 14:43:23,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.16
5/31/2025 14:44:52,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.23
5/31/2025 14:47:32,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.26
5/31/2025 14:50:19,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.33
5/31/2025 14:50:36,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.12
5/31/2025 14:50:40,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.06
5/31/2025 14:53:24,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.21
5/31/2025 14:53:57,1.17.0,Bandit,0,3.65,11,30,100,0,Pellet,Left,1,1,1,0,Timed_out,nan,nan
5/31/2025 14:57:11,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,1,2,1,1,nan,nan,0.08
5/31/2025 14:57:25,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,2,2,1,1,nan,nan,0.23
5/31/2025 14:57:57,1.17.0,Bandit,0,3.65,4,30,100,0,Pellet,Left,2,2,2,1,24.53,240,nan
5/31/2025 15:10:29,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,2,3,2,2,nan,nan,0.16
5/31/2025 15:13:13,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,2,4,2,2,nan,nan,0.04
5/31/2025 15:19:43,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,2,5,2,2,nan,nan,0.14
5/31/2025 15:20:00,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,3,5,2,2,nan,nan,0.04
5/31/2025 15:20:49,1.17.0,Bandit,0,3.65,11,30,100,0,Pellet,Left,3,5,3,2,13.39,1372,nan
5/31/2025 15:21:51,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,3,6,3,3,nan,nan,0.10
5/31/2025 15:25:40,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,3,7,3,3,nan,nan,0.24
5/31/2025 15:26:28,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,3,8,3,3,nan,nan,0.12
5/31/2025 15:26:51,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,4,8,3,3,nan,nan,0.57
5/31/2025 15:27:00,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftWithPellet,Left,4,8,3,3,nan,nan,0.02
5/31/2025 15:27:05,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftWithPellet,Left,4,8,3,3,nan,nan,0.13
5/31/2025 15:27:06,1.17.0,Bandit,0,3.65,3,30,100,0,Pellet,Left,4,8,4,3,9.93,377,nan
5/31/2025 15:32:13,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,4,9,4,4,nan,nan,0.03
5/31/2025 15:32:25,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,5,9,4,4,nan,nan,0.10
5/31/2025 15:32:30,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftDuringDispense,Left,5,9,4,4,nan,nan,0.06
5/31/2025 15:32:31,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftDuringDispense,Left,5,9,4,4,nan,nan,0.04
5/31/2025 15:32:37,1.17.0,Bandit,0,3.65,nan,30,100,0,RightDuringDispense,Left,5,9,4,4,nan,nan,0.24
5/31/2025 15:32:38,1.17.0,Bandit,0,3.65,nan,30,100,0,RightDuringDispense,Left,5,9,4,4,nan,nan,0.01
5/31/2025 15:32:55,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftDuringDispense,Left,5,9,4,4,nan,nan,0.54
5/31/2025 15:32:59,1.17.0,Bandit,0,3.65,nan,30,100,0,RightDuringDispense,Left,5,9,4,4,nan,nan,0.15
5/31/2025 15:33:05,1.17.0,Bandit,0,3.65,11,30,100,0,Pellet,Left,5,9,5,4,1.51,359,nan
5/31/2025 15:34:42,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,6,9,5,5,nan,nan,0.06
5/31/2025 15:34:56,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,6,10,5,5,nan,nan,0.03
5/31/2025 15:34:57,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,6,11,5,5,nan,nan,0.59
5/31/2025 15:34:58,1.17.0,Bandit,0,3.65,3,30,100,0,Pellet,Left,6,11,6,5,10.45,113,nan
5/31/2025 15:35:57,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,6,12,6,6,nan,nan,0.01
5/31/2025 15:37:15,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,6,13,6,6,nan,nan,0.07
5/31/2025 15:42:26,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,7,13,6,6,nan,nan,0.13
5/31/2025 15:42:50,1.17.0,Bandit,0,3.65,4,30,100,0,Pellet,Left,7,13,7,6,16.39,472,nan
5/31/2025 15:43:37,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,8,13,7,7,nan,nan,0.10
5/31/2025 15:44:09,1.17.0,Bandit,0,3.65,nan,30,100,0,RightDuringDispense,Left,8,13,7,7,nan,nan,0.20
5/31/2025 15:44:15,1.17.0,Bandit,0,3.65,11,30,100,0,Pellet,Left,8,13,8,7,1.83,85,nan
5/31/2025 15:44:47,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,8,14,8,8,nan,nan,0.02
5/31/2025 15:47:58,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,8,15,8,8,nan,nan,0.12
5/31/2025 15:49:51,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,9,15,8,8,nan,nan,0.59
5/31/2025 15:49:59,1.17.0,Bandit,0,3.65,3,30,100,0,Pellet,Left,9,15,9,8,0.94,344,nan
5/31/2025 15:52:37,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,10,15,9,9,nan,nan,0.27
5/31/2025 15:52:54,1.17.0,Bandit,0,3.65,6,30,100,0,Pellet,Left,10,15,10,9,3.23,175,nan
5/31/2025 15:53:38,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,10,16,10,10,nan,nan,0.44
5/31/2025 15:53:48,1.17.0,Bandit,0,3.64,nan,30,100,0,LeftinTimeOut,Left,10,16,10,10,nan,nan,nan
5/31/2025 15:54:01,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,10,17,10,10,nan,nan,0.02
5/31/2025 15:54:32,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,11,17,10,10,nan,nan,0.15
5/31/2025 15:54:35,1.17.0,Bandit,0,3.64,1,30,100,0,Pellet,Left,11,17,11,10,0.06,101,nan
5/31/2025 15:55:11,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,11,18,11,11,nan,nan,0.02
5/31/2025 15:56:37,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,12,18,11,11,nan,nan,0.13
5/31/2025 15:56:41,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,12,18,12,11,0.06,126,nan
5/31/2025 15:57:29,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,12,19,12,12,nan,nan,0.04
5/31/2025 15:59:40,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,13,19,12,12,nan,nan,0.12
5/31/2025 15:59:51,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,13,19,13,12,6.91,190,nan
5/31/2025 16:04:25,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,14,19,13,13,nan,nan,0.04
5/31/2025 16:04:30,1.17.0,Bandit,0,3.65,2,30,100,0,Pellet,Left,14,19,14,13,0.06,279,nan
5/31/2025 16:06:41,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,15,19,14,14,nan,nan,0.70
5/31/2025 16:06:56,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,15,19,15,14,12.00,146,nan
5/31/2025 16:07:28,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,15,20,15,15,nan,nan,0.05
5/31/2025 16:10:57,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,15,21,15,15,nan,nan,0.11
5/31/2025 16:11:54,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,15,22,15,15,nan,nan,0.02
5/31/2025 16:15:56,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,16,22,15,15,nan,nan,0.06
5/31/2025 16:16:11,1.17.0,Bandit,0,3.65,nan,30,100,0,RightWithPellet,Left,16,23,15,15,nan,nan,0.33
5/31/2025 16:16:16,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,16,23,16,15,16.51,560,nan
5/31/2025 16:19:05,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,16,24,16,16,nan,nan,0.05
5/31/2025 16:21:15,1.17.0,Bandit,0,3.64,nan,30,100,0,Left,Left,17,24,16,16,nan,nan,0.19
5/31/2025 16:21:35,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftWithPellet,Left,17,24,16,16,nan,nan,0.12
5/31/2025 16:21:38,1.17.0,Bandit,0,3.65,5,30,100,0,Pellet,Left,17,24,17,16,11.13,322,nan
5/31/2025 16:22:45,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,18,24,17,17,nan,nan,0.02
5/31/2025 16:23:09,1.17.0,Bandit,0,3.64,10,30,100,0,Pellet,Left,18,24,18,17,1.58,91,nan
5/31/2025 16:26:13,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,18,25,18,18,nan,nan,0.36
5/31/2025 16:33:06,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,19,25,18,18,nan,nan,0.05
5/31/2025 16:33:18,1.17.0,Bandit,0,3.65,5,30,100,0,Pellet,Left,19,25,19,18,1.71,609,nan
5/31/2025 16:33:39,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,20,25,19,19,nan,nan,0.09
5/31/2025 16:33:44,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftDuringDispense,Left,20,25,19,19,nan,nan,0.18
5/31/2025 16:33:46,1.17.0,Bandit,0,3.65,3,30,100,0,Pellet,Left,20,25,20,19,0.06,28,nan
5/31/2025 16:34:23,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,21,25,20,20,nan,nan,0.16
5/31/2025 16:34:28,1.17.0,Bandit,0,3.64,1,30,100,0,Pellet,Left,21,25,21,20,1.83,42,nan
5/31/2025 16:34:47,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,21,26,21,21,nan,nan,0.03
5/31/2025 16:35:27,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,21,27,21,21,nan,nan,0.05
5/31/2025 16:38:10,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,21,28,21,21,nan,nan,0.05
5/31/2025 16:42:36,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,22,28,21,21,nan,nan,0.17
5/31/2025 16:42:44,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,22,28,22,21,4.76,496,nan
5/31/2025 16:44:40,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,22,29,22,22,nan,nan,0.04
5/31/2025 16:44:48,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftinTimeOut,Left,22,29,22,22,nan,nan,nan
5/31/2025 16:47:31,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,23,29,22,22,nan,nan,0.01
5/31/2025 16:47:39,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,23,29,23,22,3.87,294,nan
5/31/2025 16:48:14,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,23,30,23,23,nan,nan,0.09
5/31/2025 16:50:32,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,23,31,23,23,nan,nan,0.30
5/31/2025 16:52:18,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,24,31,23,23,nan,nan,0.53
5/31/2025 16:52:22,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,24,31,24,23,0.75,284,nan
5/31/2025 16:53:05,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,24,32,24,24,nan,nan,0.10
5/31/2025 16:53:10,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftinTimeOut,Left,24,32,24,24,nan,nan,nan
5/31/2025 16:53:13,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftinTimeOut,Left,24,32,24,24,nan,nan,nan
5/31/2025 16:53:18,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftinTimeOut,Left,24,32,24,24,nan,nan,nan
5/31/2025 16:53:20,1.17.0,Bandit,0,3.64,nan,30,100,0,LeftinTimeOut,Left,24,32,24,24,nan,nan,nan
5/31/2025 16:53:23,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftinTimeOut,Left,24,32,24,24,nan,nan,nan
5/31/2025 16:54:02,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,24,33,24,24,nan,nan,0.06
5/31/2025 17:01:58,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,24,34,24,24,nan,nan,0.06
5/31/2025 17:02:33,1.17.0,Bandit,0,3.64,nan,30,100,0,Right,Left,24,35,24,24,nan,nan,0.19
5/31/2025 17:02:52,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,25,35,24,24,nan,nan,0.04
5/31/2025 17:03:00,1.17.0,Bandit,0,3.65,2,30,100,0,Pellet,Left,25,35,25,24,4.50,638,nan
5/31/2025 17:03:28,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,26,35,25,25,nan,nan,0.13
5/31/2025 17:04:03,1.17.0,Bandit,0,3.64,9,30,100,0,Pellet,Left,26,35,26,25,17.23,63,nan
5/31/2025 17:05:47,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,27,35,26,26,nan,nan,0.32
5/31/2025 17:05:51,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,27,35,27,26,0.06,108,nan
5/31/2025 17:06:52,1.17.0,Bandit,0,3.64,nan,30,100,0,Left,Left,28,35,27,27,nan,nan,0.28
5/31/2025 17:06:55,1.17.0,Bandit,0,3.64,1,30,100,0,Pellet,Left,28,35,28,27,0.06,64,nan
5/31/2025 17:07:42,1.17.0,Bandit,0,3.65,nan,30,100,0,Right,Left,28,36,28,28,nan,nan,0.03
5/31/2025 17:07:46,1.17.0,Bandit,0,3.65,nan,30,100,0,LeftinTimeOut,Left,28,36,28,28,nan,nan,nan
5/31/2025 17:08:13,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,29,36,28,28,nan,nan,0.03
5/31/2025 17:08:24,1.17.0,Bandit,0,3.65,1,30,100,0,Pellet,Left,29,36,29,28,7.55,89,nan
5/31/2025 17:08:58,1.17.0,Bandit,0,3.65,nan,30,100,0,Left,Left,30,36,29,29,nan,nan,0.26
