MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/14/2024 15:14:41,1.17.0,Bandit,1,3.67,nan,30,100,0,Right,Left,0,1,0,0,nan,nan,0.37
10/14/2024 15:20:25,1.17.0,Bandit,1,3.65,nan,30,100,0,Right,Left,0,2,0,0,nan,nan,0.11
10/14/2024 15:23:04,1.17.0,Bandit,1,3.67,nan,30,100,0,Right,Left,0,3,0,0,nan,nan,0.15
10/14/2024 15:27:09,1.17.0,Bandit,1,3.67,nan,30,100,0,Right,Left,0,4,0,0,nan,nan,0.25
10/14/2024 15:34:34,1.17.0,Bandit,1,3.67,nan,30,100,0,Right,Left,0,5,0,0,nan,nan,0.16
10/14/2024 15:34:42,1.17.0,Bandit,1,3.67,nan,30,100,0,LeftinTimeOut,Left,0,5,0,0,nan,nan,nan
10/14/2024 15:34:44,1.17.0,Bandit,1,3.66,nan,30,100,0,LeftinTimeOut,Left,0,5,0,0,nan,nan,nan
10/14/2024 15:34:45,1.17.0,Bandit,1,3.67,nan,30,100,0,LeftinTimeOut,Left,0,5,0,0,nan,nan,nan
10/14/2024 15:37:19,1.17.0,Bandit,1,3.67,nan,30,100,0,Right,Left,0,6,0,0,nan,nan,0.26
10/14/2024 15:37:22,1.17.0,Bandit,1,3.66,nan,30,100,0,LeftinTimeOut,Left,0,6,0,0,nan,nan,nan
10/14/2024 15:37:22,1.17.0,Bandit,1,3.67,nan,30,100,0,LeftinTimeOut,Left,0,6,0,0,nan,nan,nan
10/14/2024 15:39:57,1.17.0,Bandit,1,3.65,nan,30,100,0,Right,Left,0,7,0,0,nan,nan,0.23
10/14/2024 15:41:21,1.17.0,Bandit,1,3.67,nan,30,100,0,Left,Left,1,7,0,0,nan,nan,0.12
10/14/2024 15:41:26,1.17.0,Bandit,1,3.66,2,30,100,0,Pellet,Left,1,7,1,0,1.76,nan,nan
10/14/2024 15:41:54,1.17.0,Bandit,1,3.67,nan,30,100,0,Left,Left,2,7,1,1,nan,nan,0.05
10/14/2024 15:42:01,1.17.0,Bandit,1,3.67,1,30,100,0,Pellet,Left,2,7,2,1,4.17,35,nan
10/14/2024 15:46:34,1.17.0,Bandit,1,3.65,nan,30,100,0,Left,Left,3,7,2,2,nan,nan,0.06
10/14/2024 15:46:39,1.17.0,Bandit,1,3.66,1,30,100,0,Pellet,Left,3,7,3,2,1.01,278,nan
10/14/2024 15:47:31,1.17.0,Bandit,1,3.66,nan,30,100,0,Right,Left,3,8,3,3,nan,nan,0.53
10/14/2024 15:49:10,1.17.0,Bandit,1,3.67,nan,30,100,0,Left,Left,4,8,3,3,nan,nan,0.19
10/14/2024 15:49:15,1.17.0,Bandit,1,3.67,1,30,100,0,Pellet,Left,4,8,4,3,1.77,156,nan
10/14/2024 15:50:11,1.17.0,Bandit,1,3.66,nan,30,100,0,Left,Left,5,8,4,4,nan,nan,0.37
10/14/2024 15:50:15,1.17.0,Bandit,1,3.67,1,30,100,0,Pellet,Left,5,8,5,4,0.63,60,nan
