MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/13/2025 15:44,1.17.0,Bandit,7,3.58,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.25
1/13/2025 15:44,1.17.0,Bandit,7,3.58,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.14
1/13/2025 15:49,1.17.0,Bandit,7,3.59,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.14
1/13/2025 15:54,1.17.0,Bandit,7,3.58,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.2
1/13/2025 16:11,1.17.0,Bandit,7,3.59,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.45
1/13/2025 16:13,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.06
1/13/2025 16:32,1.17.0,Bandit,7,3.58,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.19
1/13/2025 16:42,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.03
1/13/2025 16:57,1.17.0,Bandit,7,3.59,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.21
1/13/2025 17:22,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.11
1/13/2025 17:58,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.53
1/13/2025 18:09,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.01
1/13/2025 19:37,1.17.0,Bandit,7,3.58,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.68
1/13/2025 21:25,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.3
1/13/2025 21:53,1.17.0,Bandit,7,3.58,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.29
1/13/2025 23:16,1.17.0,Bandit,7,3.58,nan,30,100,0,LeftWithPellet,Left,1,1,0,0,nan,nan,0.32
1/14/2025 0:18,1.17.0,Bandit,7,3.58,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.04
1/14/2025 1:52,1.17.0,Bandit,7,3.58,3,30,100,0,Pellet,Left,1,1,1,0,Timed_out,nan,nan
1/14/2025 1:53,1.17.0,Bandit,7,3.58,nan,30,100,0,Left,Left,2,1,1,1,nan,nan,0.16
1/14/2025 1:53,1.17.0,Bandit,7,3.58,1,30,100,0,Pellet,Left,2,1,2,1,9.95,92,nan
1/14/2025 1:54,1.17.0,Bandit,7,3.57,nan,30,100,0,Right,Left,2,2,2,2,nan,nan,0
1/14/2025 1:56,1.17.0,Bandit,7,3.58,nan,30,100,0,Right,Left,2,3,2,2,nan,nan,0.64
1/14/2025 1:58,1.17.0,Bandit,7,3.57,nan,30,100,0,Left,Left,3,3,2,2,nan,nan,0.51
1/14/2025 1:59,1.17.0,Bandit,7,3.58,1,30,100,0,Pellet,Left,3,3,3,2,33.65,351,nan
1/14/2025 1:59,1.17.0,Bandit,7,3.58,nan,30,100,0,Right,Left,3,4,3,3,nan,nan,0.17
1/14/2025 2:01,1.17.0,Bandit,7,3.57,nan,30,100,0,Left,Left,4,4,3,3,nan,nan,0
1/14/2025 2:01,1.17.0,Bandit,7,3.58,1,30,100,0,Pellet,Left,4,4,4,3,4.68,111,nan
1/14/2025 2:03,1.17.0,Bandit,7,3.58,nan,30,100,0,Right,Left,4,5,4,4,nan,nan,0
1/14/2025 2:03,1.17.0,Bandit,7,3.58,nan,30,100,0,Right,Left,4,6,4,4,nan,nan,0
