MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/9/2025 17:46:22,1.17.0,Bandit,0,4.16,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.25
9/9/2025 17:49:21,1.17.0,Bandit,0,4.16,nan,30,100,0,RightWithPellet,Left,1,0,0,0,nan,nan,0.14
9/9/2025 17:49:22,1.17.0,Bandit,0,4.16,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.03
9/9/2025 17:50:09,1.17.0,Bandit,0,4.16,nan,30,100,0,RightWithPellet,Left,1,0,0,0,nan,nan,0.15
9/9/2025 17:50:30,1.17.0,Bandit,0,4.16,nan,30,100,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.53
9/9/2025 17:50:33,1.17.0,Bandit,0,4.16,nan,30,100,0,RightWithPellet,Left,1,0,0,0,nan,nan,0.12
9/9/2025 17:53:34,1.17.0,Bandit,0,4.16,3,30,100,0,Pellet,Left,1,0,1,0,Timed_out,nan,nan
9/9/2025 17:55:32,1.17.0,Bandit,0,4.16,nan,30,100,0,Left,Left,2,0,1,1,nan,nan,0.25
9/9/2025 17:55:37,1.17.0,Bandit,0,4.16,2,30,100,0,Pellet,Left,2,0,2,1,1.51,123,nan
9/9/2025 17:57:59,1.17.0,Bandit,0,4.16,nan,30,100,0,Right,Left,2,1,2,2,nan,nan,0.01
9/9/2025 17:58:05,1.17.0,Bandit,0,4.16,nan,30,100,0,LeftinTimeOut,Left,2,1,2,2,nan,nan,nan
9/9/2025 17:58:06,1.17.0,Bandit,0,4.16,nan,30,100,0,LeftinTimeOut,Left,2,1,2,2,nan,nan,nan
9/9/2025 17:58:42,1.17.0,Bandit,0,4.16,nan,30,100,0,Right,Left,2,2,2,2,nan,nan,0.37
9/9/2025 18:01:19,1.17.0,Bandit,0,4.16,nan,30,100,0,Right,Left,2,3,2,2,nan,nan,0.06
9/9/2025 18:02:01,1.17.0,Bandit,0,4.16,nan,30,100,0,Left,Left,3,3,2,2,nan,nan,0.23
9/9/2025 18:02:21,1.17.0,Bandit,0,4.16,nan,30,100,0,LeftWithPellet,Left,3,3,2,2,nan,nan,0.16
9/9/2025 18:02:22,1.17.0,Bandit,0,4.16,nan,30,100,0,LeftWithPellet,Left,3,3,2,2,nan,nan,0.39
9/9/2025 18:02:23,1.17.0,Bandit,0,4.16,2,30,100,0,Pellet,Left,3,3,3,2,18.64,406,nan
