MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/10/2089 5:05,1.17.0,Bandit,0,4.02,nan,30,100,0,Right,Left,0,1,0,0,nan,nan,0.22
1/10/2089 5:08,1.17.0,Bandit,0,4.02,nan,30,100,0,Left,Left,1,1,0,0,nan,nan,0.33
1/10/2089 5:09,1.17.0,Bandit,0,4.05,2,30,100,0,Pellet,Left,1,1,1,0,1.64,nan,nan
1/10/2089 5:09,1.17.0,Bandit,0,4.05,nan,30,100,0,Left,Left,2,1,1,1,nan,nan,0.14
1/10/2089 5:11,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.13
1/10/2089 5:13,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.06
1/10/2089 5:13,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.28
1/10/2089 5:13,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.02
1/10/2089 5:15,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.14
1/10/2089 5:18,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.06
1/10/2089 5:18,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.49
1/10/2089 5:18,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.02
1/10/2089 5:19,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.38
1/10/2089 5:19,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.04
1/10/2089 5:19,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.24
1/10/2089 5:21,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.23
1/10/2089 5:22,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.46
1/10/2089 5:24,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.15
1/10/2089 5:26,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.57
1/10/2089 5:26,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.68
1/10/2089 5:26,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.34
1/10/2089 5:27,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.46
1/10/2089 5:27,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.07
1/10/2089 5:29,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.19
1/10/2089 5:30,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.42
1/10/2089 5:34,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.23
1/10/2089 5:39,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.24
1/10/2089 5:39,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.4
1/10/2089 5:40,1.17.0,Bandit,0,4.05,nan,30,100,0,LeftWithPellet,Left,2,1,1,1,nan,nan,0.18
1/10/2089 5:43,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.39
1/10/2089 5:44,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,2,1,1,1,nan,nan,0.5
1/10/2089 5:46,1.17.0,Bandit,0,4.04,1,30,100,0,Pellet,Left,2,1,2,1,Timed_out,2268,nan
1/10/2089 5:47,1.17.0,Bandit,0,4.05,nan,30,100,0,Left,Left,3,1,2,2,nan,nan,0.01
1/10/2089 5:47,1.17.0,Bandit,0,4.04,1,30,100,0,Pellet,Left,3,1,3,2,1.13,34,nan
1/10/2089 5:49,1.17.0,Bandit,0,4.05,nan,30,100,0,Left,Left,4,1,3,3,nan,nan,0.14
1/10/2089 5:53,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,4,1,3,3,nan,nan,0.17
1/10/2089 5:53,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,4,1,3,3,nan,nan,0.33
1/10/2089 5:53,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,4,1,3,3,nan,nan,0.48
1/10/2089 5:53,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,4,1,3,3,nan,nan,0.5
1/10/2089 5:54,1.17.0,Bandit,0,4.05,nan,30,100,0,RightWithPellet,Left,4,1,3,3,nan,nan,0.61
1/10/2089 5:54,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,4,1,3,3,nan,nan,1.02
1/10/2089 5:54,1.17.0,Bandit,0,4.05,1,30,100,0,Pellet,Left,4,1,4,3,Timed_out,407,nan
1/10/2089 6:19,1.17.0,Bandit,0,4.04,nan,30,100,0,Left,Left,5,1,4,4,nan,nan,0.85
1/10/2089 6:20,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,5,2,4,4,nan,nan,0.02
1/10/2089 6:20,1.17.0,Bandit,0,4.04,nan,30,100,0,RightWithPellet,Left,5,3,4,4,nan,nan,0.01
1/10/2089 6:21,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,5,3,4,4,nan,nan,0.43
1/10/2089 6:21,1.17.0,Bandit,0,4.04,nan,30,100,0,LeftWithPellet,Left,5,3,4,4,nan,nan,0.19
1/10/2089 6:24,1.17.0,Bandit,0,4.04,3,30,100,0,Pellet,Left,5,3,5,4,Timed_out,1798,nan
1/10/2089 6:24,1.17.0,Bandit,0,4.04,nan,30,100,0,Right,Left,5,4,5,5,nan,nan,0.18
1/10/2089 6:29,1.17.0,Bandit,0,4.04,nan,30,100,0,Right,Left,5,5,5,5,nan,nan,0.03
