MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/29/2025 21:10:43,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.13
1/29/2025 21:10:53,1.17.0,Bandit,11,3.88,3,30,100,0,Pellet,Left,1,0,1,0,0.06,nan,nan
1/29/2025 21:11:49,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,2,0,1,1,nan,nan,0.00
1/29/2025 21:13:07,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.03
1/29/2025 21:13:10,1.17.0,Bandit,11,3.87,nan,30,100,0,RightWithPellet,Left,2,0,1,1,nan,nan,0.16
1/29/2025 21:14:03,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.06
1/29/2025 21:15:28,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.09
1/29/2025 21:15:43,1.17.0,Bandit,11,3.87,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.08
1/29/2025 21:16:02,1.17.0,Bandit,11,3.89,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.14
1/29/2025 21:16:51,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.27
1/29/2025 21:16:57,1.17.0,Bandit,11,3.88,nan,30,100,0,RightWithPellet,Left,2,0,1,1,nan,nan,0.19
1/29/2025 21:18:35,1.17.0,Bandit,11,3.88,nan,30,100,0,RightWithPellet,Left,2,0,1,1,nan,nan,0.18
1/29/2025 21:21:28,1.17.0,Bandit,11,3.87,nan,30,100,0,LeftWithPellet,Left,2,0,1,1,nan,nan,0.07
1/29/2025 21:23:09,1.17.0,Bandit,11,3.88,nan,30,100,0,RightWithPellet,Left,2,0,1,1,nan,nan,0.64
1/29/2025 21:23:41,1.17.0,Bandit,11,3.88,nan,30,100,0,RightWithPellet,Left,2,0,1,1,nan,nan,0.08
1/29/2025 21:23:42,1.17.0,Bandit,11,3.88,nan,30,100,0,RightWithPellet,Left,2,0,1,1,nan,nan,0.02
1/29/2025 21:24:49,1.17.0,Bandit,11,3.88,2,30,100,0,Pellet,Left,2,0,2,1,Timed_out,836,nan
1/29/2025 21:25:28,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,3,0,2,2,nan,nan,0.00
1/29/2025 21:25:36,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,3,0,3,2,2.15,47,nan
1/29/2025 21:28:10,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,3,1,3,3,nan,nan,0.02
1/29/2025 21:30:21,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,4,1,3,3,nan,nan,0.00
1/29/2025 21:30:33,1.17.0,Bandit,11,3.87,1,30,100,0,Pellet,Left,4,1,4,3,6.53,297,nan
1/29/2025 21:33:02,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,4,2,4,4,nan,nan,0.12
1/29/2025 21:36:22,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,4,3,4,4,nan,nan,0.00
1/29/2025 21:38:56,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,5,3,4,4,nan,nan,0.14
1/29/2025 21:39:05,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,5,3,5,4,3.42,512,nan
1/29/2025 21:40:17,1.17.0,Bandit,11,3.87,nan,30,100,0,Right,Left,5,4,5,5,nan,nan,0.00
1/29/2025 21:40:26,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,5,4,5,5,nan,nan,nan
1/29/2025 21:40:29,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,5,4,5,5,nan,nan,nan
1/29/2025 21:43:04,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,6,4,5,5,nan,nan,0.10
1/29/2025 21:43:12,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,6,4,6,5,1.89,246,nan
1/29/2025 21:43:24,1.17.0,Bandit,11,3.87,nan,30,100,0,Left,Left,7,4,6,6,nan,nan,0.08
1/29/2025 21:43:30,1.17.0,Bandit,11,3.88,2,30,100,0,Pellet,Left,7,4,7,6,0.56,19,nan
1/29/2025 21:44:08,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,7,5,7,7,nan,nan,0.00
1/29/2025 21:44:18,1.17.0,Bandit,11,3.87,nan,30,100,0,LeftinTimeOut,Left,7,5,7,7,nan,nan,nan
1/29/2025 21:45:18,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,8,5,7,7,nan,nan,0.15
1/29/2025 21:45:29,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,8,5,8,7,5.01,119,nan
1/29/2025 21:46:52,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,9,5,8,8,nan,nan,0.06
1/29/2025 21:46:58,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftWithPellet,Left,9,5,8,8,nan,nan,0.19
1/29/2025 21:46:59,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,9,5,9,8,1.50,90,nan
1/29/2025 21:47:16,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,9,6,9,9,nan,nan,0.00
1/29/2025 21:48:57,1.17.0,Bandit,11,3.87,nan,30,100,0,Right,Left,9,7,9,9,nan,nan,0.00
1/29/2025 21:49:31,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,9,8,9,9,nan,nan,0.00
1/29/2025 21:49:36,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,9,8,9,9,nan,nan,nan
1/29/2025 21:51:41,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,9,9,9,9,nan,nan,0.00
1/29/2025 21:52:44,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,9,10,9,9,nan,nan,0.00
1/29/2025 21:52:49,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,9,10,9,9,nan,nan,nan
1/29/2025 21:53:46,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,10,10,9,9,nan,nan,0.13
1/29/2025 21:53:54,1.17.0,Bandit,11,3.87,1,30,100,0,Pellet,Left,10,10,10,9,2.53,415,nan
1/29/2025 21:55:08,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,10,11,10,10,nan,nan,0.00
1/29/2025 21:55:15,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,10,11,10,10,nan,nan,nan
1/29/2025 21:59:40,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,10,12,10,10,nan,nan,0.00
1/29/2025 21:59:43,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,10,12,10,10,nan,nan,nan
1/29/2025 21:59:48,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,10,12,10,10,nan,nan,nan
1/29/2025 21:59:55,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,10,12,10,10,nan,nan,nan
1/29/2025 21:59:56,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,10,12,10,10,nan,nan,nan
1/29/2025 21:59:58,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,10,12,10,10,nan,nan,nan
1/29/2025 22:01:56,1.17.0,Bandit,11,3.87,nan,30,100,0,Right,Left,10,13,10,10,nan,nan,0.00
1/29/2025 22:04:27,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,10,14,10,10,nan,nan,0.00
1/29/2025 22:05:22,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,11,14,10,10,nan,nan,0.05
1/29/2025 22:05:30,1.17.0,Bandit,11,3.87,2,30,100,0,Pellet,Left,11,14,11,10,0.25,696,nan
1/29/2025 22:05:47,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,11,15,11,11,nan,nan,0.00
1/29/2025 22:06:18,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,11,16,11,11,nan,nan,0.50
1/29/2025 22:07:28,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,11,17,11,11,nan,nan,0.08
1/29/2025 22:07:43,1.17.0,Bandit,11,3.87,nan,30,100,0,Right,Left,11,18,11,11,nan,nan,0.00
1/29/2025 22:09:07,1.17.0,Bandit,11,3.87,nan,30,100,0,Left,Left,12,18,11,11,nan,nan,0.08
1/29/2025 22:09:13,1.17.0,Bandit,11,3.87,1,30,100,0,Pellet,Left,12,18,12,11,0.06,223,nan
1/29/2025 22:09:44,1.17.0,Bandit,11,3.88,nan,30,100,0,Left,Left,13,18,12,12,nan,nan,0.01
1/29/2025 22:09:51,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,13,18,13,12,1.39,38,nan
1/29/2025 22:10:01,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,13,19,13,13,nan,nan,0.00
1/29/2025 22:10:05,1.17.0,Bandit,11,3.87,nan,30,100,0,LeftinTimeOut,Left,13,19,13,13,nan,nan,nan
1/29/2025 22:10:11,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,13,19,13,13,nan,nan,nan
1/29/2025 22:11:11,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,13,20,13,13,nan,nan,0.00
1/29/2025 22:12:07,1.17.0,Bandit,11,3.87,nan,30,100,0,Left,Left,14,20,13,13,nan,nan,0.00
1/29/2025 22:12:17,1.17.0,Bandit,11,3.88,1,30,100,0,Pellet,Left,14,20,14,13,3.80,146,nan
1/29/2025 22:16:03,1.17.0,Bandit,11,3.88,nan,30,100,0,Right,Left,14,21,14,14,nan,nan,0.08
1/29/2025 22:16:07,1.17.0,Bandit,11,3.87,nan,30,100,0,LeftinTimeOut,Left,14,21,14,14,nan,nan,nan
1/29/2025 22:16:12,1.17.0,Bandit,11,3.88,nan,30,100,0,LeftinTimeOut,Left,14,21,14,14,nan,nan,nan
1/29/2025 22:19:30,1.17.0,Bandit,11,3.87,nan,30,100,0,Left,Left,15,21,14,14,nan,nan,0.17
1/29/2025 22:19:39,1.17.0,Bandit,11,3.87,1,30,100,0,Pellet,Left,15,21,15,14,3.93,442,nan
1/29/2025 22:19:55,1.17.0,Bandit,11,3.87,nan,30,100,0,Right,Left,15,22,15,15,nan,nan,0.00
