MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/29/2025 20:01:19,1.17.0,Bandit,5,3.84,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.06
1/29/2025 20:04:07,1.17.0,Bandit,5,3.83,3,30,100,0,Pellet,Left,1,0,1,0,Timed_out,nan,nan
1/29/2025 20:04:50,1.17.0,Bandit,5,3.84,nan,30,100,0,Right,Left,1,1,1,1,nan,nan,0.17
1/29/2025 20:05:10,1.17.0,Bandit,5,3.83,nan,30,100,0,Right,Left,1,2,1,1,nan,nan,0.00
1/29/2025 20:06:14,1.17.0,Bandit,5,3.84,nan,30,100,0,Left,Left,2,2,1,1,nan,nan,0.31
1/29/2025 20:06:20,1.17.0,Bandit,5,3.84,1,30,100,0,Pellet,Left,2,2,2,1,0.44,133,nan
1/29/2025 20:06:27,1.17.0,Bandit,5,3.84,nan,30,100,0,Left,Left,3,2,2,2,nan,nan,0.00
1/29/2025 20:06:35,1.17.0,Bandit,5,3.84,1,30,100,0,Pellet,Left,3,2,3,2,2.72,15,nan
1/29/2025 20:09:17,1.17.0,Bandit,5,3.83,nan,30,100,0,Right,Left,3,3,3,3,nan,nan,0.07
1/29/2025 20:09:31,1.17.0,Bandit,5,3.84,nan,30,100,0,Left,Left,4,3,3,3,nan,nan,0.04
1/29/2025 20:09:38,1.17.0,Bandit,5,3.84,1,30,100,0,Pellet,Left,4,3,4,3,0.94,183,nan
1/29/2025 20:14:53,1.17.0,Bandit,5,3.84,nan,30,100,0,Left,Left,5,3,4,4,nan,nan,0.07
1/29/2025 20:15:00,1.17.0,Bandit,5,3.84,1,30,100,0,Pellet,Left,5,3,5,4,0.56,321,nan
1/29/2025 20:15:20,1.17.0,Bandit,5,3.83,nan,30,100,0,Right,Left,5,4,5,5,nan,nan,0.00
1/29/2025 20:15:46,1.17.0,Bandit,5,3.84,nan,30,100,0,Right,Left,5,5,5,5,nan,nan,0.02
1/29/2025 20:16:23,1.17.0,Bandit,5,3.84,nan,30,100,0,Right,Left,5,6,5,5,nan,nan,0.00
1/29/2025 20:17:26,1.17.0,Bandit,5,3.84,nan,30,100,0,Left,Left,6,6,5,5,nan,nan,0.13
1/29/2025 20:17:33,1.17.0,Bandit,5,3.83,1,30,100,0,Pellet,Left,6,6,6,5,1.20,154,nan
1/29/2025 20:18:34,1.17.0,Bandit,5,3.84,nan,30,100,0,Right,Left,6,7,6,6,nan,nan,0.00
