MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/28/2025 18:46:36,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.03
8/28/2025 18:47:22,1.17.0,Bandit,8,3.91,3,30,100,0,Pellet,Left,1,0,1,0,38.96,nan,nan
8/28/2025 18:49:53,1.17.0,Bandit,8,3.91,nan,30,100,0,Right,Left,1,1,1,1,nan,nan,0.02
8/28/2025 18:51:37,1.17.0,Bandit,8,3.91,nan,30,100,0,Right,Left,1,2,1,1,nan,nan,0.01
8/28/2025 19:06:37,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,2,2,1,1,nan,nan,0.43
8/28/2025 19:06:54,1.17.0,Bandit,8,3.91,3,30,100,0,Pellet,Left,2,2,2,1,9.46,1172,nan
8/28/2025 19:08:50,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,3,2,2,2,nan,nan,0.04
8/28/2025 19:15:29,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftWithPellet,Left,3,2,2,2,nan,nan,0.10
8/28/2025 19:15:32,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftWithPellet,Left,3,2,2,2,nan,nan,0.82
8/28/2025 19:15:34,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftWithPellet,Left,3,2,2,2,nan,nan,0.75
8/28/2025 19:22:13,1.17.0,Bandit,8,3.91,nan,30,100,0,RightWithPellet,Left,3,2,2,2,nan,nan,0.38
8/28/2025 19:25:52,1.17.0,Bandit,8,3.91,1,30,100,0,Pellet,Left,3,2,3,2,Timed_out,1138,nan
8/28/2025 19:26:36,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,4,2,3,3,nan,nan,0.04
8/28/2025 19:27:28,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftWithPellet,Left,4,2,3,3,nan,nan,0.04
8/28/2025 19:34:04,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftWithPellet,Left,4,2,3,3,nan,nan,0.02
8/28/2025 19:34:46,1.17.0,Bandit,8,3.91,nan,30,100,0,RightWithPellet,Left,4,2,3,3,nan,nan,0.81
8/28/2025 19:34:48,1.17.0,Bandit,8,3.91,nan,30,100,0,RightWithPellet,Left,4,2,3,3,nan,nan,0.35
8/28/2025 19:45:40,1.17.0,Bandit,8,3.91,1,30,100,0,Pellet,Left,4,2,4,3,Timed_out,1188,nan
8/28/2025 19:46:22,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,5,2,4,4,nan,nan,0.76
8/28/2025 19:47:05,1.17.0,Bandit,8,3.91,2,30,100,0,Pellet,Left,5,2,5,4,39.11,84,nan
8/28/2025 19:54:06,1.17.0,Bandit,8,3.91,nan,30,100,0,Right,Left,5,3,5,5,nan,nan,0.06
8/28/2025 19:54:28,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,6,3,5,5,nan,nan,0.60
8/28/2025 19:54:37,1.17.0,Bandit,8,3.91,1,30,100,0,Pellet,Left,6,3,6,5,6.03,453,nan
8/28/2025 20:00:36,1.17.0,Bandit,8,3.91,nan,30,100,0,Right,Left,6,4,6,6,nan,nan,0.26
8/28/2025 20:06:15,1.17.0,Bandit,8,3.90,nan,30,100,0,Right,Left,6,5,6,6,nan,nan,0.11
8/28/2025 20:06:36,1.17.0,Bandit,8,3.91,nan,30,100,0,Right,Left,6,6,6,6,nan,nan,0.07
8/28/2025 20:06:56,1.17.0,Bandit,8,3.90,nan,30,100,0,Right,Left,6,7,6,6,nan,nan,0.10
8/28/2025 20:07:03,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftinTimeOut,Left,6,7,6,6,nan,nan,nan
8/28/2025 20:07:03,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftinTimeOut,Left,6,7,6,6,nan,nan,nan
8/28/2025 20:07:04,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftinTimeOut,Left,6,7,6,6,nan,nan,nan
8/28/2025 20:11:58,1.17.0,Bandit,8,3.90,nan,30,100,0,Right,Left,6,8,6,6,nan,nan,0.09
8/28/2025 20:12:48,1.17.0,Bandit,8,3.91,nan,30,100,0,Right,Left,6,9,6,6,nan,nan,0.13
8/28/2025 20:15:34,1.17.0,Bandit,8,3.91,nan,30,100,0,Left,Left,7,9,6,6,nan,nan,0.07
8/28/2025 20:15:43,1.17.0,Bandit,8,3.91,nan,30,100,0,LeftWithPellet,Left,7,9,6,6,nan,nan,0.24
