MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/28/2025 15:01:04,1.17.0,Bandit,0,3.80,nan,30,100,0,Left,Left,1,0,0,0,nan,nan,0.21
5/28/2025 15:01:45,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,1,1,0,0,nan,nan,0.15
5/28/2025 15:02:47,1.17.0,Bandit,0,3.80,2,30,100,0,Pellet,Left,1,1,1,0,Timed_out,nan,nan
5/28/2025 15:04:21,1.17.0,Bandit,0,3.80,nan,30,100,0,Left,Left,2,1,1,1,nan,nan,0.09
5/28/2025 15:05:20,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.15
5/28/2025 15:08:40,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.06
5/28/2025 15:10:02,1.17.0,Bandit,0,3.81,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.67
5/28/2025 15:10:04,1.17.0,Bandit,0,3.80,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.85
5/28/2025 15:10:20,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.00
5/28/2025 15:10:26,1.17.0,Bandit,0,3.80,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,1.16
5/28/2025 15:11:54,1.17.0,Bandit,0,3.79,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.19
5/28/2025 15:12:10,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.66
5/28/2025 15:12:18,1.17.0,Bandit,0,3.80,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.70
5/28/2025 15:12:45,1.17.0,Bandit,0,3.80,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.11
5/28/2025 15:15:27,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.04
5/28/2025 15:17:14,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.36
5/28/2025 15:17:36,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.35
5/28/2025 15:18:55,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.20
5/28/2025 15:22:08,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.63
5/28/2025 15:24:22,1.17.0,Bandit,0,3.80,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.74
5/28/2025 15:25:35,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.12
5/28/2025 15:28:00,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.21
5/28/2025 15:30:25,1.17.0,Bandit,0,3.80,nan,30,100,0,LeftWithPellet,Left,2,2,1,1,nan,nan,0.12
5/28/2025 15:36:01,1.17.0,Bandit,0,3.80,nan,30,100,0,RightWithPellet,Left,2,2,1,1,nan,nan,0.62
