filename,Weight (g)
FED-C4-1-M1-CHOW.CSV,27
FED-C4-1-M2-CHOW.CSV,26.9
FED-C4-1-M4-CHOW.CSV,29.2
FED-C4-1-M5-CHOW.CSV,28.8
FED-C4-2-M1-CHOW.CSV,28
FED-C4-2-M2-CHOW.CSV,29.6
FED-C4-2-M3-CHOW.CSV,32.8
FED-C4-2-M4-CHOW.CSV,30.3
FED-C4-2-M5-CHOW.CSV,27
FEDM1.CSV,31.4
FED-M1-CHOW-101624.CSV,29
FED-M1-CHOW-101824.CSV,28.7
FEDM2.CSV,31
FED-M2-CHOW-101624.CSV,30
FED-M2-CHOW-101824.CSV,29.5
FEDM3.CSV,29.4
FED-M3-CHOW-101624.CSV,28.6
FED-M3-CHOW-101824.CSV,29.3
FEDM4.CSV,29.3
FED-M4-CHOW-101624.CSV,29.3
FED-M4-CHOW-101824.CSV,29.6
FEDM5.CSV,28.2
FED-M5-CHOW-101624.CSV,27
FED-M5-CHOW-101824.CSV,27.7
M1-C6-CHOW.CSV,26.7
M1-CHOW.CSV,28
M2-C6-CHOW.CSV,27.5
M2-CHOW.CSV,27.8
M3-C6-CHOW.CSV,26
M3-CHOW.CSV,27.8
M4-C6-CHOW.CSV,26.9
M4-CHOW.csv,27.8
M5-C6-CHOW.CSV,29.8
M5-CHOW.CSV,27.7
BM2-M1.CSV,30
BM2-M2.CSV,29.6
BM2-M4.CSV,29.3
BM2-M5.CSV,29.5
BM4-M1.CSV,29.6
BM4-M2.CSV,32.3
BM4-M4.CSV,32.3
BM4-M5.CSV,33.4
BM2-M3.CSV,27.3
