filename,Weight (g)
FED-C4-3-M2-HFD.CSV,44.4
FED-C4-3-M3-HFD.CSV,41.2
FED-C4-3-M5-HFD.CSV,40.5
FED-C4-4-M2-HFD.CSV,40.9
FED-C4-4-M3-HFD.CSV,30.9
FED-C4-4-M4-HFD.CSV,33.6
FED-C4-4-M5.CSV,28.9
FED-HFD-M1-101624.CSV,41
FED-HFD-M2-101624.CSV,39.9
FED-HFD-M3-101624.CSV,50.5
FED-HFD-M4-101624.CSV,34.2
FED-HFD-M5-101624.CSV,42
FED-M1-C3-101824.CSV,32
FED-C4-3-M1-HFD.CSV,41
FED-M1-C4-4-HFD.CSV,36.2
FED-M2-C3-101824.CSV,33.3
FED-M3-C3-101824.CSV,36.5
FED-M4-C3-101824.CSV,34
FED-M5-C3-101824.CSV,35.8
M1-C7-012925.CSV,30
M1-C8-HFD.CSV,38.4
M2-C7-012925.CSV,34.5
M2-HFD.CSV,34.7
M3-C7,39.2
M3-C8-012925.CSV,39
M4-C8-HFD.CSV,41.6
M4-HFD.CSV,30.7
BM1-M1.CSV,41.4
BM1-M2.CSV,40
BM1-M3.CSV,39.5
BM3-M1.CSV,30.2
BM3-M4.CSV,40.3
BM3-M2.CSV,41
BM3-M3.CSV,42
BM5-M1.CSV,42.6
BM5-M2.CSV,38
BM5-M4.CSV,40.1
BM5-M3.CSV,47.8
