MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/18/2025 18:25:15,1.17.0,ClosedEcon_PR1,7,3.73,nan,1,Left,Left,1,0,0,0,nan,nan,0.32
1/18/2025 18:25:19,1.17.0,ClosedEcon_PR1,7,3.73,3,1,Pellet,Left,1,0,1,1,1.26,nan,nan
1/18/2025 18:25:36,1.17.0,ClosedEcon_PR1,7,3.73,nan,2,Left,Left,2,0,1,1,nan,nan,0.22
1/18/2025 18:27:18,1.17.0,ClosedEcon_PR1,7,3.73,nan,2,Left,Left,3,0,1,1,nan,nan,0.68
1/18/2025 18:27:21,1.17.0,ClosedEcon_PR1,7,3.72,1,2,Pellet,Left,3,0,2,2,1.83,122,nan
1/18/2025 18:28:35,1.17.0,ClosedEcon_PR1,7,3.72,nan,3,Left,Left,4,0,2,2,nan,nan,0.57
1/18/2025 18:28:36,1.17.0,ClosedEcon_PR1,7,3.73,nan,3,Left,Left,5,0,2,2,nan,nan,0.40
1/18/2025 18:28:41,1.17.0,ClosedEcon_PR1,7,3.73,nan,3,Right,Left,5,1,2,2,nan,nan,0.61
1/18/2025 18:28:48,1.17.0,ClosedEcon_PR1,7,3.72,nan,3,Right,Left,5,2,2,2,nan,nan,0.71
1/18/2025 18:29:11,1.17.0,ClosedEcon_PR1,7,3.72,nan,3,Left,Left,6,2,2,2,nan,nan,0.33
1/18/2025 18:29:13,1.17.0,ClosedEcon_PR1,7,3.73,1,3,Pellet,Left,6,2,3,3,1.01,112,nan
1/18/2025 18:30:20,1.17.0,ClosedEcon_PR1,7,3.72,nan,4,Right,Left,6,3,3,3,nan,nan,0.27
1/18/2025 18:30:22,1.17.0,ClosedEcon_PR1,7,3.73,nan,4,Right,Left,6,4,3,3,nan,nan,0.71
1/18/2025 18:31:09,1.17.0,ClosedEcon_PR1,7,3.72,nan,4,Left,Left,7,4,3,3,nan,nan,0.03
1/18/2025 18:31:10,1.17.0,ClosedEcon_PR1,7,3.73,nan,4,Left,Left,8,4,3,3,nan,nan,0.37
1/18/2025 18:31:33,1.17.0,ClosedEcon_PR1,7,3.73,nan,4,Left,Left,9,4,3,3,nan,nan,0.10
1/18/2025 18:32:56,1.17.0,ClosedEcon_PR1,7,3.72,nan,4,Right,Left,9,5,3,3,nan,nan,0.67
1/18/2025 18:32:58,1.17.0,ClosedEcon_PR1,7,3.72,nan,4,Right,Left,9,6,3,3,nan,nan,0.54
1/18/2025 18:33:04,1.17.0,ClosedEcon_PR1,7,3.73,nan,4,Left,Left,10,6,3,3,nan,nan,0.42
1/18/2025 18:33:06,1.17.0,ClosedEcon_PR1,7,3.72,1,4,Pellet,Left,10,6,4,4,1.51,233,nan
1/18/2025 18:33:23,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Left,Left,11,6,4,4,nan,nan,0.01
1/18/2025 18:34:05,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Right,Left,11,7,4,4,nan,nan,0.29
1/18/2025 18:34:09,1.17.0,ClosedEcon_PR1,7,3.72,nan,5,Right,Left,11,8,4,4,nan,nan,0.16
1/18/2025 18:34:10,1.17.0,ClosedEcon_PR1,7,3.72,nan,5,Right,Left,11,9,4,4,nan,nan,0.14
1/18/2025 18:34:17,1.17.0,ClosedEcon_PR1,7,3.72,nan,5,Right,Left,11,10,4,4,nan,nan,0.14
1/18/2025 18:34:22,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Left,Left,12,10,4,4,nan,nan,0.53
1/18/2025 18:36:18,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Right,Left,12,11,4,4,nan,nan,0.21
1/18/2025 18:37:51,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Right,Left,12,12,4,4,nan,nan,0.25
1/18/2025 18:37:55,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Left,Left,13,12,4,4,nan,nan,0.05
1/18/2025 18:37:59,1.17.0,ClosedEcon_PR1,7,3.72,nan,5,Left,Left,14,12,4,4,nan,nan,0.41
1/18/2025 18:38:27,1.17.0,ClosedEcon_PR1,7,3.72,nan,5,Right,Left,14,13,4,4,nan,nan,0.18
1/18/2025 18:39:13,1.17.0,ClosedEcon_PR1,7,3.72,nan,5,Right,Left,14,14,4,4,nan,nan,0.23
1/18/2025 18:39:18,1.17.0,ClosedEcon_PR1,7,3.73,nan,5,Left,Left,15,14,4,4,nan,nan,0.37
