MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/26/2024 15:29:05,1.17.0,ClosedEcon_PR1,0,3.73,nan,1,Left,Left,1,0,0,0,nan,nan,0.02
10/26/2024 15:29:12,1.17.0,ClosedEcon_PR1,0,3.73,2,1,Pellet,Left,1,0,1,1,3.93,nan,nan
10/26/2024 15:30:55,1.17.0,ClosedEcon_PR1,0,3.73,nan,2,Right,Left,1,1,1,1,nan,nan,0.08
10/26/2024 15:31:26,1.17.0,ClosedEcon_PR1,0,3.73,nan,2,Right,Left,1,2,1,1,nan,nan,0.10
10/26/2024 15:33:15,1.17.0,ClosedEcon_PR1,0,3.73,nan,2,Left,Left,2,2,1,1,nan,nan,0.22
10/26/2024 15:34:55,1.17.0,ClosedEcon_PR1,0,3.73,nan,2,Right,Left,2,3,1,1,nan,nan,0.67
10/26/2024 15:34:56,1.17.0,ClosedEcon_PR1,0,3.73,nan,2,Right,Left,2,4,1,1,nan,nan,0.21
10/26/2024 15:35:00,1.17.0,ClosedEcon_PR1,0,3.73,nan,2,Left,Left,3,4,1,1,nan,nan,0.77
10/26/2024 15:35:07,1.17.0,ClosedEcon_PR1,0,3.73,3,2,Pellet,Left,3,4,2,2,3.61,355,nan
10/26/2024 15:36:12,1.17.0,ClosedEcon_PR1,0,3.73,nan,3,Left,Left,4,4,2,2,nan,nan,0.20
10/26/2024 15:37:41,1.17.0,ClosedEcon_PR1,0,3.73,nan,3,Right,Left,4,5,2,2,nan,nan,0.20
10/26/2024 15:39:25,1.17.0,ClosedEcon_PR1,0,3.73,nan,3,Left,Left,5,5,2,2,nan,nan,0.09
10/26/2024 15:39:27,1.17.0,ClosedEcon_PR1,0,3.73,nan,3,Left,Left,6,5,2,2,nan,nan,0.15
10/26/2024 15:39:38,1.17.0,ClosedEcon_PR1,0,3.73,2,3,Pellet,Left,6,5,3,3,10.23,271,nan
10/26/2024 15:40:30,1.17.0,ClosedEcon_PR1,0,3.73,nan,4,Left,Left,7,5,3,3,nan,nan,0.18
10/26/2024 15:41:47,1.17.0,ClosedEcon_PR1,0,3.73,nan,4,Left,Left,8,5,3,3,nan,nan,0.10
10/26/2024 15:42:57,1.17.0,ClosedEcon_PR1,0,3.73,nan,4,Right,Left,8,6,3,3,nan,nan,0.06
10/26/2024 15:43:26,1.17.0,ClosedEcon_PR1,0,3.73,nan,4,Left,Left,9,6,3,3,nan,nan,0.15
10/26/2024 15:44:39,1.17.0,ClosedEcon_PR1,0,3.73,nan,4,Right,Left,9,7,3,3,nan,nan,0.09
10/26/2024 15:44:42,1.17.0,ClosedEcon_PR1,0,3.73,nan,4,Left,Left,10,7,3,3,nan,nan,0.15
10/26/2024 15:44:47,1.17.0,ClosedEcon_PR1,0,3.73,2,4,Pellet,Left,10,7,4,4,4.25,309,nan
10/26/2024 15:45:04,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Right,Left,10,8,4,4,nan,nan,0.03
10/26/2024 15:45:11,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Right,Left,10,9,4,4,nan,nan,0.08
10/26/2024 15:45:28,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Left,Left,11,9,4,4,nan,nan,0.84
10/26/2024 15:45:29,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Left,Left,12,9,4,4,nan,nan,0.16
10/26/2024 15:45:30,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Left,Left,13,9,4,4,nan,nan,0.18
10/26/2024 15:45:32,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Right,Left,13,10,4,4,nan,nan,0.05
10/26/2024 15:45:33,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Right,Left,13,11,4,4,nan,nan,0.00
10/26/2024 15:46:30,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Left,Left,14,11,4,4,nan,nan,0.07
10/26/2024 15:46:32,1.17.0,ClosedEcon_PR1,0,3.73,nan,5,Left,Left,15,11,4,4,nan,nan,0.12
10/26/2024 15:46:34,1.17.0,ClosedEcon_PR1,0,3.73,2,5,Pellet,Left,15,11,5,5,1.96,107,nan
10/26/2024 15:46:47,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Left,Left,16,11,5,5,nan,nan,0.53
10/26/2024 15:48:05,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Left,Left,17,11,5,5,nan,nan,0.22
10/26/2024 15:48:36,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Left,Left,18,11,5,5,nan,nan,0.08
10/26/2024 15:49:21,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Right,Left,18,12,5,5,nan,nan,0.13
10/26/2024 15:49:22,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Right,Left,18,13,5,5,nan,nan,0.08
10/26/2024 15:51:58,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Left,Left,19,13,5,5,nan,nan,0.09
10/26/2024 15:52:08,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Left,Left,20,13,5,5,nan,nan,0.31
10/26/2024 15:52:11,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Right,Left,20,14,5,5,nan,nan,0.03
10/26/2024 15:52:15,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Right,Left,20,15,5,5,nan,nan,0.16
10/26/2024 15:52:26,1.17.0,ClosedEcon_PR1,0,3.73,nan,6,Left,Left,21,15,5,5,nan,nan,0.21
