MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/24/2024 15:14:51,1.17.0,ClosedEcon_PR1,3,3.79,nan,1,Right,Left,0,1,0,0,nan,nan,0.15
10/24/2024 15:16:18,1.17.0,ClosedEcon_PR1,3,3.79,nan,1,Right,Left,0,2,0,0,nan,nan,0.14
10/24/2024 15:16:54,1.17.0,ClosedEcon_PR1,3,3.80,nan,1,Right,Left,0,3,0,0,nan,nan,0.39
10/24/2024 15:17:29,1.17.0,ClosedEcon_PR1,3,3.79,nan,1,Left,Left,1,3,0,0,nan,nan,0.04
10/24/2024 15:17:29,1.17.0,ClosedEcon_PR1,3,3.80,nan,1,LeftDuringDispense,Left,2,3,0,1,nan,nan,0.04
10/24/2024 15:17:31,1.17.0,ClosedEcon_PR1,3,3.80,2,1,Pellet,Left,2,3,1,1,0.12,nan,nan
10/24/2024 15:18:05,1.17.0,ClosedEcon_PR1,3,3.80,nan,2,Right,Left,2,4,1,1,nan,nan,0.07
10/24/2024 15:19:36,1.17.0,ClosedEcon_PR1,3,3.80,nan,2,Right,Left,2,5,1,1,nan,nan,0.07
10/24/2024 15:19:37,1.17.0,ClosedEcon_PR1,3,3.79,nan,2,Right,Left,2,6,1,1,nan,nan,0.00
10/24/2024 15:19:42,1.17.0,ClosedEcon_PR1,3,3.80,nan,2,Right,Left,2,7,1,1,nan,nan,0.24
10/24/2024 15:19:53,1.17.0,ClosedEcon_PR1,3,3.80,nan,2,Left,Left,3,7,1,1,nan,nan,0.09
10/24/2024 15:22:16,1.17.0,ClosedEcon_PR1,3,3.80,nan,2,Right,Left,3,8,1,1,nan,nan,0.44
10/24/2024 15:22:47,1.17.0,ClosedEcon_PR1,3,3.79,nan,2,Left,Left,4,8,1,1,nan,nan,0.02
