MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/26/2024 15:16:18,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,Right,Left,0,1,0,0,nan,nan,0.18
10/26/2024 15:17:15,1.17.0,ClosedEcon_PR1,3,3.63,nan,1,Right,Left,0,2,0,0,nan,nan,0.20
10/26/2024 15:17:23,1.17.0,ClosedEcon_PR1,3,3.63,nan,1,Left,Left,1,2,0,0,nan,nan,0.18
10/26/2024 15:17:23,1.17.0,ClosedEcon_PR1,3,3.63,nan,1,LeftDuringDispense,Left,2,2,0,1,nan,nan,0.09
10/26/2024 15:17:25,1.17.0,ClosedEcon_PR1,3,3.62,2,1,Pellet,Left,2,2,1,1,0.06,nan,nan
10/26/2024 15:18:10,1.17.0,ClosedEcon_PR1,3,3.63,nan,2,Right,Left,2,3,1,1,nan,nan,0.18
10/26/2024 15:18:20,1.17.0,ClosedEcon_PR1,3,3.63,nan,2,Left,Left,3,3,1,1,nan,nan,0.05
10/26/2024 15:18:43,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Left,Left,4,3,1,1,nan,nan,0.20
10/26/2024 15:18:46,1.17.0,ClosedEcon_PR1,3,3.62,2,2,Pellet,Left,4,3,2,2,0.06,81,nan
10/26/2024 15:18:57,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,4,4,2,2,nan,nan,0.04
10/26/2024 15:20:15,1.17.0,ClosedEcon_PR1,3,3.63,nan,3,Right,Left,4,5,2,2,nan,nan,0.02
10/26/2024 15:20:21,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,4,6,2,2,nan,nan,0.25
10/26/2024 15:20:54,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Left,Left,5,6,2,2,nan,nan,0.32
10/26/2024 15:21:52,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Left,Left,6,6,2,2,nan,nan,0.02
10/26/2024 15:22:08,1.17.0,ClosedEcon_PR1,3,3.63,nan,3,Left,Left,7,6,2,2,nan,nan,0.08
10/26/2024 15:22:09,1.17.0,ClosedEcon_PR1,3,3.62,1,3,Pellet,Left,7,6,3,3,0.06,203,nan
10/26/2024 15:23:44,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Right,Left,7,7,3,3,nan,nan,0.44
10/26/2024 15:24:45,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Right,Left,7,8,3,3,nan,nan,0.56
10/26/2024 15:25:15,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Left,Left,8,8,3,3,nan,nan,0.54
10/26/2024 15:25:18,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Right,Left,8,9,3,3,nan,nan,0.35
10/26/2024 15:25:57,1.17.0,ClosedEcon_PR1,3,3.63,nan,4,Left,Left,9,9,3,3,nan,nan,0.02
10/26/2024 15:27:15,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Left,Left,10,9,3,3,nan,nan,0.00
10/26/2024 15:27:28,1.17.0,ClosedEcon_PR1,3,3.63,nan,4,Right,Left,10,10,3,3,nan,nan,0.33
10/26/2024 15:27:29,1.17.0,ClosedEcon_PR1,3,3.63,nan,4,Right,Left,10,11,3,3,nan,nan,0.21
10/26/2024 15:27:32,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Right,Left,10,12,3,3,nan,nan,0.26
10/26/2024 15:27:43,1.17.0,ClosedEcon_PR1,3,3.62,nan,4,Left,Left,11,12,3,3,nan,nan,0.23
10/26/2024 15:27:46,1.17.0,ClosedEcon_PR1,3,3.62,2,4,Pellet,Left,11,12,4,4,0.06,337,nan
10/26/2024 15:28:39,1.17.0,ClosedEcon_PR1,3,3.62,nan,5,Left,Left,12,12,4,4,nan,nan,0.21
10/26/2024 15:29:32,1.17.0,ClosedEcon_PR1,3,3.63,nan,5,Left,Left,13,12,4,4,nan,nan,0.17
10/26/2024 15:29:35,1.17.0,ClosedEcon_PR1,3,3.63,nan,5,Left,Left,14,12,4,4,nan,nan,0.11
10/26/2024 15:29:38,1.17.0,ClosedEcon_PR1,3,3.63,nan,5,Right,Left,14,13,4,4,nan,nan,0.51
10/26/2024 15:29:41,1.17.0,ClosedEcon_PR1,3,3.62,nan,5,Right,Left,14,14,4,4,nan,nan,0.14
10/26/2024 15:29:48,1.17.0,ClosedEcon_PR1,3,3.62,nan,5,Left,Left,15,14,4,4,nan,nan,0.37
10/26/2024 15:29:51,1.17.0,ClosedEcon_PR1,3,3.62,nan,5,Left,Left,16,14,4,4,nan,nan,0.85
10/26/2024 15:29:52,1.17.0,ClosedEcon_PR1,3,3.62,1,5,Pellet,Left,16,14,5,5,0.06,125,nan
10/26/2024 15:31:19,1.17.0,ClosedEcon_PR1,3,3.62,nan,6,Right,Left,16,15,5,5,nan,nan,0.04
10/26/2024 15:32:35,1.17.0,ClosedEcon_PR1,3,3.62,nan,6,Left,Left,17,15,5,5,nan,nan,0.34
10/26/2024 15:32:39,1.17.0,ClosedEcon_PR1,3,3.63,nan,6,Left,Left,18,15,5,5,nan,nan,0.25
10/26/2024 15:35:07,1.17.0,ClosedEcon_PR1,3,3.63,nan,6,Left,Left,19,15,5,5,nan,nan,0.34
10/26/2024 15:35:13,1.17.0,ClosedEcon_PR1,3,3.62,nan,6,Right,Left,19,16,5,5,nan,nan,0.25
10/26/2024 15:35:23,1.17.0,ClosedEcon_PR1,3,3.63,nan,6,Right,Left,19,17,5,5,nan,nan,0.23
10/26/2024 15:36:34,1.17.0,ClosedEcon_PR1,3,3.63,nan,6,Right,Left,19,18,5,5,nan,nan,0.02
10/26/2024 15:38:17,1.17.0,ClosedEcon_PR1,3,3.63,nan,6,Left,Left,20,18,5,5,nan,nan,0.22
10/26/2024 15:38:27,1.17.0,ClosedEcon_PR1,3,3.63,nan,6,Left,Left,21,18,5,5,nan,nan,0.39
10/26/2024 15:38:29,1.17.0,ClosedEcon_PR1,3,3.62,nan,6,Left,Left,22,18,5,5,nan,nan,0.16
10/26/2024 15:38:30,1.17.0,ClosedEcon_PR1,3,3.63,1,6,Pellet,Left,22,18,6,6,0.06,519,nan
10/26/2024 15:38:55,1.17.0,ClosedEcon_PR1,3,3.63,nan,7,Right,Left,22,19,6,6,nan,nan,0.88
10/26/2024 15:38:57,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Right,Left,22,20,6,6,nan,nan,0.19
10/26/2024 15:39:10,1.17.0,ClosedEcon_PR1,3,3.63,nan,7,Right,Left,22,21,6,6,nan,nan,0.07
10/26/2024 15:42:39,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Left,Left,23,21,6,6,nan,nan,0.27
10/26/2024 15:42:42,1.17.0,ClosedEcon_PR1,3,3.63,nan,7,Left,Left,24,21,6,6,nan,nan,0.20
10/26/2024 15:42:55,1.17.0,ClosedEcon_PR1,3,3.63,nan,7,Left,Left,25,21,6,6,nan,nan,0.27
10/26/2024 15:43:27,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Left,Left,26,21,6,6,nan,nan,0.39
10/26/2024 15:43:36,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Left,Left,27,21,6,6,nan,nan,0.18
10/26/2024 15:47:30,1.17.0,ClosedEcon_PR1,3,3.63,nan,7,Left,Left,28,21,6,6,nan,nan,0.32
10/26/2024 15:47:36,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Right,Left,28,22,6,6,nan,nan,0.00
10/26/2024 15:49:51,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Right,Left,28,23,6,6,nan,nan,0.46
10/26/2024 15:53:42,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Right,Left,28,24,6,6,nan,nan,0.22
10/26/2024 15:53:52,1.17.0,ClosedEcon_PR1,3,3.62,nan,7,Left,Left,29,24,6,6,nan,nan,0.55
10/26/2024 15:53:53,1.17.0,ClosedEcon_PR1,3,3.62,1,7,Pellet,Left,29,24,7,7,0.06,923,nan
10/26/2024 15:54:12,1.17.0,ClosedEcon_PR1,3,3.62,nan,8,Left,Left,30,24,7,7,nan,nan,0.01
10/26/2024 15:54:22,1.17.0,ClosedEcon_PR1,3,3.62,nan,8,Right,Left,30,25,7,7,nan,nan,0.21
10/26/2024 15:54:25,1.17.0,ClosedEcon_PR1,3,3.62,nan,8,Right,Left,30,26,7,7,nan,nan,0.14
