MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/9/2025 21:24:21,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,Left,Left,1,0,0,0,nan,nan,0.17
6/9/2025 21:26:07,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,2,0,0,1,nan,nan,0.21
6/9/2025 21:27:29,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,3,0,0,1,nan,nan,0.25
6/9/2025 21:28:07,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,4,0,0,1,nan,nan,0.02
6/9/2025 21:29:18,1.17.0,ClosedEcon_PR1,3,3.61,nan,1,RightWithPellet,Left,4,1,0,1,nan,nan,0.46
6/9/2025 21:29:30,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,5,1,0,1,nan,nan,0.07
6/9/2025 21:29:50,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,6,1,0,1,nan,nan,0.09
6/9/2025 21:30:26,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,RightWithPellet,Left,6,2,0,1,nan,nan,0.16
6/9/2025 21:30:54,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,7,2,0,1,nan,nan,0.08
6/9/2025 21:30:58,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,8,2,0,1,nan,nan,0.17
6/9/2025 21:31:08,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,9,2,0,1,nan,nan,0.13
6/9/2025 21:31:11,1.17.0,ClosedEcon_PR1,3,3.61,nan,1,RightWithPellet,Left,9,3,0,1,nan,nan,0.03
6/9/2025 21:33:55,1.17.0,ClosedEcon_PR1,3,3.61,nan,1,RightWithPellet,Left,9,4,0,1,nan,nan,0.03
6/9/2025 21:34:04,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,RightWithPellet,Left,9,5,0,1,nan,nan,0.17
6/9/2025 21:34:10,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,LeftWithPellet,Left,10,5,0,1,nan,nan,0.05
6/9/2025 21:36:24,1.17.0,ClosedEcon_PR1,3,3.62,nan,1,RightWithPellet,Left,10,6,0,1,nan,nan,0.09
6/9/2025 21:37:58,1.17.0,ClosedEcon_PR1,3,3.61,3,1,Pellet,Left,10,6,1,1,Timed_out,nan,nan
6/9/2025 21:38:13,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Right,Left,10,7,1,1,nan,nan,0.25
6/9/2025 21:39:12,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Right,Left,10,8,1,1,nan,nan,0.03
6/9/2025 21:39:16,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Right,Left,10,9,1,1,nan,nan,0.06
6/9/2025 21:39:44,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Right,Left,10,10,1,1,nan,nan,0.07
6/9/2025 21:42:11,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Right,Left,10,11,1,1,nan,nan,0.20
6/9/2025 21:42:14,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Left,Left,11,11,1,1,nan,nan,0.09
6/9/2025 21:46:23,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Right,Left,11,12,1,1,nan,nan,0.51
6/9/2025 21:46:25,1.17.0,ClosedEcon_PR1,3,3.62,nan,2,Left,Left,12,12,1,1,nan,nan,0.11
6/9/2025 21:46:27,1.17.0,ClosedEcon_PR1,3,3.61,2,2,Pellet,Left,12,12,2,2,1.07,509,nan
6/9/2025 21:46:31,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,12,13,2,2,nan,nan,0.03
6/9/2025 21:46:36,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,12,14,2,2,nan,nan,0.04
6/9/2025 21:51:53,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Left,Left,13,14,2,2,nan,nan,0.08
6/9/2025 21:51:55,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Left,Left,14,14,2,2,nan,nan,0.34
6/9/2025 21:51:59,1.17.0,ClosedEcon_PR1,3,3.61,nan,3,Right,Left,14,15,2,2,nan,nan,0.05
6/9/2025 21:52:02,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,14,16,2,2,nan,nan,0.23
6/9/2025 21:55:54,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,14,17,2,2,nan,nan,0.38
6/9/2025 21:55:55,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,14,18,2,2,nan,nan,0.26
6/9/2025 21:55:58,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,14,19,2,2,nan,nan,0.37
6/9/2025 21:56:00,1.17.0,ClosedEcon_PR1,3,3.62,nan,3,Right,Left,14,20,2,2,nan,nan,0.23
