MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/3/2025 13:04:52,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,Left,Left,1,0,0,0,nan,nan,0.02
9/3/2025 13:20:24,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,LeftWithPellet,Left,2,0,0,1,nan,nan,0.17
9/3/2025 13:28:59,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,RightWithPellet,Left,2,1,0,1,nan,nan,0.06
9/3/2025 13:34:46,1.17.0,ClosedEcon_PR1,0,3.60,11,1,Pellet,Left,2,1,1,1,Timed_out,nan,nan
9/3/2025 13:34:51,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,Left,Left,3,1,1,0,nan,nan,0.54
9/3/2025 13:37:02,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,LeftWithPellet,Left,4,1,1,1,nan,nan,0.38
9/3/2025 13:37:05,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,RightWithPellet,Left,4,2,1,1,nan,nan,0.03
9/3/2025 13:40:55,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,RightWithPellet,Left,4,3,1,1,nan,nan,0.00
9/3/2025 13:41:54,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,RightWithPellet,Left,4,4,1,1,nan,nan,0.38
9/3/2025 13:48:46,1.17.0,ClosedEcon_PR1,0,3.60,nan,1,LeftWithPellet,Left,5,4,1,1,nan,nan,0.00
9/3/2025 13:51:28,1.17.0,ClosedEcon_PR1,0,3.60,4,1,Pellet,Left,5,4,2,1,Timed_out,1002,nan
9/3/2025 13:52:49,1.17.0,ClosedEcon_PR1,0,3.60,nan,2,Left,Left,6,4,2,1,nan,nan,0.38
9/3/2025 13:53:08,1.17.0,ClosedEcon_PR1,0,3.60,nan,2,Left,Left,7,4,2,1,nan,nan,0.24
9/3/2025 13:54:23,1.17.0,ClosedEcon_PR1,0,3.59,nan,2,LeftWithPellet,Left,8,4,2,2,nan,nan,0.06
9/3/2025 13:56:11,1.17.0,ClosedEcon_PR1,0,3.59,nan,2,LeftWithPellet,Left,9,4,2,2,nan,nan,0.22
9/3/2025 13:56:14,1.17.0,ClosedEcon_PR1,0,3.59,11,2,Pellet,Left,9,4,3,2,Timed_out,286,nan
9/3/2025 13:56:50,1.17.0,ClosedEcon_PR1,0,3.60,nan,3,Right,Left,9,5,3,2,nan,nan,0.05
9/3/2025 13:56:57,1.17.0,ClosedEcon_PR1,0,3.60,nan,3,Left,Left,10,5,3,2,nan,nan,0.00
9/3/2025 14:11:44,1.17.0,ClosedEcon_PR1,0,3.59,nan,3,Left,Left,11,5,3,2,nan,nan,0.00
9/3/2025 14:13:24,1.17.0,ClosedEcon_PR1,0,3.59,nan,3,Right,Left,11,6,3,2,nan,nan,0.10
9/3/2025 14:19:06,1.17.0,ClosedEcon_PR1,0,3.60,nan,3,Right,Left,11,7,3,2,nan,nan,0.69
9/3/2025 14:19:09,1.17.0,ClosedEcon_PR1,0,3.59,nan,3,Right,Left,11,8,3,2,nan,nan,0.04
9/3/2025 14:24:10,1.17.0,ClosedEcon_PR1,0,3.59,nan,3,Left,Left,12,8,3,2,nan,nan,0.00
9/3/2025 14:25:41,1.17.0,ClosedEcon_PR1,0,3.60,nan,3,RightWithPellet,Left,12,9,3,3,nan,nan,0.00
9/3/2025 14:29:41,1.17.0,ClosedEcon_PR1,0,3.59,nan,3,LeftWithPellet,Left,13,9,3,3,nan,nan,0.30
9/3/2025 14:33:24,1.17.0,ClosedEcon_PR1,0,3.60,nan,3,LeftWithPellet,Left,14,9,3,3,nan,nan,0.47
9/3/2025 14:36:57,1.17.0,ClosedEcon_PR1,0,3.59,nan,3,RightWithPellet,Left,14,10,3,3,nan,nan,0.14
9/3/2025 14:39:28,1.17.0,ClosedEcon_PR1,0,3.60,4,3,Pellet,Left,14,10,4,3,Timed_out,2594,nan
9/3/2025 14:47:13,1.17.0,ClosedEcon_PR1,0,3.59,nan,4,Left,Left,15,10,4,3,nan,nan,0.01
