MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/31/2087 1:15:20,1.17.0,ClosedEcon_PR1,2,3.58,2,1,Pellet,Left,1,0,1,1,Timed_out,nan,nan
12/31/2087 1:20:42,1.17.0,ClosedEcon_PR1,2,3.59,nan,2,Right,Left,1,1,1,1,nan,nan,0.31
12/31/2087 1:28:04,1.17.0,ClosedEcon_PR1,2,3.59,nan,2,Right,Left,1,2,1,1,nan,nan,0.03
12/31/2087 1:32:03,1.17.0,ClosedEcon_PR1,2,3.60,nan,2,Left,Left,2,2,1,1,nan,nan,0.02
12/31/2087 1:33:11,1.17.0,ClosedEcon_PR1,2,3.59,nan,2,Right,Left,2,3,1,1,nan,nan,0.01
12/31/2087 1:33:13,1.17.0,ClosedEcon_PR1,2,3.60,nan,2,Right,Left,2,4,1,1,nan,nan,0.42
12/31/2087 1:43:54,1.17.0,ClosedEcon_PR1,2,3.59,nan,2,Right,Left,2,5,1,1,nan,nan,0.03
12/31/2087 1:45:25,1.17.0,ClosedEcon_PR1,2,3.59,nan,2,Right,Left,2,6,1,1,nan,nan,0.16
12/31/2087 1:45:27,1.17.0,ClosedEcon_PR1,2,3.59,nan,2,Right,Left,2,7,1,1,nan,nan,0.46
12/31/2087 1:49:56,1.17.0,ClosedEcon_PR1,2,3.67,nan,2,Left,Left,3,7,1,1,nan,nan,0.62
12/31/2087 1:49:59,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,LeftDuringDispense,Left,4,7,1,2,nan,nan,0.03
12/31/2087 1:50:04,1.17.0,ClosedEcon_PR1,2,3.65,4,2,Pellet,Left,4,7,2,2,2.08,2085,nan
12/31/2087 1:50:38,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Left,Left,5,7,2,2,nan,nan,0.10
12/31/2087 1:50:41,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Left,Left,6,7,2,2,nan,nan,0.06
12/31/2087 1:50:42,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Left,Left,7,7,2,2,nan,nan,0.09
12/31/2087 1:50:43,1.17.0,ClosedEcon_PR1,2,3.65,1,3,Pellet,Left,7,7,3,3,0.82,39,nan
12/31/2087 2:09:01,1.17.0,ClosedEcon_PR1,2,3.65,nan,4,Left,Left,8,7,3,3,nan,nan,0.18
12/31/2087 2:20:10,1.17.0,ClosedEcon_PR1,2,3.65,nan,4,Right,Left,8,8,3,3,nan,nan,0.07
12/31/2087 2:20:11,1.17.0,ClosedEcon_PR1,2,3.65,nan,4,Right,Left,8,9,3,3,nan,nan,0.00
12/31/2087 2:21:45,1.17.0,ClosedEcon_PR1,2,3.65,nan,4,Left,Left,9,9,3,3,nan,nan,0.11
12/31/2087 2:21:46,1.17.0,ClosedEcon_PR1,2,3.65,nan,4,Left,Left,10,9,3,3,nan,nan,0.00
12/31/2087 2:21:49,1.17.0,ClosedEcon_PR1,2,3.65,nan,4,Left,Left,11,9,3,3,nan,nan,0.46
12/31/2087 2:21:51,1.17.0,ClosedEcon_PR1,2,3.65,1,4,Pellet,Left,11,9,4,4,0.95,1868,nan
12/31/2087 2:24:48,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,10,4,4,nan,nan,0.10
12/31/2087 2:24:50,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,11,4,4,nan,nan,0.09
12/31/2087 2:24:51,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,12,4,4,nan,nan,0.12
12/31/2087 2:24:51,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,13,4,4,nan,nan,0.01
12/31/2087 2:24:52,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,14,4,4,nan,nan,0.11
12/31/2087 2:24:54,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,15,4,4,nan,nan,0.09
12/31/2087 2:24:55,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,16,4,4,nan,nan,0.07
12/31/2087 2:25:00,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,17,4,4,nan,nan,0.11
12/31/2087 2:25:07,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,18,4,4,nan,nan,0.02
12/31/2087 2:25:08,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,11,19,4,4,nan,nan,0.19
12/31/2087 2:26:40,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Left,Left,12,19,4,4,nan,nan,0.06
12/31/2087 2:30:10,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Right,Left,12,20,4,4,nan,nan,0.18
12/31/2087 2:42:40,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Left,Left,13,20,4,4,nan,nan,0.00
12/31/2087 2:42:41,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Left,Left,14,20,4,4,nan,nan,0.05
12/31/2087 2:43:02,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Left,Left,15,20,4,4,nan,nan,0.19
12/31/2087 2:43:04,1.17.0,ClosedEcon_PR1,2,3.65,nan,5,Left,Left,16,20,4,4,nan,nan,0.14
12/31/2087 2:43:06,1.17.0,ClosedEcon_PR1,2,3.65,1,5,Pellet,Left,16,20,5,5,1.26,1275,nan
12/31/2087 2:43:56,1.17.0,ClosedEcon_PR1,2,3.64,nan,6,Left,Left,17,20,5,5,nan,nan,0.00
12/31/2087 2:44:35,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Left,Left,18,20,5,5,nan,nan,0.03
12/31/2087 2:44:35,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Left,Left,19,20,5,5,nan,nan,0.00
12/31/2087 2:45:40,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Right,Left,19,21,5,5,nan,nan,0.15
12/31/2087 2:45:41,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Right,Left,19,22,5,5,nan,nan,0.02
12/31/2087 2:45:50,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Right,Left,19,23,5,5,nan,nan,0.07
12/31/2087 2:45:52,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Right,Left,19,24,5,5,nan,nan,0.27
12/31/2087 2:45:53,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Right,Left,19,25,5,5,nan,nan,0.11
12/31/2087 2:50:55,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Right,Left,19,26,5,5,nan,nan,0.07
12/31/2087 2:50:59,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Left,Left,20,26,5,5,nan,nan,0.04
12/31/2087 2:51:00,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Left,Left,21,26,5,5,nan,nan,0.04
12/31/2087 2:51:01,1.17.0,ClosedEcon_PR1,2,3.65,nan,6,Left,Left,22,26,5,5,nan,nan,0.23
12/31/2087 2:51:03,1.17.0,ClosedEcon_PR1,2,3.65,1,6,Pellet,Left,22,26,6,6,0.95,477,nan
12/31/2087 3:27:31,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,Right,Left,22,27,6,0,nan,nan,0.02
12/31/2087 3:28:21,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,Left,Left,23,27,6,0,nan,nan,0.14
12/31/2087 3:28:25,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,LeftWithPellet,Left,24,27,6,1,nan,nan,0.02
12/31/2087 3:28:27,1.17.0,ClosedEcon_PR1,2,3.65,2,1,Pellet,Left,24,27,7,1,3.38,2244,nan
12/31/2087 3:28:44,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Left,Left,25,27,7,1,nan,nan,0.24
12/31/2087 3:40:11,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,25,28,7,1,nan,nan,0.14
12/31/2087 3:45:27,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Left,Left,26,28,7,1,nan,nan,0.09
12/31/2087 3:45:30,1.17.0,ClosedEcon_PR1,2,3.64,1,2,Pellet,Left,26,28,8,2,1.90,1023,nan
12/31/2087 4:16:14,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,Right,Left,26,29,8,0,nan,nan,0.04
12/31/2087 4:16:15,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,Right,Left,26,30,8,0,nan,nan,0.02
12/31/2087 4:16:16,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,Right,Left,26,31,8,0,nan,nan,0.13
12/31/2087 4:16:17,1.17.0,ClosedEcon_PR1,2,3.65,nan,1,Right,Left,26,32,8,0,nan,nan,0.13
12/31/2087 4:37:25,1.17.0,ClosedEcon_PR1,2,3.64,nan,1,Left,Left,27,32,8,0,nan,nan,0.24
12/31/2087 4:37:25,1.17.0,ClosedEcon_PR1,2,3.65,1,1,Pellet,Left,27,32,9,1,0.06,3115,nan
12/31/2087 4:37:40,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,27,33,9,1,nan,nan,0.02
12/31/2087 4:37:41,1.17.0,ClosedEcon_PR1,2,3.64,nan,2,Right,Left,27,34,9,1,nan,nan,0.62
12/31/2087 4:37:42,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,27,35,9,1,nan,nan,0.08
12/31/2087 4:37:43,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,27,36,9,1,nan,nan,0.20
12/31/2087 4:37:44,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,27,37,9,1,nan,nan,0.12
12/31/2087 4:37:46,1.17.0,ClosedEcon_PR1,2,3.64,nan,2,Right,Left,27,38,9,1,nan,nan,0.16
12/31/2087 4:37:48,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,27,39,9,1,nan,nan,0.45
12/31/2087 5:04:29,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Right,Left,27,40,9,1,nan,nan,0.00
12/31/2087 5:04:58,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Left,Left,28,40,9,1,nan,nan,0.02
12/31/2087 5:09:42,1.17.0,ClosedEcon_PR1,2,3.65,nan,2,Left,Left,29,40,9,1,nan,nan,0.04
12/31/2087 5:09:44,1.17.0,ClosedEcon_PR1,2,3.65,1,2,Pellet,Left,29,40,10,2,0.82,1939,nan
12/31/2087 5:20:05,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,41,10,2,nan,nan,0.09
12/31/2087 5:20:05,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,42,10,2,nan,nan,0.20
12/31/2087 5:20:07,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,43,10,2,nan,nan,0.10
12/31/2087 5:20:08,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,44,10,2,nan,nan,0.04
12/31/2087 5:20:11,1.17.0,ClosedEcon_PR1,2,3.64,nan,3,Right,Left,29,45,10,2,nan,nan,0.29
12/31/2087 5:20:13,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,46,10,2,nan,nan,0.01
12/31/2087 5:20:14,1.17.0,ClosedEcon_PR1,2,3.64,nan,3,Right,Left,29,47,10,2,nan,nan,0.17
12/31/2087 5:20:15,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,48,10,2,nan,nan,0.00
12/31/2087 5:20:16,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,49,10,2,nan,nan,0.10
12/31/2087 5:20:17,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Right,Left,29,50,10,2,nan,nan,0.00
12/31/2087 5:20:36,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Left,Left,30,50,10,2,nan,nan,0.34
12/31/2087 5:21:01,1.17.0,ClosedEcon_PR1,2,3.65,nan,3,Left,Left,31,50,10,2,nan,nan,0.04
