MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/22/2024 12:06:27,1.17.0,ClosedEcon_PR1,0,4.09,nan,1,Left,Left,1,0,0,0,nan,nan,0.21
10/22/2024 12:06:30,1.17.0,ClosedEcon_PR1,0,4.09,1,1,Pellet,Left,1,0,1,1,2.34,nan,nan
10/22/2024 12:08:45,1.17.0,ClosedEcon_PR1,0,4.09,nan,2,Left,Left,2,0,1,1,nan,nan,0.03
10/22/2024 12:19:35,1.17.0,ClosedEcon_PR1,0,4.09,nan,2,Right,Left,2,1,1,1,nan,nan,0.14
10/22/2024 14:29:38,1.17.0,ClosedEcon_PR1,0,4.08,nan,1,Left,Left,3,1,1,0,nan,nan,0.28
10/22/2024 14:29:41,1.17.0,ClosedEcon_PR1,0,4.09,1,1,Pellet,Left,3,1,2,1,2.85,8591,nan
10/22/2024 14:40:06,1.17.0,ClosedEcon_PR1,0,4.08,nan,2,Left,Left,4,1,2,1,nan,nan,0.09
10/22/2024 14:40:07,1.17.0,ClosedEcon_PR1,0,4.08,nan,2,Left,Left,5,1,2,1,nan,nan,0.23
10/22/2024 14:40:07,1.17.0,ClosedEcon_PR1,0,4.08,nan,2,LeftDuringDispense,Left,6,1,2,2,nan,nan,0.02
10/22/2024 14:40:11,1.17.0,ClosedEcon_PR1,0,4.08,3,2,Pellet,Left,6,1,3,2,0.06,630,nan
10/22/2024 14:40:18,1.17.0,ClosedEcon_PR1,0,4.08,nan,3,Left,Left,7,1,3,2,nan,nan,0.21
10/22/2024 14:40:26,1.17.0,ClosedEcon_PR1,0,4.08,nan,3,Right,Left,7,2,3,2,nan,nan,0.08
10/22/2024 14:40:29,1.17.0,ClosedEcon_PR1,0,4.08,nan,3,Right,Left,7,3,3,2,nan,nan,0.23
10/22/2024 14:40:31,1.17.0,ClosedEcon_PR1,0,4.07,nan,3,Right,Left,7,4,3,2,nan,nan,0.27
10/22/2024 14:40:38,1.17.0,ClosedEcon_PR1,0,4.08,nan,3,Left,Left,8,4,3,2,nan,nan,0.36
10/22/2024 14:40:51,1.17.0,ClosedEcon_PR1,0,4.08,nan,3,Right,Left,8,5,3,2,nan,nan,0.01
10/22/2024 15:07:54,1.17.0,ClosedEcon_PR1,0,4.07,nan,3,Left,Left,9,5,3,2,nan,nan,0.10
10/22/2024 15:07:58,1.17.0,ClosedEcon_PR1,0,4.07,1,3,Pellet,Left,9,5,4,3,3.35,1667,nan
10/22/2024 15:08:30,1.17.0,ClosedEcon_PR1,0,4.07,nan,4,Left,Left,10,5,4,3,nan,nan,0.08
10/22/2024 15:21:44,1.17.0,ClosedEcon_PR1,0,4.07,nan,4,Right,Left,10,6,4,3,nan,nan,0.09
10/22/2024 18:21:22,1.17.0,ClosedEcon_PR1,0,4.06,nan,1,Left,Left,11,6,4,0,nan,nan,0.05
10/22/2024 18:21:24,1.17.0,ClosedEcon_PR1,0,4.06,1,1,Pellet,Left,11,6,5,1,0.56,11606,nan
10/22/2024 18:21:57,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,Left,Left,12,6,5,1,nan,nan,0.10
10/22/2024 18:22:02,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,Left,Left,13,6,5,1,nan,nan,0.06
10/22/2024 18:22:05,1.17.0,ClosedEcon_PR1,0,4.06,1,2,Pellet,Left,13,6,6,2,2.28,41,nan
10/22/2024 18:22:28,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,14,6,6,2,nan,nan,0.12
10/22/2024 18:22:31,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,15,6,6,2,nan,nan,0.11
10/22/2024 18:22:32,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,16,6,6,2,nan,nan,0.09
10/22/2024 18:22:33,1.17.0,ClosedEcon_PR1,0,4.07,2,3,Pellet,Left,16,6,7,3,0.06,28,nan
10/22/2024 18:22:52,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Left,Left,17,6,7,3,nan,nan,0.24
10/22/2024 18:22:56,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Left,Left,18,6,7,3,nan,nan,0.41
10/22/2024 18:22:57,1.17.0,ClosedEcon_PR1,0,4.05,nan,4,Left,Left,19,6,7,3,nan,nan,0.24
10/22/2024 18:23:33,1.17.0,ClosedEcon_PR1,0,4.07,nan,4,Right,Left,19,7,7,3,nan,nan,0.07
10/22/2024 18:23:34,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Right,Left,19,8,7,3,nan,nan,0.44
10/22/2024 18:23:36,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Right,Left,19,9,7,3,nan,nan,0.02
10/22/2024 18:23:39,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Right,Left,19,10,7,3,nan,nan,0.05
10/22/2024 18:23:41,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Right,Left,19,11,7,3,nan,nan,0.40
10/22/2024 18:23:45,1.17.0,ClosedEcon_PR1,0,4.07,nan,4,Right,Left,19,12,7,3,nan,nan,0.27
10/22/2024 18:23:46,1.17.0,ClosedEcon_PR1,0,4.07,nan,4,Right,Left,19,13,7,3,nan,nan,0.09
10/22/2024 18:23:48,1.17.0,ClosedEcon_PR1,0,4.07,nan,4,Right,Left,19,14,7,3,nan,nan,0.16
10/22/2024 18:54:56,1.17.0,ClosedEcon_PR1,0,4.06,nan,1,Left,Left,20,14,7,0,nan,nan,0.12
10/22/2024 18:54:58,1.17.0,ClosedEcon_PR1,0,4.05,1,1,Pellet,Left,20,14,8,1,1.07,1945,nan
10/22/2024 18:55:14,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,Left,Left,21,14,8,1,nan,nan,0.51
10/22/2024 18:55:20,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,Left,Left,22,14,8,1,nan,nan,0.43
10/22/2024 18:55:20,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,LeftDuringDispense,Left,23,14,8,2,nan,nan,0.03
10/22/2024 18:55:23,1.17.0,ClosedEcon_PR1,0,4.07,3,2,Pellet,Left,23,14,9,2,0.12,25,nan
10/22/2024 18:55:37,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,24,14,9,2,nan,nan,0.07
10/22/2024 18:55:40,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,25,14,9,2,nan,nan,0.22
10/22/2024 18:55:42,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,26,14,9,2,nan,nan,0.08
10/22/2024 18:55:44,1.17.0,ClosedEcon_PR1,0,4.06,1,3,Pellet,Left,26,14,10,3,1.01,21,nan
10/22/2024 18:56:02,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Left,Left,27,14,10,3,nan,nan,0.12
10/22/2024 18:56:03,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Left,Left,28,14,10,3,nan,nan,0.00
10/22/2024 18:56:06,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Left,Left,29,14,10,3,nan,nan,0.73
10/22/2024 18:56:07,1.17.0,ClosedEcon_PR1,0,4.06,nan,4,Left,Left,30,14,10,3,nan,nan,0.00
10/22/2024 18:56:08,1.17.0,ClosedEcon_PR1,0,4.06,1,4,Pellet,Left,30,14,11,4,0.75,24,nan
10/22/2024 18:56:27,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Left,Left,31,14,11,4,nan,nan,0.07
10/22/2024 18:56:38,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,31,15,11,4,nan,nan,0.16
10/22/2024 18:56:41,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,31,16,11,4,nan,nan,0.04
10/22/2024 18:56:42,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,31,17,11,4,nan,nan,0.24
10/22/2024 18:57:28,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,31,18,11,4,nan,nan,0.37
10/22/2024 18:57:29,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,31,19,11,4,nan,nan,0.05
10/22/2024 18:57:30,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,31,20,11,4,nan,nan,0.00
10/22/2024 18:57:38,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Left,Left,32,20,11,4,nan,nan,0.09
10/22/2024 19:23:04,1.17.0,ClosedEcon_PR1,0,4.06,nan,5,Right,Left,32,21,11,4,nan,nan,0.20
10/22/2024 19:33:10,1.17.0,ClosedEcon_PR1,0,4.06,nan,1,Left,Left,33,21,11,0,nan,nan,0.10
10/22/2024 19:33:13,1.17.0,ClosedEcon_PR1,0,4.05,1,1,Pellet,Left,33,21,12,1,1.39,2225,nan
10/22/2024 19:33:30,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,Left,Left,34,21,12,1,nan,nan,0.07
10/22/2024 19:33:30,1.17.0,ClosedEcon_PR1,0,4.06,nan,2,Left,Left,35,21,12,1,nan,nan,0.00
10/22/2024 19:33:32,1.17.0,ClosedEcon_PR1,0,4.06,1,2,Pellet,Left,35,21,13,2,0.95,19,nan
10/22/2024 19:33:54,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,36,21,13,2,nan,nan,0.03
10/22/2024 19:39:15,1.17.0,ClosedEcon_PR1,0,4.05,nan,3,Right,Left,36,22,13,2,nan,nan,0.17
10/22/2024 19:39:19,1.17.0,ClosedEcon_PR1,0,4.05,nan,3,Right,Left,36,23,13,2,nan,nan,0.12
10/22/2024 19:39:21,1.17.0,ClosedEcon_PR1,0,4.05,nan,3,Right,Left,36,24,13,2,nan,nan,0.13
10/22/2024 19:39:22,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Right,Left,36,25,13,2,nan,nan,0.00
10/22/2024 19:46:57,1.17.0,ClosedEcon_PR1,0,4.06,nan,3,Left,Left,37,25,13,2,nan,nan,0.08
10/22/2024 19:53:38,1.17.0,ClosedEcon_PR1,0,4.05,nan,3,Left,Left,38,25,13,2,nan,nan,0.17
10/22/2024 19:53:39,1.17.0,ClosedEcon_PR1,0,4.06,1,3,Pellet,Left,38,25,14,3,0.50,1207,nan
10/22/2024 19:54:40,1.17.0,ClosedEcon_PR1,0,4.05,nan,4,Left,Left,39,25,14,3,nan,nan,0.18
10/22/2024 19:54:43,1.17.0,ClosedEcon_PR1,0,4.05,nan,4,Left,Left,40,25,14,3,nan,nan,0.24
10/22/2024 19:58:20,1.17.0,ClosedEcon_PR1,0,4.05,nan,4,Left,Left,41,25,14,3,nan,nan,0.22
10/22/2024 19:58:56,1.17.0,ClosedEcon_PR1,0,4.05,nan,4,Left,Left,42,25,14,3,nan,nan,0.51
10/22/2024 19:58:57,1.17.0,ClosedEcon_PR1,0,4.05,1,4,Pellet,Left,42,25,15,4,0.31,318,nan
10/22/2024 20:04:48,1.17.0,ClosedEcon_PR1,0,4.05,nan,5,Left,Left,43,25,15,4,nan,nan,0.06
10/22/2024 20:23:13,1.17.0,ClosedEcon_PR1,0,4.05,nan,5,Left,Left,44,25,15,4,nan,nan,0.40
10/22/2024 20:23:19,1.17.0,ClosedEcon_PR1,0,4.05,nan,5,Left,Left,45,25,15,4,nan,nan,0.32
10/22/2024 20:23:33,1.17.0,ClosedEcon_PR1,0,4.05,nan,5,Left,Left,46,25,15,4,nan,nan,0.60
10/22/2024 20:23:34,1.17.0,ClosedEcon_PR1,0,4.05,nan,5,Left,Left,47,25,15,4,nan,nan,0.00
10/22/2024 20:23:35,1.17.0,ClosedEcon_PR1,0,4.05,1,5,Pellet,Left,47,25,16,5,0.31,1478,nan
10/22/2024 20:23:57,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Left,Left,48,25,16,5,nan,nan,0.04
10/22/2024 20:31:58,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Left,Left,49,25,16,5,nan,nan,0.09
10/22/2024 20:42:47,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Left,Left,50,25,16,5,nan,nan,0.14
10/22/2024 20:42:48,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Left,Left,51,25,16,5,nan,nan,0.07
10/22/2024 20:45:39,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Right,Left,51,26,16,5,nan,nan,0.38
10/22/2024 20:45:43,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Right,Left,51,27,16,5,nan,nan,0.31
10/22/2024 20:45:44,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Right,Left,51,28,16,5,nan,nan,0.01
10/22/2024 20:50:53,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Left,Left,52,28,16,5,nan,nan,0.32
10/22/2024 20:50:56,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,Left,Left,53,28,16,5,nan,nan,0.04
10/22/2024 20:50:56,1.17.0,ClosedEcon_PR1,0,4.05,nan,6,LeftDuringDispense,Left,54,28,16,6,nan,nan,0.06
10/22/2024 20:50:59,1.17.0,ClosedEcon_PR1,0,4.05,3,6,Pellet,Left,54,28,17,6,0.06,1644,nan
10/22/2024 20:51:42,1.17.0,ClosedEcon_PR1,0,4.06,nan,7,Right,Left,54,29,17,6,nan,nan,0.18
10/22/2024 20:51:44,1.17.0,ClosedEcon_PR1,0,4.05,nan,7,Right,Left,54,30,17,6,nan,nan,0.43
