MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/20/2025 17:38:07,1.17.0,ClosedEcon_PR1,11,4.12,nan,1,Left,Left,1,0,0,0,nan,nan,0.25
1/20/2025 17:38:13,1.17.0,ClosedEcon_PR1,11,4.11,3,1,Pellet,Left,1,0,1,1,0.75,nan,nan
1/20/2025 17:40:26,1.17.0,ClosedEcon_PR1,11,4.12,nan,2,Left,Left,2,0,1,1,nan,nan,0.03
1/20/2025 17:40:52,1.17.0,ClosedEcon_PR1,11,4.11,nan,2,Left,Left,3,0,1,1,nan,nan,0.16
1/20/2025 17:40:54,1.17.0,ClosedEcon_PR1,11,4.11,1,2,Pellet,Left,3,0,2,2,1.20,161,nan
1/20/2025 17:43:51,1.17.0,ClosedEcon_PR1,11,4.11,nan,3,Left,Left,4,0,2,2,nan,nan,0.65
1/20/2025 17:44:10,1.17.0,ClosedEcon_PR1,11,4.12,nan,3,Left,Left,5,0,2,2,nan,nan,0.29
1/20/2025 17:44:13,1.17.0,ClosedEcon_PR1,11,4.12,nan,3,Left,Left,6,0,2,2,nan,nan,0.57
1/20/2025 17:44:19,1.17.0,ClosedEcon_PR1,11,4.12,1,3,Pellet,Left,6,0,3,3,4.69,205,nan
1/20/2025 17:45:13,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,Left,Left,7,0,3,3,nan,nan,0.13
1/20/2025 17:45:17,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,Left,Left,8,0,3,3,nan,nan,0.02
1/20/2025 17:45:22,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,Left,Left,9,0,3,3,nan,nan,0.38
1/20/2025 17:48:05,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,Left,Left,10,0,3,3,nan,nan,0.57
1/20/2025 17:48:05,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,LeftDuringDispense,Left,11,0,3,4,nan,nan,0.10
1/20/2025 17:49:09,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,LeftWithPellet,Left,12,0,3,4,nan,nan,0.26
1/20/2025 17:49:39,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,RightWithPellet,Left,12,1,3,4,nan,nan,0.14
1/20/2025 17:50:03,1.17.0,ClosedEcon_PR1,11,4.11,nan,4,LeftWithPellet,Left,13,1,3,4,nan,nan,0.32
1/20/2025 17:50:08,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,LeftWithPellet,Left,14,1,3,4,nan,nan,0.40
1/20/2025 17:50:10,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,LeftWithPellet,Left,15,1,3,4,nan,nan,0.13
1/20/2025 17:52:39,1.17.0,ClosedEcon_PR1,11,4.11,nan,4,RightWithPellet,Left,15,2,3,4,nan,nan,0.26
1/20/2025 17:52:41,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,LeftWithPellet,Left,16,2,3,4,nan,nan,0.43
1/20/2025 17:53:09,1.17.0,ClosedEcon_PR1,11,4.12,nan,4,LeftWithPellet,Left,17,2,3,4,nan,nan,0.07
1/20/2025 17:54:00,1.17.0,ClosedEcon_PR1,11,4.11,2,4,Pellet,Left,17,2,4,4,Timed_out,580,nan
1/20/2025 17:58:00,1.17.0,ClosedEcon_PR1,11,4.12,nan,5,Left,Left,18,2,4,4,nan,nan,0.06
1/20/2025 17:58:03,1.17.0,ClosedEcon_PR1,11,4.11,nan,5,Left,Left,19,2,4,4,nan,nan,0.44
1/20/2025 17:59:14,1.17.0,ClosedEcon_PR1,11,4.11,nan,5,Left,Left,20,2,4,4,nan,nan,0.11
1/20/2025 18:01:22,1.17.0,ClosedEcon_PR1,11,4.12,nan,5,Left,Left,21,2,4,4,nan,nan,0.28
1/20/2025 18:02:10,1.17.0,ClosedEcon_PR1,11,4.11,nan,5,Left,Left,22,2,4,4,nan,nan,0.26
1/20/2025 18:02:12,1.17.0,ClosedEcon_PR1,11,4.11,1,5,Pellet,Left,22,2,5,5,1.26,493,nan
1/20/2025 18:02:20,1.17.0,ClosedEcon_PR1,11,4.11,nan,6,Left,Left,23,2,5,5,nan,nan,0.06
1/20/2025 18:02:21,1.17.0,ClosedEcon_PR1,11,4.12,nan,6,Left,Left,24,2,5,5,nan,nan,0.31
1/20/2025 18:03:52,1.17.0,ClosedEcon_PR1,11,4.12,nan,6,Left,Left,25,2,5,5,nan,nan,0.54
1/20/2025 18:03:57,1.17.0,ClosedEcon_PR1,11,4.11,nan,6,Left,Left,26,2,5,5,nan,nan,0.10
1/20/2025 18:04:05,1.17.0,ClosedEcon_PR1,11,4.12,nan,6,Right,Left,26,3,5,5,nan,nan,0.59
1/20/2025 18:08:13,1.17.0,ClosedEcon_PR1,11,4.12,nan,6,Left,Left,27,3,5,5,nan,nan,0.15
1/20/2025 18:15:08,1.17.0,ClosedEcon_PR1,11,4.12,nan,6,Left,Left,28,3,5,5,nan,nan,0.46
1/20/2025 18:15:10,1.17.0,ClosedEcon_PR1,11,4.11,2,6,Pellet,Left,28,3,6,6,0.06,778,nan
1/20/2025 18:15:48,1.17.0,ClosedEcon_PR1,11,4.11,nan,7,Left,Left,29,3,6,6,nan,nan,0.16
1/20/2025 18:19:11,1.17.0,ClosedEcon_PR1,11,4.12,nan,7,Left,Left,30,3,6,6,nan,nan,0.45
1/20/2025 18:19:17,1.17.0,ClosedEcon_PR1,11,4.12,nan,7,Left,Left,31,3,6,6,nan,nan,0.50
1/20/2025 18:19:26,1.17.0,ClosedEcon_PR1,11,4.11,nan,7,Right,Left,31,4,6,6,nan,nan,0.06
1/20/2025 18:19:30,1.17.0,ClosedEcon_PR1,11,4.11,nan,7,Left,Left,32,4,6,6,nan,nan,0.21
1/20/2025 18:19:31,1.17.0,ClosedEcon_PR1,11,4.12,nan,7,Left,Left,33,4,6,6,nan,nan,0.32
1/20/2025 18:19:32,1.17.0,ClosedEcon_PR1,11,4.12,nan,7,Left,Left,34,4,6,6,nan,nan,0.00
1/20/2025 18:19:54,1.17.0,ClosedEcon_PR1,11,4.12,nan,7,Left,Left,35,4,6,6,nan,nan,0.32
1/20/2025 18:19:56,1.17.0,ClosedEcon_PR1,11,4.11,1,7,Pellet,Left,35,4,7,7,1.51,286,nan
1/20/2025 18:21:17,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,36,4,7,7,nan,nan,0.41
1/20/2025 18:21:40,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,37,4,7,7,nan,nan,0.23
1/20/2025 18:25:32,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,38,4,7,7,nan,nan,0.26
1/20/2025 18:26:40,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,39,4,7,7,nan,nan,0.08
1/20/2025 18:27:44,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,40,4,7,7,nan,nan,0.19
1/20/2025 18:27:47,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,41,4,7,7,nan,nan,0.04
1/20/2025 18:27:50,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,42,4,7,7,nan,nan,0.13
1/20/2025 18:27:54,1.17.0,ClosedEcon_PR1,11,4.11,nan,8,Left,Left,43,4,7,7,nan,nan,0.19
1/20/2025 18:27:57,1.17.0,ClosedEcon_PR1,11,4.11,1,8,Pellet,Left,43,4,8,8,2.02,481,nan
1/20/2025 18:29:19,1.17.0,ClosedEcon_PR1,11,4.11,nan,9,Left,Left,44,4,8,8,nan,nan,0.27
1/20/2025 18:29:27,1.17.0,ClosedEcon_PR1,11,4.11,nan,9,Left,Left,45,4,8,8,nan,nan,0.41
1/20/2025 18:29:30,1.17.0,ClosedEcon_PR1,11,4.12,nan,9,Left,Left,46,4,8,8,nan,nan,0.15
