Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,DFF_raw
0.0,,1312.44,1175.396,0.0,28.29360482,0.247592397,0.0,8.298075433,-0.10441924964188846,3.564488669182201,14.16904320138982,-0.1044192496418884
0.099999,,1301.806,1168.873,0.099999,24.77807936,0.301462105,0.099999,7.178643299,-0.10211429352760702,-0.3431464991187165,3.836870875548156,-0.102114293527607
0.199998,,1292.345,1170.753,0.199998,19.86407129,0.338141006,0.199998,3.836273204,-0.09408633143626516,-0.6829384600724979,-5.395178931275954,-0.0940863314362651
0.300001,,1285.615,1171.47,0.300001,12.64858148,0.34482779,0.300001,3.935577741,-0.08878630071988891,-4.029053652324282,-13.014397809545237,-0.0887863007198889
0.400003,,1276.936,1150.357,0.400003,3.0915288,0.317723981,0.400003,6.93805842,-0.09912712931579966,-17.832488570521576,-19.174705464820267,-0.0991271293157996
0.499998,,1274.336,1133.471,0.499998,-7.934875907,0.264348469,0.499998,4.238186056,-0.11053992039776009,-38.10431349079879,-24.33885219610048,-0.11053992039776
0.600001,,1268.277,1118.757,0.600001,-18.97342153,0.20054729,0.600001,5.642313624,-0.1178922270134994,-53.99246388922398,-28.64204092768005,-0.1178922270134994
0.700003,,1264.733,1109.592,0.700003,-28.49558762,0.143353194,0.700003,10.34337612,-0.12266699769832831,-60.29290860101847,-31.77478205653496,-0.1226669976983283
0.799999,,1263.494,1110.49,0.799999,-35.29268797,0.104200675,0.799999,11.51875824,-0.12109594505395349,-60.8919185530413,-33.75130082125284,-0.1210959450539534
0.899998,,1261.925,1109.391,0.899998,-38.56351451,0.086193463,0.899998,5.652640217,-0.12087406145373131,-61.36270486817872,-34.869297566612914,-0.1208740614537313
1.000002,,1262.276,1112.256,1.000002,-37.75403424,0.085601901,1.000002,2.48215415,-0.11884880961057644,-60.49541628261581,-34.85335044392556,-0.1188488096105764
1.100001,,1260.314,1117.219,1.100001,-32.36484992,0.095048503,1.100001,1.875071901,-0.11353916563650013,-52.99491445315315,-34.00349051303922,-0.1135391656365001
1.2,,1263.161,1123.117,1.2,-21.944998,0.105930097,1.2,11.66409304,-0.11086789411642703,-41.954369119420505,-34.631013967975775,-0.110867894116427
