Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,Unnamed: 12
0.0,,1179.696,1239.706,0.0,0.833634069,0.412712487,0.0,0.303591579,0.05086903744693548,-2.1634055,8.756002256,
0.100001,,1177.012,1237.43,0.100001,-1.020435552,0.372228798,0.100001,0.884121184,0.051331677162170075,-3.938003838,5.45414371,
0.2,,1172.869,1232.738,0.2,-5.286955317,0.279069157,0.2,1.599195457,0.05104491635468253,-8.317216291,2.532537236,
0.299999,,1171.231,1224.61,0.299999,-14.10542758,0.086517438,0.299999,1.552160296,0.0455751256583884,-17.26031461,0.677492652,
0.400002,,1170.754,1212.557,0.400002,-26.38689918,-0.181649018,0.400002,1.815211376,0.0357060492639787,-29.39860358,-0.179271873,
0.500004,,1169.688,1197.6,0.500004,-37.55716604,-0.425552272,0.500004,1.552160296,0.02386277366272015,-40.44509329,-1.128023206,
0.600004,,1167.293,1194.186,0.600004,-44.85579981,-0.584918252,0.600004,0.0,0.023038774326582984,-47.90564676,-2.848403654,
0.700006,,1165.592,1189.826,0.700006,-49.33570704,-0.682737218,0.700006,0.0,0.020791151620807212,-52.4295504,-4.885578941,
0.800003,,1164.384,1181.779,0.800003,-51.97019291,-0.740261329,0.800003,0.600397872,0.01493922966993705,-54.86724476,-6.46005887,
0.900006,,1162.682,1184.758,0.900006,-53.94088756,-0.783291531,0.900006,0.313077334,0.018987134917372094,-56.74892957,-7.216861316,
1.000003,,1162.91,1177.996,1.000003,-59.28058623,-0.899884079,1.000003,0.0,0.012972629008263762,-62.10530573,-7.388333387,
1.100001,,1162.84,1166.248,1.100001,-70.07051103,-1.135482548,1.100001,0.294023888,0.0029307557359569067,-72.86893933,-7.598791963,
1.200005,,1161.923,1155.341,1.200005,-81.46427521,-1.384265876,1.200005,1.570533524,-0.005664747147616587,-84.20675615,-8.089403699,
1.300003,,1161.831,1147.716,1.300003,-87.10957301,-1.507531194,1.300003,0.30910785,-0.012148926995406397,-89.79748335,-8.223884633,
1.400004,,1162.435,1150.56,1.400004,-86.82652101,-1.501350741,1.400004,0.0,-0.010215624959675165,-89.43058053,-7.490153758,
1.500001,,1163.309,1153.542,1.500001,-84.23918793,-1.444856213,1.500001,11.33632245,-0.008395877621509035,-86.66024652,-6.822998078,
1.600004,,1161.453,1152.708,1.600004,-80.12762458,-1.355080052,1.600004,0.0,-0.007529361928549748,-82.47401082,-7.852775839,
1.700001,,1160.486,1162.539,1.700001,-74.20887072,-1.225843809,1.700001,4.950136024,0.001769086400008172,-76.71889154,-10.41248853,
1.800005,,1156.945,1167.525,1.800005,-69.63367973,-1.125944318,1.800005,6.271828835,0.009144773519916811,-72.12272475,-11.95904907,
1.900002,,1158.461,1164.321,1.900002,-69.22698643,-1.117064153,1.900002,8.208400745,0.005058435286125213,-71.41637335,-10.73448767,
2.000003,,1162.262,1164.603,2.000003,-71.36182247,-1.163678388,2.000003,9.312687875,0.002014175805455329,-73.43552213,-8.29716157,
2.100004,,1162.639,1161.641,2.100004,-73.41421011,-1.20849236,2.100004,9.427237246,-0.000858391985818315,-75.55867256,-7.060734717,
2.199999,,1161.364,1160.71,2.199999,-74.83908848,-1.23960464,2.199999,0.294707061,-0.0005631309391370805,-76.87851209,-6.94944106,
2.300003,,1163.055,1159.198,2.300003,-75.65609566,-1.257444027,2.300003,1.587391592,-0.0033162662126898306,-77.46607892,-6.760830143,
2.400005,,1163.325,1157.366,2.400005,-76.30005063,-1.271504811,2.400005,1.507855941,-0.005122386263511968,-78.04309341,-6.757202603,
2.500005,,1161.022,1157.08,2.500005,-79.15056085,-1.333745824,2.500005,1.523925632,-0.003395284499346272,-80.93774905,-7.528522343,
2.600006,,1160.566,1147.656,2.600006,-86.38204344,-1.491645555,2.600006,0.0,-0.011123882657255238,-88.09336698,-8.314261443,
2.700006,,1161.727,1137.155,2.700006,-96.63557037,-1.715531753,2.700006,0.0,-0.021151268757634206,-98.21345272,-8.29685067,
2.799999,,1160.373,1127.57,2.799999,-106.7744227,-1.936914027,2.799999,0.0,-0.028269358214987862,-108.3144199,-7.953995755,
2.900002,,1161.101,1119.079,2.900002,-115.2892421,-2.122835473,2.900002,0.0,-0.03619151133277825,-116.807764,-8.105818446,
3.000004,,1160.374,1112.638,3.000004,-121.485941,-2.258140656,3.000004,0.0,-0.041138460530828945,-122.9149769,-8.666300381,
3.100006,,1159.898,1108.628,3.100006,-124.1356179,-2.315996464,3.100006,0.303683591,-0.04420216260395309,-125.4627785,-8.845868498,
3.200003,,1160.32,1110.401,3.200003,-123.6950032,-2.306375624,3.200003,0.294707061,-0.0430217526199668,-124.9364323,-8.259475478,
3.300003,,1161.448,1110.326,3.300003,-123.4071897,-2.300091205,3.300003,0.0,-0.044015745862061896,-124.5570871,-7.526114995,
3.400003,,1161.209,1107.612,3.400003,-125.8300565,-2.352994604,3.400003,0.0,-0.0461562044386497,-126.8876888,-7.456874767,
3.5,,1160.429,1102.418,3.5,-130.1524582,-2.447374429,3.5,0.0,-0.04999099470971528,-131.1184537,-7.870312111,
3.6,,1160.939,1099.114,3.6,-134.2532996,-2.536916477,3.6,0.0,-0.05325430535109945,-135.151154,-7.898385347,
3.700003,,1160.626,1095.955,3.700003,-137.0289637,-2.59752322,3.700003,1.524284288,-0.05572079205532191,-137.912896,-7.382708495,
3.800005,,1161.653,1095.816,3.800005,-137.4425416,-2.606553712,3.800005,0.303637578,-0.05667527221984533,-138.2730265,-7.153910647,
3.900006,,1160.319,1097.277,3.900006,-134.3617579,-2.539284668,3.900006,0.0,-0.05433161053124177,-135.0432764,-7.693740969,
4.000002,,1160.316,1102.452,4.000002,-129.7138869,-2.437798206,4.000002,0.0,-0.049869173569958555,-130.2727283,-8.25895991,
4.100002,,1159.499,1105.641,4.100002,-128.5368149,-2.41209679,4.100002,1.523970455,-0.04644937166828082,-129.0260518,-7.970013899,
