Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,DFF_raw
0.0,,749.908,752.248,0.0,0.598422125,0.17543055,0.0,20.05298878,0.0031203827669527887,6.022998242825043,7.117293545086656,0.0031203827669527
0.099999,,748.706,755.822,0.099999,-3.633542575,-0.197088374,0.099999,12.73240319,0.00950439825512282,8.376999144123964,6.255156485031058,0.0095043982551228
0.199996,,747.929,749.313,0.199996,-7.93795164,-0.575984217,0.199996,4.758529462,0.0018504430233351223,2.721951834527686,4.81934572849714,0.0018504430233351
0.299997,,746.163,736.721,0.299997,-12.15140645,-0.946873807,0.299997,1.686321402,-0.012654071563451963,-7.490610011823191,3.362165203019807,-0.0126540715634519
0.4,,744.612,731.656,0.4,-15.85208719,-1.272626431,0.4,4.747270052,-0.01739966586624983,-14.140595541147777,2.7449295152999533,-0.0173996658662498
0.499998,,745.856,731.092,0.499998,-18.54999343,-1.510109775,0.499998,1.604263475,-0.01979470568045308,-16.236873076860803,2.5729095586584125,-0.019794705680453
0.599998,,744.512,728.442,0.599998,-19.92583912,-1.631218666,0.599998,4.616036266,-0.021584608441502538,-17.376723774284386,1.7747940676490437,-0.0215846084415025
0.699994,,742.678,727.536,0.699994,-19.97466296,-1.635516388,0.699994,7.883232679,-0.020388378274299297,-17.155678079771548,0.6259648683892247,-0.0203883782742992
0.799996,,743.136,731.67,0.799996,-19.00608279,-1.550257066,0.799996,1.57549976,-0.015429208112646956,-13.494666376282026,0.5051271294652392,-0.0154292081126469
0.899999,,744.331,737.166,0.899999,-17.51394645,-1.418911683,0.899999,3.072845049,-0.009626093767423315,-9.386959139086064,1.5487434172024084,-0.0096260937674233
0.999996,,744.116,737.104,0.999996,-15.98021911,-1.28390525,0.999996,1.632717514,-0.009423261964532336,-9.20137187344786,2.2404840494833853,-0.0094232619645323
1.1,,745.057,732.808,1.1,-14.72627044,-1.17352635,1.1,3.065630527,-0.016440352885752397,-11.20253807416494,1.74146974616446,-0.0164403528857523
1.199998,,742.768,733.44,1.199998,-13.89029217,-1.099939317,1.199998,6.300471701,-0.012558430088533665,-10.879562281023585,1.2974705945948508,-0.0125584300885336
