Time,Events,CH1-410,CH1-470
0,,2545.987,2594.073
100.001,,2545.032,2599.075
199.999,,2540.812,2584.572
299.996,,2550.379,2570.803
400.001,,2553.36,2577.637
500.001,,2553.294,2599.957
599.995,,2559.576,2634.174
700,,2567.004,2638.51
800.002,,2566.687,2624.186
899.998,,2564.473,2606.508
999.996,,2576.513,2628.841
1099.999,,2585.629,2627.918
1200,,2573.389,2614.654
1299.999,,2565.721,2617.149
1400.001,,2569.14,2662.217
1499.996,,2561.611,2807.056
1599.997,,2564.744,2841.067
1699.995,,2561.983,2805.644
1799.996,,2552.704,2769.831
1899.999,,2553.182,2735.222
1999.998,,2554.845,2742.093
2100,,2567.429,2720.971
2200.001,,2560.869,2719.571
2299.995,,2562.567,2750.562
2399.996,,2562.032,2766.108
2500.002,,2562.345,2851.015
2599.995,,2564.359,2898.143
2699.997,,2565.686,2862.281
2799.999,,2568.901,2817.186
2899.997,,2569.024,2773.283
2999.997,,2564.022,2733.95
3100,,2563.374,2715.341
3200,,2549.629,2701.628
3299.995,,2549.174,2685.099
3399.996,,2537.21,2672.934
3499.998,,2541.455,2651.522
3599.997,,2544.705,2658.075
3699.997,,2537.699,2701.695
3799.996,,2541.269,2706.589
3900.001,,2557.886,2710.124
3999.999,,2573.325,2690.268
4100,,2578.429,2660.734
4199.997,,2559.258,2646.581
4299.995,,2576.054,2657.267
4400.001,,2561.923,2652.442
4499.995,,2555.952,2653.974
4599.999,,2560.292,2636.511
4699.999,,2556.322,2611.095
4800.002,,2551.519,2591.675
4900,,2547.306,2569.964
5000,,2548.493,2570.888
5099.998,,2550.611,2589.457
5199.997,,2551.809,2593.257
5299.998,,2551.042,2603.479
5399.999,,2557.994,2618.266
5500.002,,2556.063,2608.157
5600,,2551.025,2601.409
5699.999,,2553.214,2582.357
5799.999,,2544.318,2582.762
5899.998,,2546.628,2577.24
5999.995,,2571.973,2583.269
6099.999,,2579.521,2601.912
6199.995,,2568.942,2622.557
6299.999,,2569.015,2652.331
6400,,2557.499,2655.707
6499.997,,2556.323,2661.7
6599.996,,2547.402,2647.287
6699.997,,2538.832,2642.187
6799.997,,2543.385,2634.654
6899.995,,2538.423,2636.258
6999.997,,2542.501,2629.81
7099.997,,2543.827,2629.737
7199.998,,2560.06,2618.368
7299.999,,2543.499,2593.842
7399.999,,2549.416,2615.199
7500,,2557.55,2605.479
7599.995,,2550.68,2583.198
7699.995,,2557.97,2572.935
7799.996,,2562.482,2563.666
7900.002,,2558.501,2564.664
7999.996,,2543.488,2594.325
8100.001,,2549.127,2621.336
8200.001,,2545.634,2645.802
8299.995,,2542.789,2671.214
8399.997,,2550.04,2682.311
8499.998,,2542.197,2748.626
8600,,2556.746,2749.856
8699.997,,2550.186,2731.351
8799.999,,2562.174,2728.531
8899.995,,2552.394,2762.694
9000,,2551.465,2787.687
9099.995,,2521.343,2812.538
9199.997,,2522.592,2898.702
9299.999,,2517.936,2963.626
9399.997,,2499.943,2939.896
9500,,2510.44,3152.612
9599.999,,2505.926,3270.372
9699.999,,2518.028,3197.098
9800.001,,2509.012,3136.556
9899.995,,2514.224,3081.042
10000.001,,2508.481,2994.87
10099.999,,2480.081,2942.453
10199.997,,2514.901,2881.846
10299.997,,2515.876,2876.05
10400,,2534.801,2829.107
10499.998,,2500,2759.626
10600.001,,2506.069,2763.302
10699.996,,2531.321,2803.525
10799.997,,2508.089,2799.041
10899.997,,2510.037,2785.092
10999.999,,2546.88,2750.101
11099.998,,2548.823,2752.419
11200,,2558.564,2724.713
11299.999,,2561.35,2710.837
11399.999,,2582.441,2704.336
11499.996,,2569.023,2709.42
11599.998,,2566.869,2711.199
11699.997,,2560.534,2730.94
11800.002,,2551.403,2746.089
11900.001,,2554.368,2740.689
12000.001,,2562.577,2748.86
12099.999,,2550.942,2729.819
12199.999,,2551.494,2700.568
12299.996,,2548.262,2713.321
12399.995,,2556.937,2754.391
12499.999,,2536.878,2733.309
12599.999,,2540.163,2741.897
12700,,2536.159,2697.497
12800,,2533.052,2648.648
12900.001,,2531.788,2616.211
12999.996,,2542.905,2596.703
13100,,2551.857,2573.829
13199.997,,2516.476,2517.94
13300,,2522.496,2535.593
13399.995,,2520.988,2560.533
13499.997,,2539.486,2612.873
13600,,2548.804,2656.798
13699.995,,2556.046,2637.827
13799.996,,2565.734,2619.903
13900.001,,2574.641,2615.812
13999.995,,2568.253,2609.999
14100.001,,2554.744,2594.844
14199.997,,2552.627,2615.173
14300.001,,2551.271,2616.347
14400.001,,2557.671,2620.389
14500,,2556.302,2612.979
14600,,2560.449,2612.239
14699.997,,2565.588,2599.519
14800.001,,2549.559,2599.628
14899.995,,2547.225,2603.816
14999.997,,2562.131,2639.824
15099.999,,2562.703,2633.465
15200,,2562.747,2628.489
15299.996,,2557.738,2649.382
15399.997,,2570.103,2803.552
15499.995,,2573.547,2798.456
15599.995,,2564.144,2766.618
15699.995,,2564.767,2728.438
15800,,2571.431,2693.382
15899.996,,2568.112,2658.404
15999.989,,2547.653,2619.427
16099.98,,2536.574,2606.861
16199.97,,2542.761,2595.715
16299.961,,2534.719,2589.456
16399.95,,2543.375,2587.969
16499.942,,2544.97,2594.499
16599.929,,2556.213,2625.624
16699.919,,2572.81,2600.199
16799.91,,2569.51,2575.838
16899.899,,2582.938,2561.323
16999.885,,2583.756,2545.017
17099.877,,2562.746,2489.033
17199.864,,2554.772,2488.822
17299.85,,2547.233,2480.141
17399.841,,2533.912,2501.289
17499.829,,2549.975,2507.063
17599.817,,2549.834,2504.191
17699.806,,2548.927,2494.958
17799.793,,2550.078,2492.428
17899.786,,2533.058,2499.494
17999.774,,2536.137,2522.136
18099.761,,2535.44,2590.964
18199.749,,2545.686,2649.15
18299.735,,2557.602,2685.511
18399.72,,2562.826,2766.884
18499.707,,2561.392,2755.813
18599.696,,2556.962,2712.491
18699.683,,2548.182,2662.339
18799.667,,2543.167,2676.127
18899.657,,2509.81,2697.597
18999.647,,2507.396,2687.267
19099.63,,2498.61,2716.552
19199.619,,2485.711,2693.318
19299.603,,2494.056,2708.531
19399.593,,2497.627,2835.625
19499.575,,2497.188,3000.366
19599.565,,2517.936,3003.467
19699.552,,2491.037,2947.361
19799.535,,2499.161,2911.392
19899.519,,2494.417,2871.93
19999.507,,2512.497,2858.388
20099.492,,2521.402,2818.998
20199.477,,2539.501,2792.13
20299.461,,2559.071,2758.334
20399.449,,2562.531,2746.122
20499.429,,2550.186,2727.695
20599.416,,2541.959,2741.11
20699.401,,2542.2,2747.76
20799.387,,2558.964,2764.552
20899.368,,2562.592,2779.755
20999.357,,2565.609,2795.284
21099.337,,2566.637,2841.666
