Time,Events,CH1-410,CH1-470
0,,2956.034,3438.895
99.994,,2994.322,3398.613
199.99,,2955.299,3414.561
299.99,,3030.941,3411.737
399.986,,2991.79,3406.66
499.984,,2985.811,3397.684
599.982,,3018.223,3385.767
699.977,,2995.358,3315.575
799.977,,2987.502,3252.077
899.978,,2905.683,3167.913
999.973,,2905.944,3176.655
1099.972,,2961.17,3213.512
1199.967,,2980.86,3195.426
1299.965,,2952.505,3166.343
1399.965,,2967.127,3168.228
1499.956,,2963.13,3158.12
1599.959,,3001.538,3184.142
1699.956,,3005.015,3135.868
1799.953,,2964.69,3118.459
1899.949,,2980.235,3273.481
1999.947,,2975.906,3415.108
2099.942,,2962.878,3423.124
2199.94,,2958.144,3424.258
2299.942,,2953.91,3404.179
2399.936,,2957.992,3387.473
2499.931,,2955.105,3356.61
2599.933,,2957.689,3318.535
2699.933,,2927.624,3317.554
2799.926,,2951.323,3317.274
2899.925,,2936.45,3292.288
2999.924,,2955.957,3244.838
3099.92,,2928.576,3245.281
3199.916,,2948.032,3195.551
3299.912,,2940.445,3272.112
3399.913,,2958.634,3250.517
3499.91,,2948.463,3331.96
3599.907,,2994.442,3345.885
3699.906,,2939.714,3357.269
3799.899,,2983.446,3287.895
3899.896,,2988.832,3346.298
3999.894,,2989.157,3263.815
4099.894,,2996.099,3339.323
4199.89,,2991.41,3273.193
4299.885,,2974.076,3315.353
4399.879,,2964.012,3335.825
4499.877,,3001.289,3349.453
4599.871,,3005.266,3357.892
4699.87,,3001.626,3324.282
4799.864,,3047.166,3274.727
4899.864,,2938.982,3248.921
4999.856,,2934.884,3208.897
5099.855,,2916.662,3199.067
5199.852,,2938.062,3233.044
5299.848,,2999.638,3249.592
5399.842,,2997.163,3204.955
5499.841,,2993.927,3253.501
5599.836,,3031.225,3333.633
5699.831,,3057.324,3392.605
5799.826,,3036.438,3341.513
5899.824,,3016.408,3271.763
5999.822,,3001.564,3228.015
6099.814,,2984.137,3180.39
6199.812,,3003.467,3160.625
6299.809,,2991.143,3150.124
6399.803,,3003.991,3140.23
6499.801,,2989.826,3121.368
6599.798,,2996.536,3132.068
6699.794,,3005.691,3121.299
6799.791,,2996.129,3122.589
6899.784,,2971.547,3079.628
6999.781,,2927.144,3150.102
7099.778,,3023.1,3165.974
7199.772,,2978.825,3142.528
7299.769,,3034.316,3209.5
7399.768,,3060.511,3329.173
7499.761,,3038.293,3349.478
7599.76,,2985.382,3339.166
7699.753,,2969.861,3270.004
7799.749,,2937.902,3274.906
7899.75,,2966.124,3256.911
7999.741,,2972.586,3309.135
8099.742,,2912.297,3285.754
8199.734,,2967.541,3239.555
8299.734,,2944.156,3265.41
8399.73,,2969.023,3192.159
8499.728,,2966.713,3283.189
8599.723,,2973.591,3230.124
8699.715,,2996.478,3255.888
8799.712,,2963.946,3184.639
8899.711,,3013.625,3203.735
8999.704,,2958.627,3121.952
9099.705,,3034.674,3159.091
9199.7,,2977.276,3153.653
9299.696,,2998.431,3161.761
9399.69,,2954.24,3203.329
9499.69,,3037.887,3251.666
9599.685,,2959.743,3250.589
9699.678,,3066.822,3238.01
9799.678,,2971.561,3179.935
9899.674,,3047.376,3222.149
9999.672,,2994.677,3172.195
10099.668,,3037.452,3181.344
10199.663,,3000.213,3159.6
10299.655,,3011.84,3144.87
10399.654,,2990.24,3179.39
10499.647,,2933.786,3150.384
10599.645,,3007.625,3144.498
10699.639,,2968.51,3165.731
10799.637,,2992.443,3164.712
10899.637,,2993.603,3189.468
10999.634,,2964.557,3200.395
11099.627,,2991.985,3163.504
11199.624,,2973.232,3175.843
11299.619,,3016.62,3160.687
11399.616,,2992.299,3162.335
11499.612,,3046.708,3120.256
11599.607,,3000.407,3055.775
11699.605,,2968.381,3043.988
11799.598,,2985.588,3044.878
11899.596,,2967.978,3077.836
11999.596,,2972.754,3052.798
12099.592,,2988.732,3050.68
12199.59,,2984.181,3089.311
12299.586,,2965.544,3156.378
12399.584,,2959.159,3153.927
12499.582,,2963.298,3134.451
12599.581,,2970.437,3110.98
12699.576,,2979.562,3108.303
12799.578,,2994.064,3095.038
12899.573,,2991.131,3065.732
12999.573,,3003.307,3059.813
13099.565,,3017.719,3024.004
13199.564,,2966.216,3029.948
13299.561,,2905.623,3000.298
13399.562,,2958.141,2993.613
13499.557,,3010.074,3022.165
13599.557,,2978.887,3016.325
13699.552,,2983.16,3060.119
13799.551,,3011.976,3029.86
13899.547,,2969.566,2984.316
13999.545,,2978.218,3019.507
14099.539,,3028.012,3070.886
14199.538,,2957.811,3098.732
14299.535,,3037.908,3087.292
14399.538,,2969.584,3085.027
14499.53,,3060.21,3063.433
14599.53,,3010.267,3077.694
14699.531,,3052.436,3018.844
14799.528,,3005.31,3035.598
14899.525,,3040.957,3042.552
14999.521,,3047.925,3007.785
15099.518,,2987.168,3083.024
15199.514,,3031.502,3099.549
15299.514,,3020.773,3041.058
15399.513,,2971.716,3030.185
15499.508,,3005.355,2968.75
15599.506,,2977.378,3011.523
15699.506,,2986.096,3044.225
15799.498,,3020.404,3192.227
15899.496,,2990.876,3189.991
15999.494,,2969.383,3204.506
16099.496,,2927.556,3141.343
16199.487,,2950.897,3109.565
16299.491,,2934.372,3114.251
16399.489,,2971.121,3133.536
16499.481,,2976.718,3059.648
16599.477,,2992.931,3158.464
16699.48,,2936.043,3113.45
16799.473,,3008.512,3070.046
16899.476,,2994.707,3076.186
16999.474,,2975.691,3071.986
17099.47,,3003.53,3031.42
17199.467,,2966.728,2968.439
17299.463,,2980.88,2963.89
17399.464,,2993.881,2943.094
17499.456,,2995.42,2936.797
17599.456,,3020.663,2949.347
17699.456,,3005.702,2925.152
17799.452,,2999.373,2899.707
17899.45,,2986.498,2902.794
17999.444,,2982.968,2926.447
18099.447,,2987.543,2967.415
18199.442,,2997.091,2989.717
18299.439,,2993.184,2989.158
18399.437,,2996.412,2960.525
18499.433,,2987.649,2957.457
18599.429,,2996.441,2940.952
18699.427,,2993.887,2934.772
18799.427,,3002.711,2906.266
18899.425,,2993.005,2890.301
18999.421,,3009.226,2842.158
19099.419,,2982.232,2849.447
19199.415,,3016.803,2859.402
19299.418,,3048.314,2858.352
19399.412,,3053.042,2843.127
19499.412,,3040.015,2812.93
19599.405,,3019.175,2811.8
19699.407,,3019.821,2803.629
19799.4,,3013.589,2820.5
19899.398,,3013.977,2824.759
19999.394,,3009.342,2999.927
20099.389,,3011.674,3100.915
20199.386,,3019.355,3125.63
20299.383,,3014.738,3104.55
20399.382,,3015.542,3096.559
20499.376,,3019.255,3063.529
20599.371,,3022.855,3068.87
20699.367,,3023.875,3053.355
20799.363,,3013.38,3033.366
20899.358,,3013.605,3025.778
20999.356,,3002.64,2998.864
21099.355,,3013.71,2998.772
21199.349,,2931.16,2932.201
21299.342,,2937.684,2956.052
21399.338,,2971.624,2961.813
21499.339,,2978.548,2975.372
21599.331,,2962.148,3040.947
21699.328,,2993.894,3079.344
21799.324,,3000.228,3111.22
21899.32,,3003.131,3120.639
21999.319,,3036.813,3120.185
22099.313,,3017.766,3101.187
22199.31,,2998.79,3079.608
22299.306,,3007.911,3111.449
22399.299,,3009.304,3070.081
22499.294,,2999.623,3114.058
22599.295,,3015.894,3125.59
22699.29,,3024.099,3137.123
22799.282,,3037.309,3135.844
22899.282,,3005.9,3137.104
22999.28,,2995.995,3110.868
23099.275,,2997.167,3086.959
23199.268,,2981.81,3069.749
23299.264,,2949.138,3000.351
23399.262,,2953.152,3001.007
23499.255,,2955.997,2999.2
23599.253,,2932.326,3020.457
23699.252,,2967.153,3035.716
23799.248,,2963.311,2953.639
23899.243,,2954.504,2963.625
23999.239,,2978.111,2974.204
24099.233,,2984.57,2986.293
24199.226,,3008.606,2986.55
24299.222,,3036.737,2981.332
24399.222,,3026.148,2929.328
24499.215,,3029.062,2930.203
24599.216,,3007.378,2900.428
24699.21,,2986.924,2908.354
24799.203,,2971.356,2930.635
24899.203,,2986.571,2966.509
24999.195,,2991.336,2991.913
25099.191,,2990.842,3014.22
25199.193,,2996.2,3040.023
25299.182,,2978.914,3103.826
25399.185,,2989.479,3091.211
25499.178,,2984.215,3063.871
25599.176,,2988.275,3056.339
25699.172,,2989.883,3024.386
25799.166,,2974.771,2987.89
25899.165,,2982.251,2964.268
25999.158,,2985.213,2944.107
26099.156,,2977.072,2940.492
26199.151,,2985.312,2948.163
26299.148,,2977.999,2940.963
26399.142,,2992.466,2969.864
26499.135,,2988.746,2978.078
26599.132,,2968.226,2973.889
26699.131,,2980.326,2966.119
26799.124,,2981.967,2987.717
26899.122,,2945.179,3046.022
26999.119,,2942.851,3006.181
27099.117,,2922.809,3027.224
27199.107,,2945.908,2990.561
27299.105,,2930.697,3179.626
27399.101,,2988.449,3237.938
27499.096,,2959.911,3288.672
27599.091,,3011.273,3252.917
27699.087,,2962.396,3309.513
27799.085,,2999.416,3236.943
27899.082,,2976.899,3296.689
27999.078,,3020.428,3240.365
28099.08,,2981.057,3238.429
28199.071,,3038.673,3183.384
28299.071,,2963.541,3144.82
28399.069,,3022.1,3145.382
28499.064,,2947.82,3126.466
28599.064,,2991.818,3086.815
28699.064,,2947.597,3122.113
28799.056,,2953.83,3107.613
28899.052,,2973.179,3136.596
28999.05,,2972.601,3125.155
29099.047,,2948.632,3086.404
29199.047,,2928.219,3060.811
29299.047,,2882.535,3079.353
29399.038,,2919.627,3119.226
29499.036,,2926.536,3158.592
29599.033,,2973.519,3195.28
29699.037,,3001.805,3166.042
29799.03,,2912.42,3117.908
29899.031,,2873.847,3117.229
29999.026,,2901.617,3189.774
30099.021,,2973.017,3232.406
30199.019,,2995.456,3165.411
30299.02,,2974.185,3158.249
30399.016,,2981.949,3108.637
30499.013,,2961.466,3121.93
30599.005,,2957.479,3055.564
30699.007,,2890.567,3021.994
30799.005,,2897.278,2994.839
30898.997,,2927.444,3005.853
30998.997,,2950.09,2978.517
31098.993,,2963.109,2959.728
31198.992,,2951.863,2953.9
31298.991,,2957.335,2967.201
