Time,Events,CH1-410,CH1-470
0,,2353.616,2747.39
100.005,,2344.132,2737.508
200.005,,2334.665,2718.3
300.001,,2324.176,2716.729
400.005,,2322.702,2733.548
500.002,,2315.894,2744.95
600.005,,2311.81,2763.182
700.001,,2309.389,2785.509
800,,2303.291,2801.042
900.001,,2305.418,2793.058
1000.002,,2303.327,2764.108
1099.999,,2307.997,2747.831
1200.005,,2307.669,2716.974
1300.003,,2304.216,2681.506
1400.004,,2296.496,2657.306
1500.003,,2297.555,2640.281
1600.005,,2291.959,2627.853
1700.001,,2291.404,2636.772
1800.005,,2292.6,2669.304
1899.999,,2292.34,2691.964
2000.003,,2291.918,2706.114
2100.004,,2290.923,2739.236
2200.001,,2290.219,2811.976
2300,,2291.889,2851.081
2399.999,,2289.226,2872.229
2500.001,,2290.255,2902.226
2599.999,,2293.344,2932.875
2700.005,,2285.558,2940.697
2799.999,,2286.902,2918.989
2900.005,,2288.087,2893.225
3000.002,,2287.921,2870.901
3100,,2288.849,2889.729
3200,,2288.738,2916.747
3300.004,,2285.661,2915.771
3400.002,,2288.216,2904.778
3500.002,,2285.449,2877.094
3600.005,,2289,2844.304
3700.001,,2291.051,2806.835
3800.003,,2287.342,2781.059
3900.003,,2290.004,2759.709
4000.001,,2289.628,2763.222
4100.002,,2289.987,2790.877
4200.003,,2284.747,2821.96
4300,,2283.536,2839.836
4399.999,,2285.449,2847.987
4500.001,,2287.747,2832.117
4600.001,,2287.671,2794.775
4700.002,,2285.463,2758.49
4800.003,,2285.17,2724.874
4900.001,,2286.176,2705.487
5000.002,,2286.184,2686.88
5100.002,,2287.37,2665.37
5200.001,,2288.175,2641.416
5300.005,,2287.429,2615.432
5400.003,,2286.001,2597.701
5500.003,,2285.308,2590.331
5600.003,,2285.144,2594.541
5700.003,,2286.214,2595.356
5800,,2282.362,2580.858
5900.002,,2280.476,2572.926
6000.001,,2281.736,2576.115
6100.004,,2283.158,2587.108
6200.003,,2282.435,2620.142
6300.002,,2280.923,2655.131
6400.003,,2279.611,2651.475
6499.999,,2279.365,2637.07
6599.999,,2277.239,2623.838
6700.003,,2276.406,2605.214
6800.001,,2279.161,2590.858
6900.006,,2278.986,2579.82
7000.003,,2278.367,2582.608
7100,,2279.031,2569.904
7200.005,,2277.462,2557.263
7299.999,,2278.586,2565.733
7400.003,,2277.952,2588.965
7500.005,,2273.951,2647.642
7600.004,,2273.928,2672.654
7700.005,,2270.305,2652.595
7800,,2275.332,2622.374
7900.003,,2274.116,2606.948
8000.007,,2277.902,2615.351
8100.004,,2273.5,2653.897
8200.003,,2275.73,2666.378
8300,,2268.863,2663.607
8400,,2270.065,2705.53
8500.004,,2275.007,2757.61
8600.002,,2273.431,2780.893
8700.004,,2270.784,2821.084
8800.001,,2268.01,2854.327
8900.001,,2268.098,2878.497
9000.005,,2266.252,2893.572
9100.003,,2269.635,2953.614
9200.002,,2270.851,2960.845
9300.006,,2269.265,2939.275
9400.003,,2269.262,2908.847
9500.006,,2271.548,2888.13
9600.005,,2273.898,2879.057
9700.003,,2274.004,2864.679
9800.006,,2272.49,2826.338
9900.004,,2275.115,2795.718
9999.999,,2272.31,2802.663
10100.003,,2270.061,2809.084
10200.002,,2269.422,2794.509
10300,,2272.061,2766.35
10400.004,,2275.608,2743.17
10500.006,,2277.597,2737.181
10600.001,,2281.583,2719.717
10700.004,,2276.15,2717.954
10800.004,,2279.076,2701.464
10900.002,,2277.417,2688.117
11000.005,,2278.751,2662.697
11100.005,,2277.406,2640.421
11200.002,,2270.516,2615.747
11299.999,,2269.258,2594.631
11400.002,,2270.255,2588.766
11500.004,,2275.783,2587.72
11600.001,,2276.207,2578.959
11700,,2276.379,2578.701
11800.001,,2276.705,2590.267
11900.005,,2275.944,2609.513
12000.001,,2280.586,2636.139
12100.002,,2275.697,2685.749
12200.004,,2270.931,2717.793
12300.005,,2269.836,2726.86
12400,,2272.87,2718.556
12500.003,,2272.204,2719.782
12600.004,,2272.944,2710.075
12700.004,,2271.173,2691.871
12800.005,,2269.68,2673.918
12900,,2272.269,2654.141
13000.006,,2272.818,2661.769
13100.003,,2273.105,2691.982
13200.002,,2272.071,2726.944
13300.002,,2271.525,2776.295
13400.001,,2271.806,2894.386
