Time,Events,CH1-410,CH1-470
0,,1301.27,1102.319
99.997,,1299.498,1101.477
199.994,,1296.977,1095.471
299.997,,1294.078,1095.704
399.996,,1294.543,1095.692
499.995,,1291.759,1091.581
599.997,,1291.197,1091.351
699.998,,1289.442,1090.582
799.996,,1286.945,1089.197
899.996,,1286.771,1088.038
999.996,,1285.826,1086.587
1099.996,,1283.86,1083.394
1199.995,,1282.691,1080.261
1300.002,,1281.541,1078.373
1400,,1283.562,1077.994
1499.994,,1283.815,1077.233
1599.999,,1283.861,1078.676
1699.997,,1285.543,1078.752
1800,,1285.254,1079.567
1899.999,,1284.102,1084.074
1999.999,,1284.487,1086.801
2099.999,,1283.894,1085.829
2200,,1283.918,1084.899
2299.999,,1283.674,1083.881
2399.996,,1282.924,1082.275
2499.994,,1282.357,1084.172
2599.999,,1282.784,1084.161
2699.997,,1283.579,1083.742
2799.999,,1283.109,1086.135
2899.998,,1281.077,1087.704
2999.995,,1282.009,1091.201
3099.995,,1281.356,1097.98
3199.994,,1281.932,1104.532
3300,,1280.565,1098.899
3399.999,,1280.07,1091.909
3499.994,,1279.777,1088.212
3599.999,,1279.844,1085.221
3700,,1278.48,1085.019
3799.996,,1277.294,1084.541
3899.998,,1278.024,1083.323
3999.995,,1278.281,1082.979
4099.997,,1276.176,1084.243
4199.999,,1274.534,1083.529
4299.996,,1273.773,1083.091
4399.995,,1273.689,1087.918
4499.995,,1273.695,1087.547
4599.998,,1272.482,1083.661
4699.995,,1271.928,1077.754
4799.994,,1269.712,1075.031
4899.994,,1271.096,1078.676
4999.994,,1272.727,1079.4
5100,,1272.471,1076.637
5200,,1273.226,1074.653
5299.995,,1273.443,1072.945
5399.996,,1273.788,1075.472
5499.997,,1272.955,1075.227
5600,,1271.903,1075.503
5699.995,,1272.167,1074.643
5799.998,,1271.398,1073.099
5899.999,,1272.137,1072.173
5999.996,,1272.357,1070.987
6099.996,,1271.351,1071.273
6199.995,,1271.292,1071.455
6299.999,,1271.422,1075.182
6399.995,,1271.013,1080.982
6500,,1270.738,1080.075
6599.996,,1272.525,1082.901
6699.997,,1272.356,1082.395
6799.997,,1271.457,1078.813
6899.997,,1270.956,1074.611
6999.996,,1270,1073.557
7099.999,,1268.671,1071.283
7199.998,,1268.084,1071.759
7299.994,,1269.993,1070.732
7399.997,,1269.44,1069.153
7500,,1268.242,1068.985
7600,,1267.526,1070.029
7699.996,,1268.566,1070.021
7799.994,,1266.986,1069.221
7899.994,,1265.652,1069.033
8000,,1266.556,1072.107
8099.997,,1265.275,1073.408
8199.995,,1266.701,1077.228
8299.998,,1266.812,1078.08
8400,,1264.774,1074.939
8500,,1265.255,1073.036
8600,,1265.458,1072.855
8699.999,,1264.91,1081.197
8799.999,,1264.739,1086.858
8899.997,,1264.292,1093.825
8999.998,,1263.773,1094.871
9099.999,,1263.4,1090.471
9199.999,,1263.672,1085.942
9299.995,,1263.771,1080.872
9399.995,,1263.375,1080.429
9499.997,,1262.877,1078.988
9599.999,,1262.84,1076.562
9699.995,,1263.241,1073.95
9799.996,,1262.56,1077.496
9899.998,,1262.265,1076.056
10000,,1262.05,1081.88
10099.995,,1262.076,1085.523
10199.995,,1261.995,1081.439
10299.998,,1261.859,1076.165
10399.997,,1261.493,1072.549
10499.998,,1261.347,1071.467
10599.998,,1261.451,1071.701
10700,,1260.697,1071.104
10799.998,,1260.883,1071.818
10899.994,,1260.317,1070.874
10999.994,,1260.144,1070.716
11099.998,,1260.187,1069.053
11199.998,,1260.501,1066.487
11299.998,,1259.74,1064.987
11399.995,,1259.032,1063.677
11499.997,,1260.75,1064.231
11599.998,,1261.474,1064.039
11699.996,,1261.173,1063.219
11799.997,,1261.385,1062.155
11899.995,,1259.767,1061.251
11999.997,,1258.719,1061.125
12099.998,,1258.488,1060.365
12199.994,,1258.078,1062.661
12299.994,,1257.834,1062.802
12399.998,,1257.508,1063.396
12499.999,,1257.445,1063.382
12599.995,,1257.081,1064.368
12699.996,,1256.651,1067.393
12799.999,,1255.707,1067.477
12899.996,,1254.716,1068.917
12999.997,,1255.103,1068.72
13100,,1256.018,1066.625
13199.994,,1255.491,1066.762
13299.998,,1254.933,1067.78
13399.995,,1254.97,1065.33
13499.996,,1253.883,1063.298
13599.994,,1252.977,1061.23
13699.997,,1251.812,1060.89
13800,,1252.647,1070.277
13899.994,,1254.554,1075.578
13999.997,,1252.967,1072.711
14099.998,,1253.046,1070.133
14199.995,,1253.021,1068.777
14299.996,,1251.192,1066.878
14399.998,,1252.426,1065.592
14499.997,,1250.487,1062.015
14599.996,,1249.895,1060.38
14699.999,,1249.878,1059.107
14800,,1249.469,1060.859
14899.994,,1248.538,1061.937
14999.994,,1248.709,1060.988
15099.998,,1248.139,1061.072
15200,,1247.63,1062.106
15300,,1247.576,1061.685
15399.993,,1248.001,1064.578
15500,,1248.046,1067.706
15599.996,,1248.171,1068.721
15699.996,,1248.779,1064.242
15799.998,,1248.858,1061.008
15900,,1247.505,1059.452
15999.995,,1248.222,1059.089
16099.996,,1250.042,1059.057
16199.994,,1250.879,1058.628
16299.997,,1251.002,1058.679
16400.001,,1252.036,1060.193
16499.999,,1250.949,1058.356
16599.996,,1249.595,1057.73
16699.997,,1249.922,1057.711
16799.998,,1249.694,1057.675
16899.998,,1250.11,1061.814
16999.999,,1250.517,1063.977
17100.001,,1251.221,1067.802
17200.002,,1251.196,1066.353
17299.997,,1248.43,1059.9
17400.002,,1244.285,1058.191
17500.002,,1243.93,1058.731
17599.997,,1244.208,1059.468
17700,,1243.37,1064.18
17799.997,,1243.788,1071.844
17900.003,,1244.452,1069.244
