Time,Events,CH1-410,CH1-470
0,,2824.487,2861.797
100.001,,2794.51,2808.827
199.999,,2764.298,2784.297
299.996,,2747.941,2790.296
400.001,,2725.103,2778.88
500.001,,2706.308,2759.557
599.995,,2694.199,2735.361
700,,2692.583,2723.887
800.002,,2688.383,2755.565
899.998,,2672.338,2753.157
999.996,,2663.655,2729.033
1099.999,,2664.87,2783.65
1200,,2667.88,2920.347
1299.999,,2664.408,3042.098
1400.001,,2658.122,3060.691
1499.996,,2659.72,3047.706
1599.997,,2650.941,3113.407
1699.995,,2649.581,3177.015
1799.996,,2653.634,3141.979
1899.999,,2649.983,3139.414
1999.998,,2644.389,3136.996
2100,,2640.765,3098.144
2200.001,,2644.129,3049.539
2299.995,,2643.688,2995.804
2399.996,,2640.608,2983.533
2500.002,,2640.453,2973.011
2599.995,,2645.973,3031.115
2699.997,,2641.842,2999.903
2799.999,,2643.536,2954.543
2899.997,,2650.892,2902.986
2999.997,,2644.038,2874.973
3100,,2643.658,2860.335
3200,,2643.376,2886.948
3299.995,,2641.443,2919.203
3399.996,,2641.69,2895.555
3499.998,,2639.221,2868.844
3599.997,,2635.819,2828.347
3699.997,,2631.283,2798.53
3799.996,,2633.288,2774.352
3900.001,,2639.65,2811.252
3999.999,,2639.187,2805.267
4100,,2640.47,2827.802
4199.997,,2639.005,2808.753
4299.995,,2661.818,2781.772
4400.001,,2660.757,2772.283
4499.995,,2657.15,2777.605
4599.999,,2639.089,2826.925
4699.999,,2649.278,2862.39
4800.002,,2660.567,2911.929
4900,,2659.577,2899.223
5000,,2660.707,2969.289
5099.998,,2652.552,3102.513
5199.997,,2662.628,3342.908
5299.998,,2651.638,3434.646
5399.999,,2643.134,3380.884
5500.002,,2632.628,3305.67
5600,,2641.159,3261.767
5699.999,,2654.838,3191.08
5799.999,,2657.492,3123.856
5899.998,,2652.086,3066.38
5999.995,,2649.532,3004.42
6099.999,,2635.851,2949.103
6199.995,,2626.931,2906.369
6299.999,,2630.768,2881.438
6400,,2632.386,2847.708
6499.997,,2620.775,2855.435
6599.996,,2622.472,2987.013
6699.997,,2630.913,3014.236
6799.997,,2637.197,3000.317
6899.995,,2638.949,3026.555
6999.997,,2638.397,3017.018
7099.997,,2644.734,2970.18
7199.998,,2652.864,2925.506
7299.999,,2645.69,2888.023
7399.999,,2648.099,2866.824
7500,,2641.823,2856.759
7599.995,,2630.376,2838.569
7699.995,,2626.042,2810.103
7799.996,,2624.332,2780.94
7900.002,,2623.249,2761.91
7999.996,,2621.964,2754.548
8100.001,,2629.549,2748.164
8200.001,,2645.582,2725.991
8299.995,,2636.051,2793.425
8399.997,,2636.209,2816.068
8499.998,,2637.055,2801.7
8600,,2640.113,2804.286
8699.997,,2646.926,2802.533
8799.999,,2655.122,2856.314
8899.995,,2644.464,2835.134
9000,,2640.759,2802.552
9099.995,,2640.783,2778.801
9199.997,,2642.79,2750.603
9299.999,,2633.178,2717.003
9399.997,,2626.091,2697.1
9500,,2627.141,2685.014
9599.999,,2630.202,2663.255
9699.999,,2624.677,2637.401
9800.001,,2624.684,2642.554
