Time,Events,CH1-410,CH1-470
0,,1234.247,1301.298
99.995,,1225.076,1288.335
199.994,,1218.435,1267.801
299.995,,1210.474,1244.516
399.999,,1208.017,1226.647
500,,1205.451,1215.275
599.995,,1203.74,1208.612
699.998,,1200.604,1208.186
799.996,,1198.26,1201.701
899.996,,1193.112,1190.213
999.997,,1191.23,1181.206
1099.999,,1191.558,1179.33
1199.995,,1192.174,1178.698
1299.996,,1193.21,1176.237
1399.994,,1194.297,1173.482
1499.997,,1192.165,1172.956
1600,,1190.434,1173.955
1699.995,,1187.298,1164.531
1800,,1186.889,1162.622
1899.999,,1188.248,1155.722
1999.998,,1185.029,1144.877
2100,,1186.133,1139.995
2199.995,,1185.393,1133.645
2299.994,,1186.177,1138.165
2399.999,,1185.337,1141.969
2499.995,,1185.122,1143.084
2600,,1183.102,1136.534
2699.997,,1184.554,1129.116
2799.994,,1183.156,1118.101
2899.996,,1181.779,1111.421
2999.998,,1180.812,1108.544
3100,,1180.387,1111.929
3200,,1178.984,1118.495
3299.999,,1178.754,1116.893
3400,,1179.3,1111.544
3499.996,,1179.222,1103.904
3599.994,,1180.4,1097.605
3699.996,,1178.957,1092.731
3799.998,,1179.416,1087.636
3899.994,,1180.35,1082.039
3999.997,,1178.459,1079.808
4099.998,,1176.51,1086.86
4199.995,,1175.902,1099.561
4299.995,,1176.468,1102.844
4399.995,,1177.377,1108.535
4499.996,,1177.227,1106.568
4599.997,,1175.829,1099.84
4699.996,,1174.541,1098.512
4800,,1174.405,1096.776
4900,,1174.329,1093.616
4999.999,,1174.066,1106.274
5099.996,,1171.903,1124.786
5199.999,,1168.779,1146.563
5299.999,,1170.915,1155.547
5399.998,,1169.129,1167.603
5499.999,,1171.184,1183.439
5600,,1173.542,1186.351
5699.996,,1171.006,1195.21
5799.994,,1171.269,1189.359
5899.999,,1170.835,1173.112
5999.994,,1170.877,1164.688
6099.997,,1169.876,1161.682
6199.998,,1172.635,1156.824
6299.995,,1173.089,1146.89
6399.995,,1171.7,1136.214
6500,,1171.702,1126.91
6599.995,,1169.647,1123.056
6699.996,,1170.61,1121.647
6799.998,,1170.975,1116.565
6899.994,,1169.554,1116.664
6999.996,,1171.364,1117.156
7099.995,,1169.845,1137.315
7200,,1171.834,1144.133
7299.996,,1167.902,1145.522
7399.997,,1168.265,1134.765
7499.997,,1168.906,1126.052
7600,,1169.285,1121.108
7699.995,,1169.322,1117.598
7799.995,,1169.05,1114.376
7900,,1168.831,1108.371
7999.994,,1166.773,1110.911
8099.999,,1169.429,1114.94
8199.995,,1167.854,1109.266
8299.999,,1167.792,1124.459
8400,,1165.721,1133.912
8499.993,,1163.029,1143.732
8599.995,,1161.966,1148.58
8699.995,,1163.051,1143.857
8799.996,,1162.206,1152.544
8899.999,,1160.226,1162.987
9000,,1161.203,1159.668
9099.999,,1160.778,1147.984
9199.996,,1163.694,1142.779
9299.996,,1161.944,1132.149
9399.995,,1158.321,1131.189
9499.996,,1157.962,1127.398
9599.997,,1160.942,1126.89
9700,,1162.185,1125.11
9799.999,,1162.128,1124.527
9899.994,,1158.914,1134.742
9999.998,,1158.567,1158.21
10099.994,,1162.865,1159.196
10199.994,,1159.273,1150.792
10299.999,,1161.124,1143.56
10399.996,,1161.343,1136.718
10500,,1159.931,1129.737
10599.995,,1161.744,1128.992
10699.994,,1160.653,1122.433
10800,,1162.481,1112.784
10899.994,,1162.984,1104.069
10999.998,,1161.878,1098.803
11099.994,,1159.861,1097.417
11199.995,,1160.518,1103.842
11299.994,,1159.517,1099.482
11399.999,,1158.35,1103.395
11499.994,,1158.746,1123.747
11599.994,,1160.408,1157.849
11700,,1165.386,1254.178
11799.996,,1166.991,1298.18
11899.996,,1163.241,1326.085
11999.998,,1159.646,1325.253
12099.997,,1160.519,1296.385
12200,,1158.518,1272.168
12299.995,,1155.411,1249.961
12399.999,,1158.822,1232.306
12499.996,,1154.744,1233.664
12599.997,,1156.648,1243.526
12699.998,,1156.224,1267.008
12800,,1156.151,1259.365
12899.999,,1156.725,1254.492
12999.995,,1159.53,1255.248
13100,,1164.122,1232.569
13199.996,,1164.108,1216.184
13300,,1165.523,1208.158
13399.996,,1163.558,1202.5
13499.998,,1164.083,1185.834
13600,,1161.855,1172.487
13699.997,,1165.695,1191.347
13799.994,,1160.895,1214.995
13899.999,,1164.122,1226.196
13999.999,,1163.511,1228.196
14099.994,,1161.869,1209.024
14199.994,,1156.035,1202.829
14299.995,,1159.82,1199.364
14400,,1165.186,1222.926
14499.997,,1164.467,1239.184
14599.998,,1166.435,1237.444
14699.996,,1159.974,1237.199
14800,,1163.656,1237.255
14899.999,,1163.419,1222.613
15000,,1160.297,1207.189
15099.995,,1165.3,1191.371
15199.994,,1164.621,1183.071
15299.996,,1167.33,1186.375
15399.999,,1167.274,1204.506
15499.999,,1166.235,1220.166
15599.994,,1164.768,1257.266
15699.995,,1163.145,1286.781
15799.997,,1165.28,1305.09
15899.997,,1164.28,1292.232
15999.997,,1165.093,1310.653
16099.993,,1166.683,1358.903
16199.993,,1167.309,1404.451
16299.999,,1163.049,1445.952
16399.998,,1163.381,1445.576
16499.995,,1163.817,1409.101
16599.997,,1164.037,1372.566
16699.994,,1163.945,1347.861
16799.995,,1167.443,1345.337
16899.998,,1167.118,1367.858
16999.995,,1165.754,1379.444
17099.998,,1164.371,1371.068
17199.997,,1163.864,1356.528
17299.996,,1166.266,1335.603
17399.998,,1165.225,1308.804
17499.994,,1164.236,1296.288
17599.996,,1166.924,1301.06
17699.994,,1165.886,1304.553
17799.997,,1163.964,1303.05
17899.994,,1164.859,1300.334
17999.996,,1165.906,1294.727
18099.993,,1167.327,1288.293
18199.996,,1168.772,1296.273
18299.997,,1166.582,1313.704
18399.995,,1163.811,1321.098
18499.994,,1163.225,1326.109
18599.995,,1164.2,1341.397
18699.992,,1165.227,1354.935
18799.994,,1162.812,1360.021
18899.993,,1162.407,1342.561
18999.993,,1165.436,1332.761
19099.994,,1166.559,1315.347
19199.994,,1166.242,1303.81
19299.994,,1165.958,1306.383
19399.994,,1163.79,1304.22
19499.99,,1170.176,1295.12
19599.994,,1167.085,1281.306
19699.994,,1167.181,1260.85
19799.995,,1167.736,1245.622
19899.994,,1167.236,1235.16
19999.99,,1165.726,1220.295
20099.991,,1165.617,1206.198
20199.993,,1165.889,1201.951
20299.988,,1166.033,1190.253
20399.989,,1167.956,1181.544
20499.988,,1165.131,1177.113
20599.993,,1165.009,1190.303
20699.994,,1160.239,1213.166
20799.988,,1163.117,1231.516
20899.989,,1163.77,1233.726
20999.992,,1162.409,1271.628
21099.991,,1160.892,1295.813
21199.99,,1160.016,1291.308
21299.989,,1160.125,1283.561
21399.987,,1162.495,1298.039
21499.987,,1163.357,1294.737
21599.987,,1161.504,1274.899
21699.986,,1161.308,1256.551
21799.986,,1161.023,1243.855
21899.986,,1161.897,1230.861
21999.987,,1165.219,1225.112
22099.989,,1159.853,1225.605
22199.989,,1162.3,1219.764
22299.986,,1164.208,1208.347
22399.991,,1162.022,1196.894
22499.986,,1159.29,1206.378
22599.986,,1156.909,1201.126
22699.986,,1161.499,1210.226
22799.988,,1161.03,1216.934
22899.986,,1161.294,1219.815
22999.985,,1161.441,1219.22
23099.99,,1162.615,1216.107
23199.988,,1162.855,1214.695
23299.986,,1162.006,1212.707
23399.982,,1163.1,1200.887
23499.986,,1161.286,1201.192
23599.986,,1159.983,1213.347
23699.988,,1160.691,1216.942
23799.983,,1164.519,1219.819
23899.985,,1159.826,1230.707
23999.982,,1164.184,1238.453
24099.974,,1160.322,1240.095
24199.97,,1159.946,1239.543
24299.959,,1158.956,1241.864
24399.952,,1158.771,1228.927
24499.946,,1160.647,1215.546
24599.938,,1160.065,1201.848
24699.936,,1160.002,1190.051
24799.93,,1160.745,1187.623
24899.924,,1164.921,1183.638
24999.919,,1163.8,1186.508
25099.91,,1163.764,1187.758
25199.905,,1165.232,1187.3
25299.894,,1158.536,1184.844
25399.886,,1159.316,1182.096
25499.885,,1162.257,1170.051
25599.874,,1162.054,1166.554
25699.867,,1158.813,1167.253
25799.863,,1158.339,1161.466
25899.858,,1158.472,1157.234
25999.851,,1158.107,1156.759
26099.844,,1158.96,1147.791
26199.834,,1159.562,1142.45
26299.829,,1160.272,1140.705
26399.817,,1159.695,1139.995
26499.809,,1159.057,1147.059
26599.802,,1161.948,1157.688
26699.799,,1161.034,1156.156
26799.79,,1163.398,1165.892
26899.784,,1162.993,1173.108
26999.778,,1160.113,1178.477
27099.772,,1158.027,1181.885
27199.763,,1161.374,1181.51
27299.75,,1157.022,1177.763
27399.749,,1157.537,1175.471
27499.737,,1159.665,1167.748
27599.73,,1158.418,1175.523
27699.72,,1161.21,1190.789
27799.704,,1160.647,1188.993
27899.707,,1157.703,1178.833
27999.7,,1158.746,1168.549
28099.69,,1157.614,1172.418
28199.68,,1156.737,1164.138
28299.674,,1153.552,1155.414
28399.665,,1156.486,1150.578
28499.661,,1154.483,1160.194
28599.652,,1157.041,1160.417
28699.643,,1156.104,1166.002
28799.636,,1156.613,1171.593
28899.625,,1157.965,1176.162
28999.614,,1159.896,1187.25
29099.607,,1158.33,1199.937
29199.599,,1160.006,1199.979
29299.591,,1160.22,1205.719
29399.582,,1158.027,1198.361
29499.573,,1157.52,1189.756
29599.562,,1160.127,1195.853
29699.555,,1161.57,1191.138
29799.549,,1160.569,1202.752
29899.534,,1159.929,1191.834
29999.525,,1161.246,1181.634
30099.523,,1157.342,1182.525
30199.512,,1157.051,1186.793
30299.505,,1156.99,1186.099
30399.49,,1153.451,1180.93
30499.481,,1154.118,1177.482
30599.475,,1157.433,1176.121
30699.461,,1158.351,1173.431
30799.452,,1155.271,1176.246
30899.444,,1154.348,1175.272
30999.435,,1154.255,1184.006
31099.423,,1157.149,1179.704
31199.419,,1155.692,1166.196
31299.407,,1156.808,1155.333
31399.395,,1159.855,1141.443
31499.387,,1156.665,1133.95
31599.378,,1156.738,1130.898
31699.366,,1155.353,1128.764
31799.358,,1154.972,1126.335
31899.347,,1153.663,1118.941
31999.346,,1151.079,1116.669
32099.35,,1152.77,1121.502
32199.35,,1153.71,1123.482
32299.345,,1151.726,1121.922
32399.347,,1153.934,1120.042
32499.346,,1154.509,1119.974
32599.344,,1154.727,1121.202
32699.342,,1157.189,1120.243
32799.346,,1157.331,1121.237
32899.346,,1156.374,1127.107
32999.343,,1155.998,1116.64
33099.342,,1157.124,1106.456
33199.342,,1155.156,1099.437
33299.34,,1154.168,1094.515
33399.341,,1151.938,1096.392
33499.341,,1153.356,1107.45
33599.344,,1155.034,1111.183
33699.341,,1155.101,1120.631
33799.343,,1154.364,1137.665
33899.337,,1156.513,1140.575
33999.342,,1151.088,1136.652
34099.336,,1153.249,1143.607
34199.341,,1152.282,1146.967
34299.336,,1151.911,1136.111
34399.341,,1152.419,1123.854
34499.34,,1151.771,1112.51
34599.335,,1153.362,1107.072
34699.34,,1153.35,1102.228
34799.335,,1151.016,1098.914
34899.336,,1152.598,1093.786
34999.336,,1156.941,1092.38
35099.336,,1158.371,1093.327
35199.333,,1154.954,1094.89
35299.339,,1152.299,1092.165
35399.335,,1150.615,1086.113
35499.333,,1149.819,1080.962
35599.337,,1148.389,1079.134
35699.337,,1149.832,1075.177
35799.338,,1154.095,1076.22
35899.334,,1153.441,1076.988
35999.331,,1152.998,1089.12
36099.334,,1153.776,1103.973
36199.334,,1154.337,1108.731
36299.332,,1153.483,1104.368
36399.335,,1153.283,1106.049
36499.337,,1157.552,1099.463
36599.335,,1150.857,1096.22
36699.33,,1150.235,1111.229
36799.333,,1153.771,1107.635
36899.334,,1153.201,1118.891
36999.334,,1152.794,1117.896
37099.33,,1151.411,1114.921
37199.335,,1154.173,1107.774
37299.333,,1151.926,1106.04
37399.331,,1152.405,1107.925
37499.334,,1151.103,1098.959
37599.333,,1151.634,1092.931
37699.332,,1152.197,1090.618
37799.335,,1152.053,1103.105
37899.329,,1150.993,1109.317
37999.335,,1151.138,1102.528
38099.333,,1151.837,1093.253
38199.331,,1151.587,1088.394
38299.33,,1148.175,1086.327
38399.334,,1148.58,1084.58
38499.332,,1149.649,1084.942
38599.336,,1151.877,1101.846
38699.335,,1151.634,1128.428
38799.336,,1149.531,1155.115
38899.336,,1150.638,1158.949
38999.336,,1148.987,1154.189
39099.336,,1149.532,1141.629
39199.331,,1150.727,1139.55
39299.331,,1148.032,1136.59
39399.331,,1147.88,1138.682
39499.331,,1149.798,1137.522
39599.335,,1149.526,1134.055
39699.333,,1149.09,1124.629
39799.335,,1150.393,1116.488
39899.337,,1151.897,1112.699
39999.325,,1151.507,1111.139
40099.321,,1150.771,1108.119
40199.317,,1149.149,1123.242
40299.311,,1148.65,1140.84
40399.302,,1149.781,1139.462
40499.297,,1153.968,1144.553
40599.292,,1153.752,1145.746
40699.28,,1151.387,1152.664
40799.274,,1150.843,1167.877
40899.27,,1151.703,1164.063
40999.261,,1152.003,1159.235
41099.255,,1151.84,1159.761
41199.253,,1152.325,1157.3
41299.241,,1151.131,1149.216
41399.239,,1150.272,1142.849
41499.228,,1151.003,1142.013
41599.22,,1150.794,1138.163
41699.219,,1150.322,1135.828
41799.207,,1150.96,1140.584
41899.2,,1144.446,1137.093
41999.197,,1142.872,1138.125
42099.185,,1146.918,1141.708
42199.181,,1148.96,1145.686
