Time,Events,CH1-410,CH1-470
0,,986.023,912.401
99.998,,977.944,903.025
200,,971.206,899.247
300.002,,966.377,898.231
400.004,,964.202,898.585
499.998,,960.958,907.264
599.999,,960.361,914.452
700.001,,955.415,918.026
800.004,,957.872,928.001
900.003,,956.291,924.107
1000.001,,957.067,917.709
1100.003,,957.032,917.383
1200,,970.293,922.43
1300.001,,968.846,918.042
1399.999,,965.094,908.551
1499.998,,967.492,918.877
1600.002,,970.512,920.222
1700.003,,971.652,915.57
1799.999,,968.246,910.522
1900.001,,968.059,904.942
2000.005,,964.069,897.842
2099.998,,961.624,894.381
2200,,964.217,893.185
2300.003,,967.573,892.742
2399.998,,971.005,892.382
2499.999,,971.956,896.103
2600.003,,971.137,887.94
2700.001,,967.414,880.072
2799.998,,966.09,880.182
2900.001,,970.726,878.924
2999.998,,971.62,875.258
3100.002,,970.36,878.007
3199.999,,970.38,881.659
3300.001,,963.485,871.94
3400.001,,958.651,858.378
3499.999,,950.815,861.874
3600.003,,947.495,866.781
3700.002,,960.79,875.047
3800.002,,958.747,879.933
3899.998,,965.416,881.327
3999.998,,961.317,880.599
4100.004,,960.798,885.259
4200.001,,966.75,885.596
4300.003,,963.195,885.592
4399.999,,961.409,885.863
4499.998,,962.353,885.521
4600,,963.918,883.298
4700,,966.953,881.863
4800.001,,965.388,878.257
4900.002,,965.271,874.882
5000.004,,962.771,870.536
5100.004,,958.913,869.17
5200.001,,958.671,885.659
5300.004,,962.725,918.1
5400.002,,963.573,944.699
5500.001,,959.189,941.519
5599.998,,957.069,936.434
5700,,958.581,944.082
5799.998,,951.993,938.28
5900,,952.85,943.108
6000.001,,954.84,944.623
6099.999,,957.334,936.914
6199.999,,960.057,928.772
6300,,958.801,924.614
6400,,956.664,914.129
6500.003,,956.89,909.038
6600.001,,948.318,899.705
6700.003,,947.182,910.573
6800.003,,950.661,927.612
6900.003,,948.264,932.323
6999.999,,949.189,933.74
7100,,945.653,937.396
7200.004,,947.816,933.931
7300.004,,947.67,926.06
7400.004,,943.44,917.974
7500.003,,939.972,913.5
7599.999,,939.034,909.534
7699.998,,940.265,905.286
7800.004,,940.86,905.905
7900.001,,941.599,909.804
8000.003,,939.836,905.509
8099.998,,939.334,906.879
8200.003,,940.373,902.471
8300.004,,943.253,908.128
8400,,947.799,908.253
8499.998,,946.24,898.286
8600,,938.23,892.456
8699.998,,936.533,891.78
8800.002,,937.901,894.734
8900.005,,943.259,893.93
9000.001,,939.425,889.548
9100.001,,938.866,883.884
9200.004,,938.232,878.182
9300,,935.957,868.555
9400.001,,932.595,862.942
9500,,933.981,862.1
9600.001,,941.431,869.827
9699.998,,951.423,875.03
9800.003,,954.776,876.053
9900.002,,956.927,871.601
9999.998,,955.823,868.114
10100.002,,953.759,868.653
10200.001,,954.867,867.956
10300,,950.573,870.298
10400,,952.699,876.724
10500.004,,950.777,875.987
10600,,950.763,876.454
10700,,951.164,872.739
10800.002,,948.75,868.552
10900.001,,947.9,866.727
11000.001,,946.095,863.473
11100.004,,945.092,865.33
11200.001,,946.825,863.665
11300,,949.006,865.625
11400.004,,949.455,865.779
11499.999,,946.205,860.569
11600,,947.312,855.69
11699.999,,946.726,853.837
11800.003,,945.048,861.813
11900.002,,941.4,874.341
12000.003,,941.7,876.823
12099.998,,939.625,878.663
12200.004,,939.989,880.815
12300,,940.391,888.638
12400.002,,945.641,896.696
12499.998,,946.598,895.949
12600,,947.918,903.325
12700.002,,954.525,905.2
12799.999,,956.231,905.455
12899.999,,955.707,910.561
12999.998,,956.745,906.438
13100.001,,955.119,891.747
13200.004,,946.968,894.468
13300.003,,945.729,891.848
13400.004,,951.487,893.942
13500,,951.844,890.41
13600,,950.07,891.139
13700.003,,951.487,889.9
13800.003,,951.837,885.102
13900.002,,955.416,881.25
14000.004,,948.493,877.032
14100,,948.066,877.838
14200,,954.323,876.224
14300,,944.874,868.782
14400.002,,943.681,866.316
14499.998,,945.267,870.354
14600.002,,944.285,870.163
14700.001,,945.809,869.606
14800.002,,943.398,857.66
14900.004,,938.767,860.526
15000.002,,946.886,869.239
15099.999,,953.628,868.48
15200,,949.971,860.616
15299.998,,941.61,859.542
15399.999,,941.011,856.243
15500,,938.352,853.866
15599.998,,936.688,852.408
15700.003,,944.011,857.4
15800.004,,950.459,856.944
15900.004,,943.309,853.884
16000.005,,940.147,853.133
16100.006,,941.26,861.751
16200.006,,949.504,865.258
16300.001,,950.155,863.031
16400.007,,947.634,862.62
16500.008,,951.205,867.72
16600.007,,954.572,876.035
16700.006,,951.608,874.222
16800.013,,947.418,876.154
16900.011,,947.577,883.509
17000.012,,940.651,877.342
17100.014,,944.782,874.412
17200.015,,946.869,870.64
17300.013,,943.307,870.296
17400.014,,945.248,872.631
17500.018,,945.892,872.389
17600.015,,943.61,874.858
17700.017,,944.243,879.521
17800.018,,945.34,882.939
17900.024,,943.498,887.182
18000.025,,947.456,890.064
18100.027,,952.892,883.28
18200.027,,945.379,878.106
18300.029,,948.403,878.239
18400.025,,950.036,869.866
18500.026,,946.213,870.239
18600.03,,947.978,869.474
18700.031,,945.256,863.973
18800.032,,944.636,862.929
18900.034,,951.544,860.35
19000.032,,949.174,854.781
19100.038,,950.017,853.566
19200.04,,949.861,850.894
19300.04,,947.57,847.375
19400.038,,941.513,847.753
19500.043,,940.72,849.419
19600.044,,938.711,858.745
19700.043,,944.178,866.884
19800.043,,942.855,873.252
19900.047,,940.282,876.371
20000.048,,942.913,882.433
20100.052,,943.196,877.207
20200.048,,941.461,874.889
20300.054,,935.929,887.976
20400.053,,932.783,895.123
20500.052,,933.703,898.116
20600.056,,939.076,896.523
20700.06,,943.545,890.562
20800.06,,945.469,886.271
20900.062,,944.508,882.533
21000.063,,940.149,877.627
21100.066,,941.561,876.309
21200.063,,945.669,877.965
21300.07,,940.905,870.884
21400.065,,938.144,864.519
21500.072,,938.721,865.181
21600.068,,938.201,860.392
21700.071,,937.532,859.346
21800.073,,938.017,857.475
21900.075,,938.625,855.799
22000.077,,938.558,857.413
22100.078,,939.845,871.911
22200.082,,939.008,876.191
22300.082,,939.205,878.822
22400.086,,947.479,876.099
22500.088,,945.104,870.831
22600.088,,940.868,876.601
22700.088,,936.703,877.078
22800.088,,933.295,877.328
22900.091,,933.488,878.862
23000.097,,934.726,875.16
23100.096,,933.104,870.876
