Time,Events,CH1-410,CH1-470
0,,2209.459,2195.97
100,,2202.95,2162.389
199.992,,2203,2150.549
299.996,,2199.367,2134.168
399.997,,2196.902,2122.733
500.001,,2192.968,2115.563
599.999,,2190.6,2122.498
700,,2188.819,2117.647
800,,2186.239,2114.677
899.999,,2185.183,2113.749
999.998,,2182.279,2103.905
1099.999,,2178.346,2091.649
1200.001,,2178.124,2086.687
1299.998,,2179.369,2089.204
1399.997,,2178.549,2087.78
1500,,2177.53,2083.889
1599.995,,2177.331,2078.966
1699.995,,2176.708,2084.813
1799.995,,2174.763,2096.812
1900.001,,2174.9,2108.168
1999.999,,2173.289,2113.298
2099.998,,2172.627,2125.51
2199.998,,2171.561,2145.983
2299.996,,2170.699,2206.252
2400,,2169.069,2231.374
2499.996,,2168.17,2210.413
2600.001,,2168.621,2187.313
2699.996,,2167.744,2167.745
2799.995,,2166.621,2146.577
2899.995,,2167.508,2144.185
2999.999,,2165.85,2145.5
3100.001,,2165.526,2123.979
3199.998,,2165.537,2117
3299.998,,2163.357,2158.299
3399.997,,2161.786,2164.061
3499.998,,2161.83,2163.483
3600,,2161.816,2172.825
3699.996,,2160.947,2205.118
3799.997,,2160.352,2160.452
3899.998,,2156.349,2123.591
3999.997,,2152.772,2100.641
4099.997,,2154.787,2084.685
4200.001,,2159.348,2078.131
4300.001,,2161,2076.571
4399.997,,2159.585,2076.81
4500,,2159.265,2073.519
4599.997,,2158.865,2082.975
4700,,2158.255,2087.655
4800.001,,2157.371,2102.933
4899.995,,2155.05,2093.114
4999.997,,2154.43,2077.986
5100.001,,2154.476,2074.707
5200,,2153.848,2079.712
5299.996,,2153.235,2100.035
5399.998,,2152.6,2104.634
5499.995,,2152.548,2092.144
5599.999,,2152.764,2083.456
5699.995,,2152.68,2072.174
5799.995,,2153.616,2068.139
5899.995,,2152.747,2064.834
5999.999,,2153.188,2063.738
6099.995,,2151.654,2066.177
6199.999,,2149.033,2067.547
6299.999,,2148.799,2061.918
6399.998,,2147.025,2068.419
6499.996,,2144.72,2069.845
6599.998,,2146.152,2066.13
6699.997,,2145.112,2099.26
6799.995,,2145.565,2125.881
6899.997,,2144.035,2151.218
7000,,2144.517,2140.016
7100,,2145.189,2152.059
7199.999,,2144.077,2180.306
7300.001,,2144.088,2160.13
7399.998,,2142.708,2138.158
7499.999,,2144.191,2114.165
7599.996,,2143.614,2099.55
7699.999,,2143.024,2088.173
7799.998,,2143.271,2089.833
7899.998,,2143.266,2091.89
8000.001,,2141.647,2081.083
8100.001,,2141.734,2081.105
8199.998,,2142.008,2074.761
8299.999,,2140.904,2071.625
8400,,2139.259,2062.956
8499.999,,2139.566,2054.778
8599.997,,2139.996,2051.31
8699.996,,2136.713,2053.968
8799.998,,2134.452,2059.222
8900.001,,2136.255,2060.436
9000,,2135.35,2060.456
9099.998,,2134.31,2062.547
9200.001,,2134.38,2065.014
9299.997,,2136.148,2069.361
9399.999,,2135.927,2064.009
9499.996,,2133.354,2054.284
9599.995,,2134.008,2050.576
9700,,2132.938,2061.015
9800.001,,2132.295,2132.449
9899.997,,2129.161,2151.636
9999.999,,2131.039,2158.008
10099.997,,2127.234,2397.394
10199.995,,2123.989,2407.364
10300,,2125.877,2318.658
10399.997,,2126.917,2243.334
10499.995,,2130.09,2187.749
10600.001,,2131.166,2145.549
10700,,2130.214,2118.351
10799.996,,2129.616,2111.41
10900.001,,2130.947,2090.089
10999.998,,2130.628,2098.788
11099.999,,2128.469,2141.647
11200,,2124.684,2141.083
11300.001,,2124.202,2117.829
11400.001,,2125.167,2107.768
11499.996,,2127.25,2087.039
11600,,2124.495,2069.705
11699.997,,2125.5,2060.448
11800,,2125.094,2061.477
11899.997,,2126.504,2067.585
11999.996,,2124.812,2057.169
12099.996,,2124.057,2048.42
12199.997,,2122.521,2051.556
12299.996,,2122.653,2054.238
12399.996,,2121.605,2045.368
12500.001,,2121.543,2046.431
12600,,2121.737,2053.995
12699.997,,2120.773,2053.571
12799.999,,2120.375,2054.286
12899.999,,2121.176,2054.323
13000.001,,2120.923,2061.218
13100,,2120.668,2077.839
13199.996,,2120.876,2084.065
13299.997,,2120.868,2078.496
13399.997,,2121.331,2082.384
13499.998,,2120.496,2070.116
13599.995,,2120.686,2063.094
13699.999,,2120.888,2068.052
13799.998,,2120.075,2077.397
13899.997,,2118.946,2079.03
14000.001,,2119.271,2086.329
14100,,2118.65,2093.174
14199.995,,2118.819,2091.411
14300,,2117.563,2070.976
14399.998,,2118.907,2064.197
14500.001,,2119.981,2072.811
14600,,2118.949,2070.22
14699.998,,2120.296,2066.281
14799.999,,2122.251,2067.4
14900.001,,2121.175,2053.982
14999.996,,2120.399,2047.163
15099.997,,2120.867,2044.38
15199.998,,2120.07,2039.861
15300.001,,2118.722,2036.399
15399.995,,2118.868,2040.441
15500.001,,2118.506,2046.713
15600.001,,2116.604,2078.066
15700.001,,2110.705,2096.504
15800.001,,2111.779,2083.871
15900,,2115.249,2062.251
16000,,2115.498,2047.113
16100.009,,2114.557,2036.871
16200.007,,2114.566,2031.88
16300.014,,2112.457,2027.402
16400.019,,2110.035,2025.11
16500.024,,2110.922,2027.78
16600.028,,2113.45,2027.176
16700.033,,2111.594,2034.335
16800.038,,2111.01,2050.112
16900.044,,2107.719,2067.474
17000.049,,2106.071,2060.679
17100.053,,2105.348,2056.943
17200.055,,2105.159,2046.263
17300.063,,2106.925,2038.22
17400.065,,2105.992,2039.541
17500.071,,2107.538,2046.358
17600.075,,2108.104,2043.831
17700.081,,2107.813,2049.997
17800.082,,2107.806,2066.329
17900.091,,2107.812,2061.483
