Time,Events,CH1-410,CH1-470
0,,1792.43,1240.269
99.999,,1781.469,1234.72
200,,1774.534,1229.123
299.997,,1766.935,1227.512
399.997,,1761.413,1224.912
499.998,,1757.304,1220.343
599.997,,1751.964,1216.004
700,,1748.881,1215.76
799.997,,1744.068,1214.741
899.998,,1740.654,1210.381
999.999,,1738.409,1206.385
1099.997,,1735.573,1202.367
1199.998,,1731.303,1199.536
1300,,1728.183,1198.219
1399.995,,1729.013,1198.068
1500,,1726.456,1196.751
1599.997,,1725.995,1193.777
1699.999,,1725.593,1190.592
1799.997,,1723.274,1189.175
1900,,1723.124,1188.56
2000,,1722.714,1187.74
2099.995,,1721.665,1188.329
2199.997,,1718.483,1189.718
2299.995,,1718.166,1195.38
2399.994,,1716.974,1195.159
2499.994,,1716.746,1191.868
2600,,1716.526,1189.315
2699.998,,1715.794,1188.206
2799.999,,1713.36,1186.376
2900,,1712.483,1185.027
2999.996,,1712.273,1184.828
3100,,1711.728,1183.016
3199.995,,1709.943,1187.612
3299.999,,1708.068,1189.792
3399.996,,1707.847,1191.079
3500,,1707.726,1193.526
3599.995,,1706.114,1193.087
3699.999,,1704.403,1194.584
3799.997,,1701.722,1204.554
3899.997,,1700.688,1207.648
3999.996,,1701.494,1203.205
4099.996,,1701.679,1198.654
4199.995,,1699.656,1193.608
4300.001,,1698.65,1189.999
4399.996,,1697.728,1186.407
4499.994,,1696.468,1183.776
4599.994,,1695.253,1179.756
4699.999,,1695.125,1177.486
4799.997,,1694.951,1175.57
4899.999,,1695.335,1175.835
5000,,1695.002,1177.761
5099.997,,1695.567,1178.29
5199.996,,1694.378,1180.557
5299.998,,1693.699,1187.738
5399.995,,1693.227,1190.262
5499.995,,1693.676,1187.106
5599.999,,1692.948,1184.082
5699.997,,1691.272,1180.766
5799.994,,1688.844,1177.331
5899.995,,1688.657,1175.125
5999.998,,1689.589,1173.068
6099.996,,1689.628,1173.46
6199.999,,1688.364,1173.442
6299.998,,1685.161,1174.458
6399.999,,1685.329,1179.789
6499.997,,1685.253,1182.188
6599.996,,1685.158,1184.839
6700.001,,1683.385,1185.8
6800,,1680.939,1185.501
6900,,1680.781,1186.634
7000,,1681.859,1184.094
7099.998,,1682.263,1179.457
7200,,1680.157,1174.042
