Time,Position
0,263;894
34.019,263;894
66.536,258;893
100.526,263;894
134.529,265;894
166.038,260;893
202.034,265;894
233.036,264;894
266.648,265;894
300.572,264;893
335.576,267;894
367.074,261;894
402.073,264;894
434.092,264;894
468.602,261;894
499.61,262;894
533.629,263;894
568.123,265;893
600.124,262;893
634.15,283;894
666.645,264;894
700.646,264;894
733.836,263;894
768.35,263;893
800.359,264;894
833.359,267;894
866.856,263;893
899.857,263;894
933.871,263;891
969.405,263;893
1000.406,265;893
1034.41,265;893
1067.918,265;894
1099.927,262;894
1133.94,262;893
1167.15,268;894
1200.159,264;894
1234.3,264;894
1267.571,260;894
1300.571,265;894
1333.574,264;894
1367.086,262;894
1400.08,267;894
1434.082,263;881
1467.585,264;880
1500.586,263;892
1533.589,263;894
1567.273,264;894
1600.273,263;894
1633.275,258;894
1667.792,263;894
1700.928,263;893
1733.931,263;890
1767.424,259;886
1800.434,266;885
1833.5,263;890
1868.009,264;892
1900.018,262;891
1935.026,265;890
1967.542,284;887
2000.553,263;887
2033.554,262;887
2068.05,268;886
2101.05,264;888
2134.062,263;890
2167.568,264;892
2201.56,265;893
2234.576,263;889
2268.025,261;889
2300.033,264;885
2334.049,262;886
2367.546,284;886
2400.436,263;887
2433.469,265;890
2467.702,264;888
2500.712,265;888
2534.714,263;888
2566.925,264;886
2600.843,258;886
2633.846,259;888
2667.364,263;888
2700.363,264;888
2734.368,264;886
2768.292,258;887
2800.613,264;888
2834.629,263;888
2867.133,263;886
2901.134,283;885
2934.166,262;886
2967.691,262;885
3000.699,269;887
3033.718,262;887
3067.217,264;888
3101.217,266;889
3134.228,264;887
3168.375,265;886
3200.385,261;886
3233.402,264;887
3266.895,266;886
3300.903,265;885
3333.907,264;888
3367.401,263;888
3401.41,263;886
3434.426,262;887
3467.735,256;886
3500.735,264;886
3533.738,264;887
3567.242,264;891
3600.251,262;888
3634.244,266;887
3667.305,262;895
3701.295,285;894
3734.309,264;894
3767.812,264;895
3800.803,264;895
3833.82,264;894
3868.369,264;893
3901.361,262;890
3934.376,265;880
3967.885,263;885
4001.293,263;894
4035.522,264;893
4067.026,264;893
4101.098,263;892
4134.028,264;892
4167.614,264;889
4201.542,262;892
4237.536,266;887
4268.041,262;884
4301.041,262;888
4335.052,265;893
4367.632,264;894
4401.558,264;894
4434.553,263;888
4468.093,264;889
4501.102,263;888
4534.105,263;889
4567.63,262;889
4600.63,262;887
4634.632,264;890
4667.041,265;890
4701.032,265;891
4734.035,262;889
4767.54,262;888
4801.541,265;885
4834.543,266;887
4867.672,263;889
4900.672,264;889
4934.05,262;889
4968.799,263;889
5001.263,262;888
5034.303,262;888
5067.392,264;886
5100.715,285;886
5134.735,264;891
5167.242,258;892
5201.242,262;891
5234.244,263;892
5268.76,264;893
5300.77,262;891
5334.781,263;887
5368.541,261;891
5403.706,264;877
5434.718,268;875
5467.819,265;867
5500.818,411;853
5533.846,263;878
5568.345,263;876
5601.355,262;878
5634.347,264;877
5667.851,263;873
5700.853,267;875
5734.855,263;873
5768.412,261;871
5801.469,411;850
5835.387,411;852
5867.899,411;852
5901.898,263;871
5934.911,264;871
5968.405,268;871
6001.406,263;871
6035.419,264;873
6067.916,264;874
6100.926,264;872
6134.935,261;875
6168.438,411;849
6201.629,264;873
6234.55,285;870
6268.168,262;872
6301.094,264;873
6334.112,261;874
6368.596,262;872
6400.593,266;870
6434.606,264;872
6468.099,411;848
6501.109,411;846
6535.117,411;845
6567.63,264;872
6601.622,264;873
6634.633,263;872
6668.13,263;869
6701.13,264;871
6734.132,286;872
6768.639,411;847
6801.638,262;871
6834.654,265;869
6868.117,264;864
6902.126,286;874
6935.136,264;865
6967.64,263;872
7001.671,263;866
7035.674,266;869
7069.172,262;873
7101.172,263;870
7135.191,264;875
7167.697,263;874
7201.697,264;871
7235.699,263;866
7268.205,286;871
7301.206,263;874
7335.208,261;874
7368.713,264;863
7401.722,411;844
7434.737,411;845
7467.886,411;847
7500.896,265;866
7535.9,264;866
7568.437,262;873
7601.362,263;873
7635.369,264;871
7667.876,262;870
7700.908,264;892
7733.911,266;888
7768.415,264;885
7802.413,263;872
7834.438,264;860
7868.018,264;845
7900.937,263;887
7934.941,263;892
7968.47,263;893
8001.479,283;894
8034.477,265;895
8067.997,285;896
8102.996,264;896
8135,265;897
8168.511,265;898
8201.519,264;898
8235.152,268;896
8268.668,263;896
8301.668,269;895
8335.692,264;896
8368.282,263;896
8401.281,264;896
8435.279,264;892
8468.869,259;889
8501.869,256;892
8534.879,263;895
8569.379,263;894
8601.511,264;894
8634.543,260;894
8668.037,263;894
8701.037,259;895
8735.038,261;895
8768.54,263;894
8801.541,262;893
8837.551,263;893
8869.33,258;893
8901.479,263;894
8934.494,264;894
8968.022,263;894
9001.033,262;894
9035.023,263;894
9068.543,264;894
9101.543,263;893
9135.549,262;893
9168.828,263;891
9200.828,263;889
9234.835,264;888
9267.882,259;885
9301.89,263;886
9334.892,263;895
9368.574,264;895
9401.574,262;896
9435.577,263;892
9468.095,264;894
9501.092,266;893
9535.108,264;886
9568.612,264;880
9602.744,265;883
9634.746,262;871
9668.251,263;867
9701.251,263;866
9735.254,263;884
9768.76,263;885
9801.76,264;883
9835.764,260;883
9868.278,259;893
9902.287,260;900
9935.28,262;903
9968.565,260;903
10001.566,263;902
10034.566,264;901
10068.401,261;897
10101.401,262;900
10135.403,262;899
10167.908,259;899
10201.907,263;899
10234.911,263;899
10268.428,263;898
10301.543,265;898
10334.544,262;899
10368.728,263;900
10401.734,262;896
10434.729,262;889
10469.014,263;893
10502.014,262;891
10535.014,263;888
10568.527,263;884
10603.523,264;887
10635.525,264;891
10668.041,264;891
10702.041,263;892
10735.041,263;889
10768.547,261;883
10802.551,264;883
10835.549,262;881
10869.151,261;886
10902.151,262;874
10936.153,263;887
10968.434,259;888
11002.505,262;885
11034.504,262;887
11069.017,264;883
11102.017,263;873
11135.025,263;876
11168.668,264;866
11202.668,262;881
11236.685,261;865
11269.213,264;868
11301.873,257;886
11335.873,266;883
11369.381,261;880
11402.381,264;873
11435.389,263;872
11468.9,264;883
11501.909,256;877
11535.901,263;885
11568.408,263;884
11601.421,262;881
11635.563,262;882
11668.084,261;880
11702.085,264;879
11735.077,265;872
11768.589,265;870
11802.583,263;870
11835.592,263;872
11869.105,263;876
11902.105,262;876
11935.113,261;873
11968.294,260;873
12002.286,263;872
12035.286,261;873
12068.808,262;834
12102.808,263;837
12135.808,263;870
12169.331,266;873
12202.335,262;868
12235.33,263;861
12268.867,262;869
12302.875,262;870
12336.099,261;851
12368.651,265;845
12402.07,261;840
12436.07,263;867
12468.578,263;857
12502.578,262;858
12535.59,267;858
12569.103,261;862
12602.148,263;870
12636.148,261;849
12668.68,261;884
12702.679,264;874
12735.679,263;866
12769.186,257;851
12803.186,265;866
12835.186,263;862
12868.784,262;868
12902.718,263;858
12936.71,264;859
12969.502,272;847
13001.506,271;847
13036.505,267;848
13069.015,262;868
13102.015,262;867
13136.023,265;865
13169.536,260;850
13202.526,261;867
13235.537,264;853
13269.137,261;849
13302.07,260;861
13335.069,263;848
13368.568,265;857
13401.58,263;848
13435.569,261;847
13469.181,264;857
13502.242,263;852
13535.24,266;852
13568.984,264;861
13602.268,263;851
13635.269,262;850
13669.855,264;848
13701.781,263;847
13735.779,263;849
13769.295,259;860
13802.289,264;848
13835.289,264;863
13868.583,262;851
13902.581,264;850
13937.573,263;850
13969.162,262;848
14002.089,264;847
14036.091,264;852
14069.049,263;846
14102.048,263;849
14137.039,262;854
14169.546,266;868
14202.631,266;866
14238.639,261;850
14270.165,262;855
14302.164,263;849
14337.164,263;859
14368.811,262;864
14402.803,263;864
14436.805,264;864
14468.515,265;859
14502.514,262;858
14537.515,264;851
14569.115,263;854
14603.114,262;853
14637.115,263;888
14669.531,263;894
14702.531,263;874
14735.532,264;874
14769.052,263;876
14803.168,263;877
14837.168,263;880
14868.849,265;873
14902.77,263;848
14936.773,263;849
14969.298,266;853
15002.309,266;867
15036.578,264;874
15068.973,264;872
15101.971,263;871
15135.97,263;868
15168.922,259;868
15202.176,264;849
15235.473,263;851
15268.993,263;852
15303.002,264;856
15337.103,264;865
15369.779,263;868
15402.698,262;865
15436.699,263;861
15468.891,263;855
15502.891,263;852
15536.959,262;862
15569.635,264;855
15603.912,411;829
15636.904,264;855
15669.508,262;853
15703.53,265;851
15735.53,261;850
15769.229,258;851
15802.238,263;889
15836.229,260;888
15869.739,263;869
15903.748,262;872
15936.739,264;876
15970.43,264;856
16003.428,263;850
16036.428,262;846
16070.019,262;860
16103.028,260;855
16137.02,265;852
16169.718,263;877
16203.71,263;868
16237.914,256;854
16269.413,260;855
16302.422,264;852
16336.413,262;850
16368.929,260;863
16402.931,263;852
16435.989,262;854
16469.571,264;854
16502.5,263;849
16538.493,264;867
16570.008,264;860
16603.007,262;850
16637.015,263;853
16669.547,264;850
