Time,Position
0,477;162
33.214,446;171
67.222,438;170
100.759,465;167
135.759,466;171
169.757,467;177
200.269,470;179
236.167,471;177
268.16,440;175
300.667,441;174
333.669,444;173
366.668,447;172
400.852,449;171
434.069,452;176
471.075,452;179
500.038,450;181
533.478,449;182
566.478,451;184
600.557,452;184
633.081,454;185
667.103,456;187
700.619,452;187
733.629,452;187
767.629,450;187
800.895,450;185
833.904,449;184
867.903,452;181
901.932,451;181
933.94,451;178
966.941,453;177
1000.964,452;176
1032.973,452;177
1067.965,451;178
1102.48,450;178
1133.489,450;178
1167.489,449;177
1201.016,446;177
1234.017,445;177
1269.017,445;178
1300.363,445;180
1333.649,445;180
1368.648,444;181
1401.173,441;179
1433.173,468;170
1467.181,468;171
1501.714,466;173
1533.721,468;173
1567.721,467;173
1601.345,465;174
1634.266,464;174
1667.258,463;174
1701.459,462;172
1734.468,461;170
1768.46,463;171
1800.998,463;172
1833.997,462;174
1869.004,462;171
1901.531,462;175
1933.538,464;175
1966.545,464;175
2001.039,462;175
2034.038,462;174
2068.046,462;174
2100.563,462;174
2133.572,462;174
2167.573,463;174
2201.181,463;174
2234.101,463;175
2269.101,462;174
2300.611,427;174
2333.62,446;174
2370.621,457;173
2401.162,459;175
2434.171,461;174
2468.163,459;175
2501.694,460;174
2534.703,459;175
2569.702,424;175
2601.224,459;175
2634.225,460;175
2668.218,460;175
2702.754,458;175
2733.763,458;175
2767.719,459;170
2801.229,459;172
2834.229,459;175
2868.238,424;175
2900.903,460;175
2933.834,460;176
2967.824,460;175
3001.334,462;176
3033.342,461;176
3069.343,455;176
3101.869,433;175
3133.879,438;175
3168.877,446;176
3202.422,420;176
3234.427,412;175
3269.421,408;175
3302.023,403;175
3334.033,397;176
3370.032,391;176
3400.687,383;177
3434.696,378;179
3468.695,384;180
3501.275,411;181
3534.275,393;192
3568.283,395;195
3600.806,395;198
3633.803,394;198
3668.803,392;199
3701.319,392;199
3734.317,393;199
3768.325,392;199
3801.492,392;199
3834.5,391;198
3869.5,392;197
3901.662,392;198
3934.661,391;199
3967.673,391;198
4001.26,392;198
4034.266,393;198
4068.266,391;198
4102.766,392;198
4134.244,392;199
4168.243,392;199
4201.78,391;199
4234.788,391;199
4268.781,392;198
4301.369,391;199
4334.437,392;199
4368.435,391;199
4400.936,391;199
4433.936,392;198
4469.944,392;198
4501.358,392;199
4534.502,391;199
4569.494,392;198
4601.005,394;200
4634.013,394;199
4670.006,392;196
4701.546,396;196
4734.554,399;196
4769.548,404;196
4802.116,434;176
4835.082,440;174
4870.074,444;179
4901.588,445;184
4934.589,445;189
4967.598,439;199
5002.028,437;217
5034.034,437;212
5069.035,435;218
5101.509,427;222
5134.586,419;223
5168.586,414;221
5201.095,410;221
5235.095,406;219
5270.282,398;220
5302.643,391;219
5335.643,393;215
5369.644,394;213
5402.225,395;213
5435.19,394;214
5469.182,395;214
5501.542,394;213
5535.55,393;213
5568.55,392;211
5601.674,391;211
5634.675,391;208
5669.683,390;206
5701.864,391;201
5734.864,395;196
5767.864,411;194
5801.449,399;191
5834.531,399;189
5869.523,400;187
5901.06,403;185
5935.048,405;185
5968.057,409;185
6001.109,410;185
6035.109,412;185
6068.109,415;184
6102.619,442;186
6134.631,447;190
6169.619,454;192
6201.143,462;187
6235.142,468;183
6269.142,473;180
6301.729,478;179
6334.648,484;176
6368.647,490;171
6401.174,495;166
6434.183,499;164
6469.23,505;163
6502.734,506;164
6534.734,506;166
6568.742,507;166
6601.245,507;167
6634.252,507;167
6669.246,506;167
6701.754,506;168
6734.754,506;168
6769.761,507;168
6801.842,507;168
6834.774,506;168
6868.765,505;168
6901.303,506;167
6935.311,506;167
6967.834,509;167
7001.474,516;164
7035.387,520;156
7068.396,523;150
7101.893,522;146
7136.895,517;142
7168.892,513;140
7201.403,511;139
7235.412,510;137
7267.411,510;135
7300.932,511;134
7335.931,512;129
7367.931,511;127
7401.027,508;124
7435.057,506;124
7468.058,506;124
7501.586,507;125
7536.587,507;130
7568.596,507;133
7601.113,506;138
7635.112,506;140
7668.122,506;141
7701.328,507;141
7735.338,509;143
7768.336,510;145
7801.835,512;146
7835.788,512;146
7868.778,512;146
7902.316,511;145
7935.317,512;145
7968.325,511;145
8002.857,511;145
8034.867,511;144
8067.856,508;144
8101.372,506;141
8137.365,505;140
8168.373,504;139
8202.251,502;137
8234.764,502;135
8267.753,502;133
8301.35,501;133
8335.261,499;132
8368.265,494;131
8401.786,488;128
8434.786,482;124
8468.786,480;117
8501.993,475;113
8535.022,474;111
8570.024,473;110
8601.522,472;110
8635.529,470;110
8668.532,471;109
8703.045,471;109
8735.045,474;109
8769.044,473;115
8801.568,473;116
8835.568,473;117
8870.705,472;118
8902.214,472;121
8936.214,473;124
8968.222,472;125
9002.396,473;128
9035.404,473;130
9069.404,476;133
9101.922,464;127
9134.921,463;124
9171.925,462;120
9202.47,465;117
9234.468,465;120
9269.478,466;120
9301.994,466;122
9335.007,466;123
9369.996,466;125
9401.505,468;126
9435.546,469;127
9470.505,470;127
9502.726,468;128
9534.734,466;132
9570.5,467;135
9602.01,468;137
9636.018,469;135
9668.019,468;134
9702.519,467;135
9736.528,467;137
9771.528,469;134
9802.118,466;131
9835.127,466;152
9869.119,465;151
9901.721,466;149
9935.627,462;146
9968.627,456;146
10002.153,451;141
10035.153,438;127
10068.161,437;127
10102.41,432;115
10135.418,427;100
10169.419,424;92
10201.938,421;86
10234.938,417;82
10268.938,409;83
10302.459,405;84
10335.733,401;81
10369.671,398;78
10402.211,397;76
10435.29,399;76
10469.219,395;69
10502.102,392;64
10534.993,387;59
10569.993,385;59
10601.747,383;46
10635.717,373;40
10668.713,367;38
10701.73,366;38
10735.11,369;39
10769.282,370;41
10802.69,374;45
10835.861,376;46
10868.865,374;46
10901.508,373;45
10935.053,373;46
10969.057,377;47
11003.601,379;49
11035.806,381;49
11068.806,383;54
11102.328,387;62
11135.336,392;69
11171.328,394;73
11203.532,395;76
11235.541,395;80
11269.54,396;83
11301.639,393;86
11336.641,392;88
11370.642,397;89
11404.148,364;89
11436.148,365;92
11469.156,366;98
11502.656,368;102
11535.665,407;106
11569.665,411;107
11602.791,387;108
11636.795,393;114
11669.8,389;116
11702.346,413;117
11735.346,405;124
11769.346,399;125
11801.946,400;121
11834.854,399;112
11869.863,386;101
11902.388,381;93
11935.398,384;91
11968.391,391;96
12002.898,392;86
12035.898,392;85
12068.897,404;89
12102.417,408;78
12135.418,417;87
12170.422,416;72
12202.952,414;80
12236.961,408;88
12270.962,403;96
12302.959,401;107
12335.968,400;140
12369.96,396;115
12403.489,385;149
12435.497,386;150
12469.489,382;120
12502.879,378;120
12535.888,376;120
12570.89,376;119
12602.648,380;142
12635.657,376;118
12670.657,376;118
12703.175,372;119
12737.173,371;119
12769.184,373;120
12802.68,374;121
12835.684,376;146
12870.806,378;150
12902.389,378;149
12936.32,377;123
12969.32,376;121
13002.845,376;150
13035.845,377;155
13070.846,376;132
13102.432,372;156
13136.44,368;158
13169.441,366;159
13202.968,372;159
13235.977,372;159
13270.982,373;162
13302.49,373;162
