Time,Position
0,813;597
33.88,813;597
67.287,814;598
100.178,815;598
133.418,815;599
167.828,816;597
199.816,816;596
234.71,816;595
267.117,817;592
301.013,817;589
334.897,818;585
369.292,820;584
400.449,822;581
434.341,823;581
466.783,826;578
500.758,828;577
533.662,830;576
568.093,831;574
599.985,832;575
634.884,833;574
668.198,833;572
701.079,833;573
733.997,833;571
767.127,833;571
801.013,833;570
833.905,833;570
866.303,833;569
900.189,833;569
933.764,833;568
967.033,833;568
999.939,833;570
1035.318,833;570
1067.734,833;569
1099.921,833;568
1133.735,833;569
1167.162,833;569
1200.222,833;570
1234.263,833;569
1268.676,832;573
1300.647,832;567
1333.541,832;566
1369.499,832;571
1399.883,830;569
1434.784,833;566
1467.761,833;566
1500.649,832;564
1533.717,831;563
1569.661,831;560
1600.631,835;558
1634.459,836;555
1667.863,836;552
1700.761,836;550
1733.651,837;548
1768.045,837;547
1799.939,837;546
1833.833,837;535
1867.275,837;545
1900.165,837;545
1933.072,838;544
1968.479,838;543
2000.382,838;543
2035.46,839;542
2067.851,839;542
2100.74,839;542
2134.645,839;541
2167.699,839;540
2200.588,839;540
2233.508,839;538
2266.91,839;537
2300.807,839;535
2334.662,840;530
2368.711,839;532
2400.882,840;531
2433.783,840;530
2468.218,841;529
2500.106,841;508
2533.986,843;505
2569.411,844;504
2600.544,845;503
2634.41,847;497
2667.817,847;502
2700.698,847;490
2733.605,847;487
2768.025,846;485
2799.918,847;481
2833.822,847;479
2867.234,847;478
2899.907,847;477
2933.805,847;471
2968.222,847;467
3000.122,847;465
3034.003,847;465
3068.431,847;463
3100.385,847;462
3134.632,847;460
3167.071,847;457
3200.955,847;455
3236.854,847;452
3267.629,847;449
3300.519,848;448
3334.422,849;455
3368.84,849;454
3400.731,851;448
3435.631,851;446
3468.163,851;443
3500.079,850;439
3534.979,850;435
3569.4,851;436
3601.291,850;430
3633.747,850;414
3667.554,849;416
3700.526,849;417
3734.333,849;414
3767.978,849;412
3801.398,848;411
3834.295,847;408
3867.257,845;434
3901.144,843;433
3934.594,841;431
3967.651,839;431
4000.551,839;426
4035.708,838;422
4068.405,838;422
4100.379,839;424
4134.186,839;424
4169.238,839;424
4200.223,840;422
4235.115,840;422
4268.168,840;422
4301.059,840;421
4334.949,840;419
4371.363,841;421
4400.344,842;421
4434.365,843;375
4468.347,845;373
4500.24,846;369
4535.209,847;364
4567.612,847;358
4600.588,848;349
4634.402,850;339
4668.803,850;325
4700.704,850;316
4734.598,851;309
4769.029,851;302
4800.912,851;297
4833.803,851;290
4867.373,850;283
4901.073,850;274
4934.343,850;265
4967.555,850;257
5001.187,851;251
5034.633,850;247
5068.044,850;246
5100.927,851;246
5133.847,852;245
5168.24,852;248
5201.138,852;245
5235.03,852;249
5267.515,852;244
5300.393,852;249
5335.296,852;244
5367.713,852;245
5400.604,852;252
5434.522,852;249
5467.928,852;248
5501.012,852;248
5535.02,851;248
5568.423,850;249
5601.128,848;245
5635.019,847;229
5669.47,844;227
5701.361,841;240
5734.148,838;220
5767.998,835;235
5800.896,831;225
5833.786,828;224
5867.485,825;223
5901.371,823;220
5934.3,820;220
5968.697,817;213
6001.587,813;195
6034.489,810;191
6068.905,807;186
6100.879,803;183
6134.711,795;182
6169.108,784;182
6200.991,778;181
6236.897,772;182
6268.307,771;183
6301.198,765;183
6335.101,763;184
6369.526,760;184
6401.419,758;184
6434.309,754;185
6467.709,753;187
6500.608,749;189
6535.509,745;191
6567.908,740;194
6600.789,734;197
6634.676,730;199
6669.091,726;200
6700.983,725;202
6733.874,724;204
6768.294,725;208
6801.258,725;214
6834.065,722;219
6867.95,718;225
6901.194,716;232
6934.093,701;237
6968.296,700;243
7001.275,712;247
7035.563,710;257
7070.063,708;263
7100.966,705;271
7134.771,691;275
