Time,Events,CH1-410,CH1-470
0,,786.852,829.762
100,,787.57,824.503
199.998,,788.278,815.377
299.994,,787.066,808.662
399.999,,786.762,805.088
499.995,,790.193,802.881
600,,794.764,801.511
699.999,,793.286,802.085
799.994,,790.505,803.44
899.996,,788.615,808.656
999.995,,790.668,810.437
1100,,789.06,804.25
1199.999,,786.656,798.268
1299.996,,786.624,791.148
1399.995,,786.858,786.683
1499.995,,788.229,779.899
1599.995,,787.906,777.019
1699.995,,786.031,776.74
1799.998,,786.033,773.412
1899.994,,786.01,772.899
2000,,787.459,777.549
2100.001,,786.599,777.707
2199.998,,788.573,778.994
2299.999,,793.899,778.014
2399.998,,790.316,782.004
2499.997,,791.201,791.597
2599.998,,789.904,794.985
2699.996,,788.855,797.793
2799.995,,792.01,802.469
2899.998,,792.71,799.766
2999.994,,789.327,804.329
3099.996,,793.517,811.33
3199.998,,797.039,818.775
3299.995,,797.693,825.785
3399.995,,797.593,832.544
3499.995,,797.929,825.586
3599.997,,796.147,820.316
3699.995,,797.689,815.417
3799.999,,798.937,812.026
3899.994,,798.37,807.322
3999.999,,798.246,799.999
4099.997,,798.474,796.706
4199.999,,797.882,793.14
4299.995,,796.396,789.085
4399.996,,797.15,786.003
4499.997,,796.161,784.878
4599.994,,796.163,787.302
4700,,797.544,788.449
4799.998,,797.715,800.602
4899.997,,797.23,801.283
4999.995,,799.902,814.563
5100,,801.769,815.265
5200,,799.86,814.611
5299.997,,800.733,813.913
5399.997,,800.072,813.154
5499.994,,797.404,815.028
5599.994,,797.048,822.314
5699.997,,796.558,831.256
5799.995,,796.334,825.743
5900,,792.589,822.243
5999.994,,794.197,815.241
6099.996,,790.131,808.037
6199.999,,788.994,800.149
6299.996,,788.74,793.917
6399.995,,787.787,789.306
6499.996,,787.399,785.132
6599.995,,787.271,788.698
6699.999,,785.47,788.976
6799.997,,786.754,784.93
6899.995,,786.26,779.865
6999.998,,784.395,774.358
7100,,783.722,770.314
7199.996,,783.536,768.31
7299.999,,788.931,764.626
7399.997,,789.225,765.981
7499.997,,787.496,767.384
7600,,785.047,770.428
7699.996,,786.897,774.799
7799.998,,785.218,777.806
7899.995,,783.337,774.204
7999.997,,782.73,772.877
8099.997,,781.426,771.436
8199.994,,783.539,769.23
8299.997,,785.65,764.923
8399.997,,785.204,764.465
8500,,786.449,765.96
8599.994,,782.9,761.945
8699.998,,781.716,763.55
8800,,783.331,768.377
8900,,784.439,767.438
9000,,784.688,766.83
9099.994,,784.762,769.692
9199.998,,782.713,773.573
9299.997,,793.605,776.602
9400,,793.551,786.908
9500,,796.601,793.211
9599.994,,794.63,804.582
9699.996,,795.422,804.104
9800,,791.812,805.8
9900,,797.711,801.209
9999.996,,797.524,799.005
10099.999,,792.451,827.913
10199.998,,791.706,858.24
10299.997,,793.245,853.843
10399.995,,790.22,860.387
10499.994,,791.25,854.661
10599.999,,792.982,846.484
10699.995,,793.505,835.104
10799.998,,793.183,825.625
10900.001,,792.679,818.864
10999.999,,792.806,818.133
11099.999,,794.011,810.991
11199.999,,793.673,805.073
11299.999,,791.989,802.711
11399.996,,793.097,810.019
11499.996,,794.372,818.118
11599.999,,793.429,812.766
11700,,793.002,807.774
11800,,792.551,804.991
11899.999,,793.032,801.939
11999.997,,790.25,801.276
12099.997,,792.567,798.35
12200,,792.089,798.956
12299.999,,791.639,811.324
12399.995,,791.528,814.631
12499.997,,791.001,810.9
12599.998,,790.943,806.18
12699.995,,790.976,802.216
12799.998,,791.777,796.821
12899.997,,790.168,791.805
12999.996,,791.107,792.514
13099.998,,792.379,796.343
13199.994,,795.815,798.281
13299.995,,793.869,796.155
13399.995,,799.457,796.267
13500,,794.831,794.534
13599.996,,798.454,787.802
13699.998,,791.802,781.299
13799.997,,786.186,781.165
13899.997,,788.76,778.845
13999.998,,787.287,773.273
14100,,786.939,769.732
14199.999,,788.786,768.475
14299.997,,790.778,767.97
14400,,789.899,766.79
14499.998,,789.196,764.594
14599.994,,789.776,760.913
