Time,Events,CH1-410,CH1-470
0,,1605.957,1687.243
99.999,,1599.766,1683.889
200.002,,1599.76,1681.277
299.999,,1597.966,1680.826
399.999,,1593.821,1678.106
500.001,,1592.11,1677.196
600,,1593.711,1680.403
700.003,,1592.904,1681.775
800.004,,1592.462,1680.76
900,,1592.512,1679.146
1000.003,,1589.635,1675.904
1100,,1586.032,1672.631
1200.003,,1584.265,1669.875
1300.002,,1584.786,1668.527
1400.001,,1583.599,1668.728
1500.003,,1582.655,1666.66
1600.003,,1581.301,1665.24
1700.002,,1580.455,1665.06
1800.003,,1579.798,1665.284
1900.005,,1582.358,1664.154
2000.005,,1581.154,1663.743
2100.005,,1578.567,1662.421
2200.002,,1577.867,1660.281
2300.004,,1578.386,1659.278
2400.003,,1578.506,1659.614
2500.002,,1577.695,1659.286
2600.001,,1577.213,1659.726
2700.002,,1576.848,1662.314
2800.001,,1576.578,1661.602
2900.005,,1575.883,1661.495
3000.005,,1576.624,1663.143
3100.002,,1578.15,1664.087
3199.999,,1579.182,1663.941
3300,,1579.557,1664.396
3400.005,,1581.003,1664.664
3500,,1579.972,1663.667
3600.005,,1579.922,1662.992
3700.002,,1579.711,1661.356
3800,,1581.014,1660.794
3900.002,,1579.566,1660.638
4000.005,,1579.367,1660.811
4100.002,,1578.297,1660.572
4200.001,,1578.358,1659.633
4300.005,,1577.07,1659.617
4400.002,,1576.039,1659.549
4500.001,,1577.074,1660.461
4600.001,,1578.651,1661.545
4700.001,,1577.423,1661.719
4800.002,,1577.893,1661.408
4900.001,,1577.457,1660.445
5000,,1577.982,1661.428
5100.005,,1575.746,1660.41
5200.002,,1575.276,1659.71
5300.001,,1576.205,1659.931
5400.003,,1575.031,1658.231
5500,,1574.925,1658.123
5600.003,,1573.407,1659.027
5700.004,,1573.632,1657.606
5800.003,,1574.983,1659.359
5899.999,,1573.87,1658.266
6000,,1574.931,1657.517
6100.004,,1574.442,1658.305
6200.002,,1574.441,1659.157
6300.003,,1574.089,1657.943
6400.002,,1573.07,1656.246
6500.002,,1572.864,1655.182
6600,,1572.139,1653.998
6700.004,,1574.17,1655.148
6800.001,,1574.032,1653.508
6900.002,,1573.666,1654.67
7000.005,,1575.352,1656.234
7100.003,,1576.626,1655.451
7200,,1575.495,1655.56
7300.002,,1575.132,1655.729
7400.003,,1576.245,1655.754
7500.006,,1577.776,1657.309
7600,,1576.227,1658.457
7699.999,,1574.401,1659.138
7800.003,,1573.98,1657.906
7899.999,,1573.494,1656.327
8000.003,,1572.879,1656.523
8100.003,,1573.921,1656.228
8200.002,,1574.845,1656.178
8300.006,,1576.078,1656.268
8400.002,,1577.836,1656.277
8500.002,,1578.611,1657.052
8600.001,,1579.035,1657.804
8700.005,,1577.109,1657.743
8800.005,,1575.218,1659.578
8900.005,,1576.975,1659.716
9000,,1575.259,1659.42
9100.003,,1575.258,1658.374
9200,,1573.102,1655.65
9300.001,,1571.288,1654.359
9400.006,,1572.91,1654.856
9500.001,,1571.345,1652.743
9600,,1571.009,1654.262
9700.005,,1571.34,1657.089
9800.002,,1570.909,1657.552
9900.003,,1571.718,1656.741
9999.999,,1572.479,1657.076
10100.005,,1572.608,1657.319
10199.999,,1573.94,1658.061
10300.003,,1574.563,1656.95
10400.004,,1573.185,1656.68
10500.003,,1572.128,1654.394
10600.005,,1570.63,1654.135
10699.999,,1570.764,1656.48
10799.999,,1570.198,1663.301
10900,,1570.274,1666.161
11000,,1571.709,1668.825
11100.004,,1571.154,1667.119
11200.002,,1569.435,1666.623
11300.005,,1571.76,1665.911
11400.004,,1567.486,1663.713
11500.002,,1567.287,1663.123
11600,,1568.075,1660.289
11699.999,,1570.05,1660.562
11800,,1571.853,1660.651
11900,,1571.979,1659.036
12000.002,,1572.729,1658.915
12100,,1573.99,1660.548
12200.003,,1572.103,1659.023
12300.006,,1569.546,1658.287
12400.005,,1568.716,1657.166
12499.999,,1568.947,1657.877
12600,,1568.46,1657.82
12699.999,,1568.171,1658.433
12799.999,,1569.599,1659.842
12900.003,,1567.401,1663.791
13000.004,,1569.846,1664.178
13100.002,,1572.381,1662.753
13200.003,,1572.02,1660.705
13300.005,,1571.72,1660.765
13400.005,,1571.877,1658.566
13500.004,,1573.011,1658.991
13600.005,,1571.887,1659.883
13700.001,,1570.144,1658.861
13800.002,,1568.885,1658.139
13900.003,,1569.913,1657.765
14000.003,,1570.684,1658.029
14100.004,,1569.961,1656.233
14199.999,,1571.598,1655.407
14300.003,,1570.055,1653.934
14400.002,,1570.313,1653.79
14500.004,,1570.86,1654.242
14600.002,,1572.186,1656.36
14700.005,,1572.948,1654.134
14800.004,,1567.63,1651.732
14900.004,,1568.757,1651.357
14999.999,,1567.702,1652.453
15099.999,,1568.134,1651.517
15200.004,,1567.882,1650.598
15300.002,,1567.378,1651.421
15400.001,,1566.878,1649.633
15500.005,,1565.573,1648.75
15600.005,,1566.301,1650.546
15700.003,,1568.985,1651.374
15800.001,,1568.235,1650.965
15900.004,,1566.939,1643.595
15999.994,,1563.334,1648.999
16099.987,,1562.894,1651.228
16199.973,,1563.391,1648.151
16299.967,,1565.31,1652.428
16399.96,,1566.007,1654.675
16499.946,,1565.424,1651.919
16599.94,,1565.938,1654.589
16699.932,,1567.135,1655.55
16799.923,,1566.606,1656.29
16899.913,,1567.287,1657.301
16999.9,,1568.641,1657.361
17099.894,,1567.69,1655.875
17199.879,,1568.618,1656.159
17299.871,,1569.026,1655.298
17399.858,,1570.949,1657.629
17499.854,,1571.613,1658.51
17599.839,,1570.869,1659.423
17699.833,,1570.877,1658.462
17799.822,,1569.873,1658.983
17899.805,,1568.157,1658.616
17999.799,,1567.783,1658.529
18099.785,,1568.723,1660.381
18199.773,,1568.573,1659.279
18299.764,,1569.088,1660.114
18399.754,,1569.552,1660.927
18499.741,,1569.581,1660.082
18599.732,,1569.031,1659.452
18699.717,,1568.329,1660.048
18799.706,,1571.853,1661.134
18899.694,,1573.301,1660.826
18999.686,,1572.421,1658.475
19099.67,,1572.311,1659.088
19199.661,,1571.966,1659.876
19299.646,,1571.996,1659.461
19399.632,,1572.709,1661.163
19499.625,,1573.505,1663.951
19599.613,,1574.545,1665.571
19699.597,,1571.119,1669.214
19799.587,,1573.729,1671.88
19899.571,,1574.311,1674.036
19999.559,,1574.377,1677.702
20099.545,,1571.458,1676.059
20199.529,,1572.314,1673.717
20299.518,,1572.67,1670.074
