Time,Position
0,841;248
32.959,841;248
65.861,841;248
99.274,841;248
133.168,841;248
168.052,841;248
200.485,841;248
233.454,841;248
266.429,841;248
300.853,841;248
333.731,841;248
367.627,841;248
400.016,841;248
432.909,841;248
466.61,841;248
500.005,841;248
533.895,841;248
567.782,841;248
599.677,841;248
633.954,841;248
667.145,841;248
699.545,841;248
733.435,841;248
767.322,841;248
799.852,841;248
833.746,841;248
867.634,841;248
900.031,841;248
933.653,841;248
966.542,841;248
999.946,841;248
1032.84,841;248
1067.723,841;248
1100.14,841;249
1133.034,841;249
1167.917,841;249
1198.837,841;248
1234.242,841;248
1266.135,841;248
1300.45,841;248
1333.342,841;248
1368.228,841;252
1399.134,841;254
1433.532,840;257
1466.829,840;260
1499.72,839;262
1534.141,839;263
1569.023,840;264
1599.913,840;262
1633.315,839;260
1668.199,839;258
1700.084,840;256
1732.859,840;255
1767.243,840;255
1800.213,840;252
1833.64,841;251
1868.516,840;252
1899.413,839;252
1933.986,839;252
1968.378,839;252
2000.263,839;252
2033.764,839;252
2068.654,839;252
2099.545,839;252
2133.441,840;253
2167.507,839;252
2199.987,840;252
2233.437,840;252
2267.311,840;252
2300.201,840;252
2334.103,839;251
2368.288,840;251
2399.922,840;251
2433.044,840;252
2467.928,839;250
2499.822,837;251
2534.203,835;250
2569.078,832;248
2600.362,828;245
2634.321,824;242
2668.209,826;239
2700.111,818;235
2734.331,816;233
2767.211,815;232
2800.116,814;232
2834.05,813;232
2868.938,813;232
2899.837,813;232
2934.233,814;232
2969.115,814;232
3000.103,814;232
3034.626,814;232
3068.505,814;232
3099.657,814;232
3134.052,814;232
3168.937,814;232
3199.926,814;232
3234.329,812;231
3267.225,810;229
3300.126,806;226
3333.538,803;228
3369.413,811;231
3400.39,800;232
3434.875,797;233
3466.893,794;233
3499.984,792;235
3533.398,788;238
3568.275,786;239
3600.57,783;240
3633.968,781;239
3667.864,779;240
3699.786,778;239
3734.273,777;238
3767.154,776;237
3800.046,775;238
3833.465,774;238
3868.341,772;239
3900.238,772;238
3934.651,772;239
3967.534,772;238
4000.433,772;239
4033.823,772;239
4068.708,773;240
4100.601,773;241
4134.295,772;241
4168.211,773;243
4200.097,771;246
4233.435,769;249
4267.314,765;251
4300.206,761;253
4333.416,755;256
4368.291,755;262
4400.271,752;267
4434.682,740;274
4467.564,733;283
4500.531,727;289
4535.436,726;292
4568.33,725;294
4600.241,725;294
4633.651,725;294
4667.53,725;294
4700.513,726;294
4733.941,726;294
4767.787,726;294
4800.779,726;294
4834.181,727;294
4869.065,726;295
4899.962,726;295
4934.556,726;295
4967.438,726;295
5000.498,726;298
5033.934,727;300
5068.411,729;301
5100.305,730;300
5135.725,729;302
5167.626,726;307
5200.604,724;310
5234.583,727;312
5266.64,729;312
5300.705,730;315
5333.884,731;318
5367.882,731;322
5400.872,730;328
5434.27,729;334
5467.16,728;338
5500.183,725;338
5534.193,722;342
5569.086,720;351
5599.976,718;358
5634.395,715;371
5668.281,715;381
5700.167,714;392
5734.569,715;396
5767.451,717;405
5800.357,719;420
5833.789,717;426
5868.665,715;433
5900.539,714;436
5934.071,712;441
5967.281,711;451
6001.072,711;459
6033.563,711;468
6067.961,713;481
6100.728,715;488
