Time,Position
0,772;561
33.117,773;561
67.004,771;561
99.905,771;561
133.083,773;561
167.967,771;561
200.204,772;561
233.024,771;561
267.898,771;561
301.786,771;560
333.325,772;561
367.213,772;561
400.102,771;561
433.514,771;561
467.412,772;561
500.291,772;561
533.726,772;561
568.602,772;560
601.484,772;561
633.035,772;561
666.921,772;561
699.81,772;561
733.228,772;561
767.246,772;561
800.127,772;561
833.144,772;561
868.027,772;561
899.921,772;561
933.178,771;560
967.056,772;561
999.946,772;560
1035.371,772;561
1067.251,771;561
1100.224,771;561
1134.78,772;561
1167.669,772;561
1200.568,772;561
1233.42,771;560
1267.009,772;561
1300.911,772;560
1333.876,772;561
1368.76,772;561
1399.647,772;561
1434.07,772;561
1467.948,772;561
1499.841,772;561
1533.289,772;560
1567.181,772;561
1601.059,771;561
1633.38,772;561
1668.256,772;561
1700.149,772;561
1733.546,772;561
1767.369,771;561
1799.771,772;561
1833.886,772;561
1868.57,772;561
1900.455,772;560
1933.249,772;561
1967.255,772;561
2000.699,771;560
2034.107,773;561
2067.987,772;561
2101.872,772;561
2133.376,772;561
2168.282,772;561
2200.166,772;561
2233.684,773;561
2268.276,774;562
2300.16,775;561
2333.219,776;564
2367.772,778;565
2400.781,780;566
2433.854,780;565
2467.04,780;566
2500.925,780;566
2533.914,781;566
2568.8,782;566
2600.691,781;567
2634.103,780;568
2668.357,780;570
2700.762,778;572
2734.198,777;574
2769.075,779;575
2799.968,780;576
2834.501,778;578
2869.662,781;579
2900.557,781;580
2933.971,780;581
2966.846,780;581
3000.732,781;581
3036.149,781;581
3068.035,782;581
3100.924,781;582
3133.35,781;582
3168.233,780;584
3200.246,778;584
3233.66,777;583
3267.554,777;583
3300.436,776;584
3333.845,776;583
3368.728,776;583
3400.612,776;583
3434.243,776;583
3471.266,776;583
3500.166,777;583
3535.588,776;583
3569.483,776;583
3600.37,777;583
3634.253,777;583
3668.681,776;583
3701.569,777;583
3733.986,777;583
3766.884,777;583
3801.879,777;583
3834.318,777;582
3867.208,777;583
3900.089,777;583
3934.55,777;583
3967.438,777;583
4000.329,777;582
4035.02,777;582
4069.386,777;582
4100.279,777;583
4133.846,777;583
4168.769,777;582
4200.661,777;582
4234.088,777;583
4268.966,777;582
4301.847,777;582
4334.508,777;582
4368.395,777;582
4401.276,777;583
4433.687,777;582
4468.57,777;582
4500.455,777;582
4533.89,776;582
4568.766,777;583
4601.744,776;583
4634.176,775;583
4668.062,774;583
4700.994,772;582
4734.366,772;583
4769.25,771;583
4801.134,770;584
4833.574,770;582
4868.457,768;582
4900.351,768;581
4933.776,768;580
4967.658,768;579
5000.856,768;578
5033.918,769;577
5068.441,768;576
5101.882,766;576
5134.295,762;575
5168.172,759;574
5201.062,757;572
5233.471,755;570
5268.37,752;568
5300.255,750;567
5333.72,748;564
5368.609,747;562
5400.998,747;558
5433.911,746;554
5468.799,746;550
5500.752,746;548
5535.172,746;545
5568.158,745;543
5601.047,744;540
5634.468,745;538
5668.367,745;539
5701.438,745;540
5733.347,744;541
5767.741,742;541
5800.631,741;539
5833.76,739;539
5870.168,738;539
5901.055,738;537
5933.958,738;536
5967.487,738;534
6001.373,737;533
6034.288,736;532
6068.671,736;532
6100.564,736;532
6134.555,736;532
6167.483,736;532
6201.309,736;532
6234.488,736;532
6268.43,736;532
6301.435,736;532
6334.413,736;532
6369.452,736;532
6401.336,736;532
6435.252,736;532
6468.675,736;532
6500.561,736;532
6534.473,736;532
6568.86,736;532
6601.748,736;532
6634.752,735;532
6669.167,735;532
6701.137,736;532
6734.666,736;532
6769.632,736;532
6801.523,736;532
6834.438,736;532
6867.851,736;532
6901.738,736;532
6934.638,736;532
6968.058,736;532
7001.023,736;532
7033.858,735;532
7069.263,735;531
7101.147,736;531
7134.048,736;531
7169.474,735;531
7201.367,735;530
7234.261,735;529
7268.665,734;528
7301.554,734;527
7334.789,733;524
7368.217,732;522
7401.137,731;526
7435.012,731;525
7469.953,730;522
7500.852,729;516
7534.739,728;508
7568.159,727;505
7601.125,727;515
7633.942,725;511
7669.36,726;495
7701.245,727;498
7734.051,726;498
7767.823,727;493
7802.075,726;487
7834.187,713;482
7868.444,713;479
7901.418,712;477
7934.24,712;464
7967.838,712;462
8001.49,724;468
8034.115,713;456
8068.124,724;450
8101.823,712;441
8134.522,712;439
8168.556,711;436
8201.767,711;429
8234.712,711;419
8268.861,712;406
8301.602,713;402
8334.503,713;391
8369.905,711;387
8401.789,711;381
8434.69,722;373
8469.088,722;373
8500.972,722;359
8534.885,721;352
8569.28,721;348
8601.165,711;343
8635.054,710;350
8668.576,710;344
8701.465,710;339
8734.366,710;334
8768.772,710;328
8801.663,710;323
8834.567,710;319
8868.523,711;311
8901.433,714;304
8934.35,715;301
8967.75,715;299
9001.684,715;297
9035.533,715;297
9070.921,715;295
9102.813,714;294
9134.715,714;293
9168.287,714;292
9201.176,713;289
9234.691,713;286
9269.64,714;282
9302.528,714;277
9334.655,714;274
9369.047,714;271
9401.943,715;269
9436.832,715;267
9469.23,715;265
9502.357,715;263
9535.529,716;261
9568.919,716;259
9601.808,715;256
9634.787,715;240
9669.181,715;253
9701.065,715;251
9734.953,715;251
9768.359,715;251
9802.237,714;250
9835.152,714;249
9868.553,714;249
9902.439,714;249
9935.339,715;248
9968.75,715;245
10001.722,715;242
10036.534,715;240
10067.958,715;237
10101.416,716;235
10134.362,725;233
10169.331,726;231
10201.223,717;230
10234.258,716;227
10269.246,715;223
10302.127,716;221
10335.042,717;221
10368.582,718;220
10401.48,729;220
10434.386,731;218
10468.802,733;218
10501.684,734;216
10534.6,734;215
10569.011,733;215
10601.9,733;215
10634.841,734;215
10670.233,747;216
10702.118,735;214
