Time,Position
0,274;751
33,273;724
66,274;700
98.999,277;681
133,278;666
166,277;655
199.999,275;646
233,271;635
266.001,267;622
299,267;609
333,267;593
366,264;572
399.163,262;551
433.248,262;530
466.166,265;512
499.166,265;498
533.166,265;483
566.266,262;469
599.166,259;457
633.167,259;446
666.184,264;428
699.166,270;409
733.168,278;389
766.166,284;367
800.166,291;346
833.166,298;327
866.167,302;313
900.175,305;300
933.193,308;291
966.193,307;286
1000.193,306;279
1033.194,305;276
1066.193,301;276
1099.193,300;272
1133.282,302;264
1166.199,308;253
1200.193,316;241
1233.196,320;228
1266.193,320;216
1299.711,316;204
1332.711,316;193
1366.71,318;182
1399.71,323;171
1432.71,332;161
1465.71,339;150
1499.71,346;136
1533.041,352;127
1566.042,356;115
1601.062,361;116
1633.458,360;106
1667.458,359;103
1701.457,359;101
1733.457,359;100
1767.458,360;101
1800.457,361;101
1834.457,361;101
1866.174,360;102
1901.174,360;103
1934.174,359;103
1968.176,360;103
2001.176,360;104
2033.175,360;106
2068.175,360;112
2100.173,360;115
2133.174,358;117
2168.174,354;119
2200.175,352;122
2233.175,352;124
2266.174,351;124
2300.174,353;125
2333.174,357;127
2367.185,360;127
2400.173,366;127
2433.174,371;125
2467.176,373;125
2501.174,375;123
2533.174,380;120
2567.173,386;117
2600.173,391;111
2633.174,439;102
2667.173,447;106
2700.174,453;104
2733.173,454;104
2767.174,453;101
2800.173,408;92
2833.174,402;97
2867.173,399;99
2900.174,399;103
2933.174,401;106
2968.04,404;111
3000.044,409;114
3033.129,411;117
3068.044,412;117
3100.124,412;116
3133.083,412;115
3167.043,410;115
3200.044,408;115
3233.044,408;114
3267.044,406;113
3301.044,408;114
3334.044,409;116
3367.043,407;120
3400.043,406;121
3433.044,405;122
3468.044,404;122
3501.043,402;123
3534.055,401;123
3567.044,399;122
3601.044,399;123
3634.046,399;123
3667.043,401;122
3701.044,403;123
3733.449,402;124
3767.453,401;125
3799.453,402;125
3833.454,400;125
3866.454,401;125
3900.452,400;125
3933.529,399;125
3968.452,400;125
4000.452,400;125
4033.452,400;125
4067.462,399;125
4100.451,398;124
4133.451,400;125
4166.452,399;125
4200.456,399;124
4233.455,400;125
4267.451,400;125
4300.454,401;125
4333.799,400;125
4367.584,401;125
4400.672,401;125
4434.591,400;124
4467.587,399;124
4500.582,397;125
4535.584,397;124
4567.582,398;124
4600.583,398;124
4634.583,400;125
4668.583,401;125
4699.59,400;125
4735.59,401;124
4768.583,400;125
4801.499,401;125
4832.75,401;125
4866.642,399;124
4900.264,399;125
4933.264,399;124
4967.265,399;125
5000.174,400;124
5034.176,399;125
5067.175,400;125
5101.264,400;124
5133.182,399;125
5168.173,400;125
5200.264,401;125
5233.174,400;125
5267.174,400;125
5301.173,399;125
5333.249,400;125
5367.174,400;125
5400.173,401;125
5433.173,400;125
5467.173,399;125
5500.173,399;125
5533.173,399;125
5568.175,400;125
5600.173,399;125
5633.184,399;125
5668.173,400;125
5700.173,400;125
5733.804,400;125
5767.816,399;125
5799.806,400;125
5833.812,399;125
5867.805,400;125
5900.803,400;125
5934.802,400;125
5967.803,400;125
6000.802,399;125
6033.812,399;125
6067.812,399;125
6099.802,399;125
6133.803,400;125
6167.81,401;125
6200.803,400;125
6233.803,400;125
6268.803,401;125
6300.802,401;126
6334.803,399;125
6367.818,399;125
6400.876,398;124
6434.867,398;125
6467.866,400;125
6500.866,406;123
6534.876,412;123
6568.875,417;122
6600.867,420;121
6633.875,422;120
6667.866,421;120
6700.868,417;121
6735.874,413;120
6767.866,411;118
6799.868,410;115
6832.875,409;114
6868.867,408;114
6900.866,407;115
6933.875,407;113
6967.866,413;107
7001.882,420;104
7033.867,425;102
7067.599,433;101
7101.582,444;106
7134.582,453;112
7167.592,458;115
7200.582,460;111
7233.582,457;109
7267.581,459;112
7300.618,462;115
7333.581,466;119
7367.581,475;124
7401.582,482;129
7433.582,486;128
7467.582,486;128
7500.583,486;128
7533.582,485;125
7566.582,484;122
7600.582,485;121
7634.586,487;124
7667.581,483;128
7700.581,484;133
7733.593,485;140
7767.591,485;145
7800.589,488;149
7835.582,494;153
7867.581,500;151
7900.631,504;149
7935.59,505;149
7969.589,505;151
8001.581,505;152
8035.589,505;152
8067.582,503;152
8100.623,502;151
8134.581,500;149
8168.581,499;147
8200.666,499;147
8234.583,499;145
8267.582,500;143
8300.58,502;143
8334.589,502;143
8367.59,502;143
8400.581,501;144
8436.027,501;144
8469.024,500;144
8501.023,500;144
8535.033,500;144
8569.031,500;143
8601.023,500;143
8634.031,500;143
8668.113,498;143
8700.112,500;144
8735.112,501;144
8767.489,500;143
8801.488,500;143
8836.497,500;143
8868.489,501;144
8900.489,500;144
8934.496,500;144
8967.493,500;144
9000.488,500;144
9033.497,500;144
9069.49,500;144
9101.714,500;144
9134.851,500;143
9167.852,498;143
9200.85,497;142
9233.85,496;142
9268.842,498;139
9300.842,501;137
9333.843,509;133
9367.844,513;128
9400.844,518;126
9433.844,522;125
9467.842,523;124
9500.843,519;124
9534.851,515;122
9567.854,517;123
9600.842,517;128
9633.917,513;134
9667.843,514;138
9700.85,516;142
9733.925,515;145
9768.843,516;151
9800.384,520;155
9834.394,523;158
9868.386,528;159
9900.386,535;157
9933.385,543;154
9968.386,548;149
10000.386,546;146
10034.385,542;145
10068.465,547;145
10101.84,549;146
10134.841,549;146
10168.844,550;145
10200.839,550;142
10233.848,550;140
10267.841,550;142
10300.84,549;146
10333.924,550;151
10367.84,550;157
10400.919,547;162
10433.841,547;167
10467.847,551;171
10501.842,556;171
10534.847,564;168
10567.839,565;167
10601.84,563;166
10633.839,562;166
10667.838,561;164
10700.842,561;164
10734.84,560;163
10768.841,560;163
10801.839,560;162
10833.913,558;162
10867.841,558;162
10900.841,557;162
10934.843,558;162
10967.84,558;162
11000.842,557;162
11036.846,557;161
11067.853,557;162
11100.921,557;161
11134.846,557;161
11167.974,557;162
11200.966,558;162
11234.973,557;162
11267.965,557;163
11301.985,555;166
11335.047,555;167
11367.966,554;168
11401.965,553;170
11435.964,554;171
11467.966,553;171
11501.967,554;171
11533.973,554;170
11568.969,554;168
11600.977,554;167
11634.973,553;166
11668.965,554;166
11700.965,554;165
11734.966,554;166
11767.969,553;166
11801.973,553;165
11835.964,553;166
11868.966,554;166
11901.964,553;166
11936.973,553;165
11968.964,553;165
12000.965,553;165
12037.971,553;165
